key,bib_doi,bib_first_author,bib_n_authors,bib_year,check,cr_doi,cr_first_author,cr_n_authors,cr_title,cr_venue,cr_year,title,title_sim
polese2023understanding,10.1109/COMST.2023.3239220,polese,5,2023,OK,,polese,5,"Understanding O-RAN: Architecture, Interfaces, Algorithms, Security, and Research Challeng",IEEE Communications Surveys &amp; Tutorials,2023,"Understanding {O-RAN}: Architecture, Interfaces, Algorithms, Security, and Research Challe",1.0
bonati2021intelligence,10.1109/MCOM.101.2001120,bonati,5,2021,OK,,bonati,5,Intelligence and Learning in O-RAN for Data-Driven NextG Cellular Networks,IEEE Communications Magazine,2021,Intelligence and Learning in {O-RAN} for Data-Driven {NextG} Cellular Networks,1.0
bonati2023openrangym,10.1016/j.comnet.2022.109502,bonati,5,2023,OK,,bonati,5,"OpenRAN Gym: AI/ML development, data collection, and testing for O-RAN on PAWR platforms",Computer Networks,2023,"{OpenRAN Gym}: {AI/ML} Development, Data Collection, and Testing for {O-RAN} on {PAWR} Pla",1.0
polese2023coloran,10.1109/TMC.2022.3188013,polese,5,2023,OK,,polese,5,ColO-RAN: Developing Machine Learning-Based xApps for Open RAN Closed-Loop Control on Prog,IEEE Transactions on Mobile Computing,2023,{ColO-RAN}: Developing Machine Learning-Based {xApps} for Open {RAN} Closed-Loop Control o,1.0
bonati2021scope,10.1145/3458864.3466863,bonati,4,2021,MISMATCH,,bonati,4,SCOPE,Proceedings of the 19th Annual International Conference on M,2021,{SCOPE}: An Open and Softwarized Prototyping Platform for {NextG} Systems,0.137
schmidt2021flexric,10.1145/3485983.3494870,schmidt,3,2021,MISMATCH,,schmidt,3,FlexRIC,Proceedings of the 17th International Conference on emerging,2021,{FlexRIC}: An {SDK} for Next-Generation {SD-RANs},0.298
nikaein2014oai,10.1145/2677046.2677053,nikaein,6,2014,MISMATCH,,nikaein,6,OpenAirInterface,ACM SIGCOMM Computer Communication Review,2014,{OpenAirInterface}: A Flexible Platform for {5G} Research,0.471
gomez2016srslte,10.1145/2980159.2980163,gomez-miguelez,6,2016,MISMATCH,,gomez-miguelez,6,srsLTE,Proceedings of the Tenth ACM International Workshop on Wirel,2016,{srsLTE}: An Open-Source Platform for {LTE} Evolution and Experimentation,0.164
abdalla2022toward,10.1109/MNET.108.2100659,abdalla,4,2022,OK,,abdalla,4,Toward Next Generation Open Radio Access Networks: What O-RAN Can and Cannot Do!,IEEE Network,2022,Toward Next Generation Open Radio Access Networks: What {O-RAN} Can and Cannot Do!,1.0
niknam2022intelligent,10.1109/GCWkshps56602.2022.10008676,niknam,8,2022,OK,,niknam,8,Intelligent O-RAN for Beyond 5G and 6G Wireless Networks,2022 IEEE Globecom Workshops (GC Wkshps),2022,Intelligent {O-RAN} for Beyond {5G} and {6G} Wireless Networks,1.0
