paper_id,title,authors,year,venue,link,open_source_code,dataset,testbed,oran_stack,ric_type,attack_types,feature_modalities,model,baseline_models,split_strategy,cross_deployment_evaluation,latency_evaluation,p95_latency,p99_latency,resource_evaluation,false_alert_evaluation,class_imbalance,attack_base_rate,adversarial_evaluation,external_validation,limitations,relevance,what_our_project_learns,potential_gap,verification_status,verified_on
P01,Descriptor: 5G Open Radio Access Network Multi-Modal Intrusion Detection Dataset (NetsLab-5GORAN-IDD),Abed Zadeh F.; Civciss A.; Wickrama Arachchilage V. R.; Liyanage M.; Sandeepa C.,2025,IEEE Data Descriptions,https://doi.org/10.1109/IEEEDATA.2025.3614167 | https://zenodo.org/records/18923275 | https://doi.org/10.34740/kaggle/ds/7416931,"dataset only; CC-BY-4.0; 16.85 GB total per the Zenodo API (Benign.zip 5.94GB, DoS.zip 3.47GB, DDOS.zip 3.09GB, BruteForce.zip 3.32GB, Web.zip 0.59GB; Network_Dataset.csv 227.2MB; Network_Dataset.db 210.7MB; Lower_Layer_Data.db 5.4MB). NOTE: the description lists six categories but only five zips are published - Probe.zip is ABSENT",NetsLab-5GORAN-IDD (self),"physical 5G O-RAN testbed, University College Dublin; Dell Precision 7920 O-Cloud edge server; 2 physical UEs","OpenAirInterface; 1 O-CU, 2 O-DU, 1 O-RU",RIC present; DU radio metrics exported over the E2 interface,Benign; DoS; DDoS; Probe; Brute Force; Web attacks,"CU packet/flow (raw .pcap + Zeek conn.log/http.log/files.log) AND DU radio telemetry (22 PHY/MAC metrics per record, .txt)",n/a (dataset descriptor),unknown,n/a,no (single deployment),n/a,n/a,n/a,n/a,n/a,unknown,unknown,n/a,n/a,"record counts, label column names, per-record time/device identifiers and the CU-DU synchronisation tolerance are not stated on the landing pages; single site; the Probe category is described but no Probe.zip is published",CRITICAL - the only retrieved public corpus pairing CU flow records with DU radio telemetry under attack labels,"resolves gate A1 via option A1-b: D_A can be a real, citable, CC-BY artefact instead of an unnamed 'O-RAN testbed capture'",the descriptor establishes the corpus but performs no deployability evaluation on it,PARTIAL: Zenodo record and NetsLab page retrieved; descriptor PDF NOT read,2026-09-20
P02,5G-NIDD: A Comprehensive Network Intrusion Detection Dataset Generated over 5G Wireless Network,Samarakoon S.; Siriwardhana Y.; Porambage P.; Liyanage M.; Chang S.-Y.; Kim J.; Kim J.; Ylianttila M.,2022,"IEEE DataPort (descriptor 2025, IEEE Data Descriptions)",https://doi.org/10.21227/xtep-hv36 | descriptor https://doi.org/10.1109/IEEEDATA.2025.3592888,"dataset; raw pcapng published (BS1.zip 2.2GB, BS2.zip 1.45GB); Argus CSV also published",5G-NIDD (self),"5G Test Network (5GTN), University of Oulu, Finland; two base stations",not O-RAN; 5G test network,none,"DoS (ICMP/UDP/SYN/HTTP flood, Slowrate) and port scans (SYN, TCP connect, UDP)",packet capture -> Argus flow records; NO radio KPIs,n/a (dataset),unknown,n/a,no,n/a,n/a,n/a,n/a,n/a,"attack-majority in the published CSV; the draft assumes ~60.7% attack prevalence, NOT yet verified against the artefact","not operational - a capture-session prevalence, not a deployment base rate",n/a,n/a,licence not stated on the landing page; record counts and class balance not stated there; no radio-layer features; device identity only via src_ip,"CRITICAL - D_B, the transfer target","raw pcapng exists, so the A3 'one exporter over both corpora' control is feasible on the D_B side",widely used as an in-distribution benchmark; rarely used as an unseen deployment,PARTIAL: IEEE DataPort landing page retrieved; artefact NOT downloaded,2026-09-20
P03,Cross-Layer Intrusion Detection in 5G O-RAN: Gains and Limits of Fusing Radio Telemetry with Network Flow Records,Fard H.; Komarov I.; Wunder G.,2026,"IEEE International Conference on Cyber Security and Resilience (CSR), Lisbon",https://arxiv.org/abs/2606.22450,unknown,NetsLab-5GORAN-IDD,uses the UCD corpus (no new testbed),OAI-based (inherited from the corpus),n/a (offline study),as per corpus; DoS emphasised in the confusion analysis,DU radio telemetry; CU network flow records; fusion of both,seven architectures including GRU and Transformer,single-modality variants of the same architectures,"run-disjoint, ten seeds","no - single corpus, single deployment",no,no,no,no,"partial - reports a 1% FPR operating point, but no alert volume and no base-rate sweep",unknown,no,no,no,"persistent 27-46% DoS-to-Benign confusion, which the authors attribute to windowed statistical aggregation rather than model capacity",CRITICAL - nearest prior work on our D_A; sets the in-distribution reference and constrains our novelty,"(i) run-disjoint splitting on this corpus is the established protocol, so a random split would be indefensible; (ii) radio features match or beat flow features IN-DISTRIBUTION, which is the first half of our H4 sign-flip and is now prior work; (iii) their windowing causes heavy DoS/Benign confusion, so our windowing policy (A12) must be justified against it","fusion gains measured in-distribution only. Cross-deployment transfer, tail latency, resource cost, alert burden, calibration and robustness are all absent. The second half of our H4 (radio features HURT transfer) is untested by them",PARTIAL: arXiv abstract page retrieved; full text NOT read,2026-09-20
P04,Enabling Real-Time AI in O-RAN: Deploying and Measuring AI Inside a Near-RT RIC xApp,Obiuwevwi L.; Rechowicz K. J.; Jayarathna S.; Bouk S. H.; Afrin F.; Barati C. N.; Moghim N.; Nanou V.; Rahman M. E.; Shetty S.,2026,IEEE ICCCN,https://arxiv.org/abs/2607.01583,unknown,synthetic network-state dataset,commodity hardware,OpenAirInterface,"FlexRIC (real Near-RT RIC, model embedded in the xApp)","none - network-state classification, not intrusion detection","cross-layer RAN state: MAC, RLC, PDCP, GTP, UE count","logistic regression and shallow MLP exported as deterministic C inference modules, no external ML runtime",the two models compared against each other,unknown,no,yes - inference-only 1-5 us (LR) and 10-25 us (MLP); end-to-end below 4 ms; CDF characterisation plus a noise ablation,yes - more than 95% of projected loop executions within the 10 ms budget,not reported,no CPU/RAM reported,no,unknown,no,no,no,the authors state the work validates embedding and execution feasibility rather than production-level generalisation; accuracy only 0.88-0.90; synthetic data,"CRITICAL - the strongest existing latency comparator, and it assumes the same B = 10 ms budget we do","(i) our 10 ms budget has independent precedent; (ii) a C-exported linear model runs orders of magnitude faster than our assumed per-decision cost, so our latency finding must concern the FULL pipeline (feature construction and serialisation), not inference, or it is already answered; (iii) they report p95 but NOT p99, so the tail is still open","no p99, no CPU/RAM, no throughput sweep, no real attack data, no detection-quality/latency trade-off",PARTIAL: arXiv abstract page retrieved; full text NOT read,2026-09-20
P05,Performance Analysis of an AI-Based IDS xApp for Cyberattack Anomaly Detection in O-RAN Near-RT RIC,NOT VERIFIED,2026,"ScienceDirect (Tech Science Press host), article S152614922600202X",https://www.sciencedirect.com/org/science/article/pii/S152614922600202X,unknown,NetsLab-5GORAN-IDD (O-CU network layer plus O-DU radio telemetry),unknown,unknown,deployed in a Near-RT RIC environment (claimed),as per corpus,O-CU network layer and O-DU radio telemetry,"LSTM, CNN, Transformer, Autoencoder; a structurally optimised LSTM is selected",unknown,unknown,no,"yes - peak inference around 600 ms (LSTM, CNN) and 850 ms (Autoencoder); stress test to 80,000 instances",unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,"assumes a 1000 ms near-RT budget, the permissive end of the 10 ms - 1 s range; F1 94.87% (O-CU) and 99.49% (O-DU) are in-distribution only","HIGH - a second latency comparator on the same corpus, reaching the OPPOSITE deployability verdict to P04 purely by choosing a different budget","the near-RT budget is a RANGE (10 ms to 1 s), not a constant, so a single-value budget makes the deployability verdict an authoring choice. We must sweep B rather than assert B = 10 ms",single budget value; no cross-deployment evaluation; percentile methodology not established from the retrieved text,WEAK: publisher returned HTTP 403; fields come from search-result snippets only. MUST be re-verified before citation,2026-09-20
P06,ARGOS: Anomaly Recognition and Guarding through O-RAN Sensing,Dimou S.; Noubir G.,2025,"arXiv (cs.NI, cs.CR)",https://arxiv.org/abs/2506.06916,unknown,own measurement dataset,"Open5GS + srsRAN, COTS UEs, shielded anechoic chamber",srsRAN,FlexRIC (Near-RT RIC),Rogue Base Station downgrade attacks,extended KPM service model; cross-layer features from COTS UE Modem Layer 1 (ML1) logs and Measurement Reports,Variational Autoencoder and other unsupervised anomaly detectors,unknown,unknown,no,claims minimal system overhead; no values in the retrieved abstract,unknown,unknown,"claimed minimal, unquantified in the abstract","partial - 0.6% false positives reported, but no alert volume at a deployment flow rate",unknown,no,no,no,not stated in the abstract; single attack family; RF confined to a chamber,"HIGH - the richest UE-level telemetry of any retrieved O-RAN IDS, and the model for what real RIC integration should mean","99.5% accuracy at 0.6% FPR still implies a large absolute alert count once multiplied by a deployment flow rate, which directly motivates our Criterion 2",overhead asserted rather than quantified; no tail latency; no transfer evaluation,PARTIAL: arXiv abstract page retrieved; full text NOT read,2026-09-20
P07,ZTRAN: Prototyping Zero Trust Security xApps for Open Radio Access Network Deployments,Abdalla A. S.; Moore J.; Adhikari N.; Marojevic V.,2024,IEEE Wireless Communications Magazine,https://arxiv.org/abs/2403.04113,unknown,none (prototype),Open AI Cellular (OAIC) research platform,OAIC,O-RAN Alliance containerised Near-RT RIC,unspecified in the abstract,unknown,microservice-based intrusion detection; ML explicitly listed as FUTURE work,none,n/a,no,"yes, but user-plane throughput and latency rather than per-decision detector latency",no,no,unknown,no,n/a,no,no,no,the authors state that ML integration and threat-intelligence feeds remain future work; prototype-level,MEDIUM - architectural reference for xApp-encapsulated security functions,"the xApp containerisation pattern, and the distinction between user-plane latency and decision latency","no learned detector, therefore no detection-quality or deployability measurement",PARTIAL: arXiv abstract page retrieved; full text NOT read,2026-09-20
P08,5G-SPECTOR: An O-RAN Compliant Layer-3 Cellular Attack Detection Service,Wen H.; Porras P.; Yegneswaran V.; Gehani A.; Lin Z.,2024,NDSS Symposium (31st),https://doi.org/10.14722/ndss.2024.24527 | https://github.com/5GSEC/5G-Spector,yes - github.com/5GSEC/5G-Spector,own testbed traces,O-RAN compliant softwarised 5G,OAI-based (per the 5GSEC tooling),Near-RT RIC xApp (MOBIEXPERT),seven types of layer-3 (RRC/NAS) cellular attacks,"MOBIFLOW security audit stream: encoded RRC/NAS messages, UE identifiers and state",programmable rule/signature-based control-plane xApp (MOBIEXPERT),unknown,n/a (not a learned classifier),no,claims real-time detection; values NOT retrieved,unknown,unknown,unknown,unknown,n/a,no,no,no,layer-3 control plane only; not a user-plane or IoT-traffic IDS,MEDIUM-HIGH - the reference open-source O-RAN security xApp; defines the telemetry-plus-xApp pattern,"MOBIFLOW shows that useful security telemetry may require a custom service model rather than stock E2SM-KPM, which bears on our feature-availability assumption","rule-based, so no generalisation question; complements rather than competes with our ML deployability study",WEAK: NDSS PDF could not be parsed; fields from NDSS and search metadata. Re-verify before citation,2026-09-20
P09,6G-XSec: Explainable Edge Security for Emerging OpenRAN Architectures (with the MobiWatch xApp),5GSEC group - author list NOT verified,2024,ACM HotNets,https://conferences.sigcomm.org/hotnets/2024/papers/hotnets24-198.pdf | https://github.com/5GSEC/MobiWatch,yes - github.com/5GSEC/MobiWatch,own testbed traces,OpenAirInterface-based O-RAN,OpenAirInterface augmented with MobiFlow telemetry,O-RAN compliant Near-RT RIC xApp,layer-3 RRC/NAS anomalies; BTS resource depletion,"MobiFlow security telemetry (RRC/NAS message sequences, UE state)","unsupervised deep learning: Autoencoder (MobiWatch-1) and LSTM (MobiWatch-2), plus an LLM xApp for explanation",unknown,unknown,no,unknown,unknown,unknown,unknown,unknown,unknown,no,no,no,HotNets workshop scope; control-plane focus,HIGH - the open-source reference implementation of a deep-learning O-RAN security xApp,"a concrete, runnable xApp skeleton for Track C, which lowers the risk that our RIC integration is bespoke",no deployability evaluation in the three-criterion sense,WEAK: GitHub README and search metadata only; HotNets PDF NOT read,2026-09-20
P10,Towards a Multi-Layer Defence Framework for Securing Near-Real-Time Operations in Open RAN,Alimohammadi H.; Mayhoub S.; Chatzimiltis S.; Shojafar M.; Bhutta M. N. M.,2025,IEEE Open Journal of the Communications Society (OJCOMS),https://arxiv.org/abs/2512.01596,unknown,unknown,FlexRIC plus commercial RAN emulator components,FlexRIC + commercial emulator,Near-RT RIC,"three runtime classes: message-level, data-level (telemetry poisoning) and control-logic-level (malicious xApp)",E2 signalling messages; telemetry time series,signature-based E2 message inspection; LSTM temporal anomaly scoring; hash challenge-response xApp attestation,unknown,unknown,no,yes - under 80 ms total overhead for a network with 500 UEs,unknown,unknown,partial (overhead only),unknown,unknown,no,partial - poisoning is in the threat model,no,overhead reported as a single aggregate rather than a distribution; emulated RAN,HIGH - the best retrieved source for widening our threat model beyond flow classification,our threat model (paper Section III) currently covers only data-plane attack traffic; message-level and control-logic threats exist and should at minimum be scoped out explicitly,aggregate overhead with no tail; no detection-quality or transfer analysis,PARTIAL: arXiv abstract page retrieved; full text NOT read,2026-09-20
