session,n,start,end,n_categories,category
0,912,2025-05-09 14:05:06.701,2025-05-09 14:20:17.701,1,Benign
1,879,2025-05-09 14:48:56.075,2025-05-09 15:03:34.075,1,Benign
2,935,2025-05-12 10:04:16.486,2025-05-12 10:19:50.486,1,Benign
3,890,2025-05-12 12:01:14.329,2025-05-12 12:16:03.329,1,Benign
4,393,2025-05-12 13:34:08.108,2025-05-12 13:40:40.128,1,Benign
5,909,2025-05-13 11:37:24.551,2025-05-13 11:52:32.551,1,Benign
6,968,2025-05-13 13:01:57.808,2025-05-13 13:19:19.174,1,Benign
7,1520,2025-05-13 13:59:39.917,2025-05-13 14:30:26.177,1,Benign
8,901,2025-05-15 14:58:09.652,2025-05-15 15:13:09.652,1,Benign
9,1202,2025-06-25 14:12:58.964,2025-06-25 14:39:52.647,1,Probe
10,5727,2025-06-25 15:03:15.849,2025-06-25 16:40:43.603,1,Probe
11,1516,2025-06-25 17:16:55.150,2025-06-25 17:44:55.844,1,Probe
12,1666,2025-06-27 11:30:28.939,2025-06-27 12:00:41.101,1,BruteForce
13,601,2025-06-27 13:16:18.797,2025-06-27 13:26:18.797,1,BruteForce
14,790,2025-06-27 13:33:24.166,2025-06-27 13:46:33.166,1,BruteForce
15,1564,2025-06-27 14:22:37.410,2025-06-27 14:39:56.409,1,DoS
16,1524,2025-06-27 14:53:59.759,2025-06-27 15:11:15.759,1,DoS
17,47,2025-06-30 08:36:41.134,2025-06-30 08:37:27.134,1,Web Attacks
18,1051,2025-06-30 09:30:37.665,2025-06-30 09:49:31.946,1,Web Attacks
19,640,2025-06-30 10:19:42.596,2025-06-30 10:30:21.596,1,Web Attacks
20,619,2025-06-30 11:07:40.448,2025-06-30 11:20:37.281,1,Web Attacks
21,916,2025-06-30 11:26:33.325,2025-06-30 11:45:17.485,1,Web Attacks
22,1633,2025-07-01 08:47:18.470,2025-07-01 08:56:29.470,1,DoS
23,1830,2025-07-01 09:05:51.851,2025-07-01 09:16:00.851,1,DDoS
24,3093,2025-07-01 09:24:38.560,2025-07-01 09:44:30.570,1,DDoS
25,2874,2025-07-01 09:49:32.603,2025-07-01 10:08:35.654,1,DDoS
26,4065,2025-07-01 10:14:59.238,2025-07-01 10:36:25.283,1,DDoS
27,2368,2025-07-01 10:49:13.492,2025-07-01 10:59:04.512,1,DDoS
28,854,2025-07-01 12:32:21.461,2025-07-01 12:39:27.461,1,DDoS
29,2357,2025-07-01 12:51:04.245,2025-07-01 13:09:17.835,1,Benign
