layer,protocol,model,split_seed,model_seed,status,n_train,n_test,train_prevalence,test_prevalence,n_train_groups,n_test_groups,fit_seconds,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
radio,random,majority,101,11,ok,2246,562,0.7626892252894034,0.7722419928825622,30,29,0.04,0.5,434,128,0,0,0.7722419928825622,0.5,0.7722419928825622,1.0,0.8714859437751004,0.4357429718875502,0.0,1.0,0.0,0.0,0.5,0.7722419928825622,0.2277580071174377,0.2277580071174377
radio,random,majority,101,22,ok,2246,562,0.7626892252894034,0.7722419928825622,30,29,0.04,0.5,434,128,0,0,0.7722419928825622,0.5,0.7722419928825622,1.0,0.8714859437751004,0.4357429718875502,0.0,1.0,0.0,0.0,0.5,0.7722419928825622,0.2277580071174377,0.2277580071174377
radio,random,stratified,101,11,ok,2246,562,0.7626892252894034,0.7722419928825622,30,29,0.04,0.5,332,99,29,102,0.6423487544483986,0.4957697292626728,0.7703016241299304,0.7649769585253456,0.7676300578034682,0.49578414087084605,-0.008392159423749029,0.7734375,0.2350230414746544,0.2265625,0.4957697292626728,0.7707576554957564,0.2263116408818016,0.35765124555160144
radio,random,stratified,101,22,ok,2246,562,0.7626892252894034,0.7722419928825622,30,29,0.04,0.5,337,99,29,97,0.6512455516014235,0.5015300979262673,0.7729357798165137,0.7764976958525346,0.774712643678161,0.5015295501855371,0.003077305085926365,0.7734375,0.22350230414746544,0.2265625,0.5015300979262673,0.7727807168381882,0.22830192093148052,0.3487544483985765
radio,random,logreg,101,11,ok,2246,562,0.7626892252894034,0.7722419928825622,30,29,0.13,0.5,377,18,110,57,0.8665480427046264,0.864019297235023,0.9544303797468354,0.868663594470046,0.9095295536791315,0.8276461327717691,0.6681092255847098,0.140625,0.1313364055299539,0.859375,0.938040034562212,0.9775845471954929,0.8794769843706026,0.09592055971910135
radio,random,logreg,101,22,ok,2246,562,0.7626892252894034,0.7722419928825622,30,29,0.1,0.5,377,18,110,57,0.8665480427046264,0.864019297235023,0.9544303797468354,0.868663594470046,0.9095295536791315,0.8276461327717691,0.6681092255847098,0.140625,0.1313364055299539,0.859375,0.938040034562212,0.9775845471954929,0.8794769843706026,0.09592055971910135
radio,random,tree,101,11,ok,2246,562,0.7626892252894034,0.7722419928825622,30,29,0.16,0.5,430,9,119,4,0.9768683274021353,0.9602354550691244,0.979498861047836,0.9907834101382489,0.9851088201603666,0.9666579957375538,0.9336306522229497,0.0703125,0.009216589861751152,0.9296875,0.9596324164746544,0.9771876782652378,0.9265831524321126,0.022814354350572774
radio,random,tree,101,22,ok,2246,562,0.7626892252894034,0.7722419928825622,30,29,0.16,0.5,430,9,119,4,0.9768683274021353,0.9602354550691244,0.979498861047836,0.9907834101382489,0.9851088201603666,0.9666579957375538,0.9336306522229497,0.0703125,0.009216589861751152,0.9296875,0.9596324164746544,0.9771876782652378,0.9265831524321126,0.022814354350572774
radio,random,rf,101,11,ok,2246,562,0.7626892252894034,0.7722419928825622,30,29,1.85,0.5,433,12,116,1,0.9768683274021353,0.9519729262672811,0.9730337078651685,0.9976958525345622,0.9852104664391353,0.9660746209746698,0.9337257368592772,0.09375,0.002304147465437788,0.90625,0.9981278801843319,0.9994482682405006,0.9941290161009783,0.020143432578383327
radio,random,rf,101,22,ok,2246,562,0.7626892252894034,0.7722419928825622,30,29,1.41,0.5,433,10,118,1,0.9804270462633452,0.9597854262672811,0.9774266365688488,0.9976958525345622,0.9874572405929305,0.9714614138187325,0.9439732831621102,0.078125,0.002304147465437788,0.921875,0.9977678571428572,0.999333686393016,0.9933637418845506,0.01966556859654017
