layer,protocol,model,split_seed,model_seed,status,n_train,n_test,train_prevalence,test_prevalence,n_train_groups,n_test_groups,fit_seconds,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
network,random,majority,101,11,ok,240000,60000,0.9463166666666667,0.9470833333333334,132,70,0.11,0.5,56825,3175,0,0,0.9470833333333334,0.5,0.9470833333333334,1.0,0.9728225979028461,0.48641129895142304,0.0,1.0,0.0,0.0,0.5,0.9470833333333334,0.05291666666666667,0.05291666666666667
network,random,majority,101,22,ok,240000,60000,0.9463166666666667,0.9470833333333334,132,70,0.1,0.5,56825,3175,0,0,0.9470833333333334,0.5,0.9470833333333334,1.0,0.9728225979028461,0.48641129895142304,0.0,1.0,0.0,0.0,0.5,0.9470833333333334,0.05291666666666667,0.05291666666666667
network,random,stratified,101,11,ok,240000,60000,0.9463166666666667,0.9470833333333334,132,70,0.13,0.5,53779,2990,185,3046,0.8994,0.5023322744577737,0.9473304092022055,0.9463968323801144,0.9468633906720425,0.5023108711087343,0.004626229117122193,0.9417322834645669,0.053603167619885615,0.05826771653543307,0.5023322744577737,0.9473171651529915,0.053169615462412605,0.1006
network,random,stratified,101,22,ok,240000,60000,0.9463166666666667,0.9470833333333334,132,70,0.12,0.5,53710,2999,176,3115,0.8981,0.5003078244783854,0.9471159780634467,0.9451825780906291,0.9461482903799743,0.5002934461488489,0.0006053196875429659,0.9445669291338583,0.054817421909370875,0.055433070866141736,0.5003078244783854,0.947114188563503,0.05294784882176875,0.1019
network,random,logreg,101,11,ok,240000,60000,0.9463166666666667,0.9470833333333334,132,70,3.38,0.5,53462,178,2997,3363,0.9409833333333333,0.9423776548388997,0.9966815809097689,0.9408183018037836,0.9679445978364187,0.7982879779952938,0.6434159493712706,0.05606299212598425,0.05918169819621645,0.9439370078740158,0.9820836537095863,0.998953477625945,0.813987247866015,0.05142329006950867
network,random,logreg,101,22,ok,240000,60000,0.9463166666666667,0.9470833333333334,132,70,3.15,0.5,53462,178,2997,3363,0.9409833333333333,0.9423776548388997,0.9966815809097689,0.9408183018037836,0.9679445978364187,0.7982879779952938,0.6434159493712706,0.05606299212598425,0.05918169819621645,0.9439370078740158,0.9820836537095863,0.998953477625945,0.813987247866015,0.05142329006950867
network,random,tree,101,11,ok,240000,60000,0.9463166666666667,0.9470833333333334,132,70,2.2,0.5,54709,73,3102,2116,0.9635166666666667,0.9698853712357667,0.9986674455112994,0.9627628684557853,0.9803865348947647,0.8597869764906327,0.7466078089633174,0.022992125984251967,0.037237131544214694,0.9770078740157481,0.9848118806530617,0.9986025493024574,0.8708198654924809,0.030119902261236706
network,random,tree,101,22,ok,240000,60000,0.9463166666666667,0.9470833333333334,132,70,1.95,0.5,54706,76,3099,2119,0.9634166666666667,0.9693865334585047,0.998612682998065,0.9627100747910251,0.9803327748259518,0.8594026557318131,0.7458151982486441,0.02393700787401575,0.03728992520897492,0.9760629921259842,0.9842812724520301,0.9985455853312801,0.8683794941133982,0.030219024334720276
network,random,rf,101,11,ok,240000,60000,0.9463166666666667,0.9470833333333334,132,70,19.15,0.5,55671,258,2917,1154,0.9764666666666667,0.9492160972179402,0.9953870085286702,0.9796920369555653,0.9874771626727211,0.8963055148169016,0.7997565667307488,0.08125984251968504,0.02030796304443467,0.918740157480315,0.9953910604113332,0.9997427649095059,0.9308022643788127,0.015222930445235271
network,random,rf,101,22,ok,240000,60000,0.9463166666666667,0.9470833333333334,132,70,19.19,0.5,55683,257,2918,1142,0.9766833333333333,0.9494791648624212,0.9954057919199142,0.9799032116146063,0.9875936682481267,0.8971140421406494,0.8012294431554369,0.08094488188976377,0.020096788385393752,0.9190551181102362,0.9954581485497331,0.9997465854287226,0.9316305945079165,0.015126836578016984
network,random,xgboost,101,11,ok,240000,60000,0.9463166666666667,0.9470833333333334,132,70,7.18,0.5,54841,37,3138,1984,0.9663166666666667,0.9767161231990744,0.9993257771784686,0.9650857897052354,0.9819073793899895,0.869162680896634,0.7638577663052356,0.011653543307086614,0.03491421029476463,0.9883464566929134,0.9950361207048856,0.9997224686798956,0.9266278772079611,0.026553498581051826
network,random,xgboost,101,22,ok,240000,60000,0.9463166666666667,0.9470833333333334,132,70,6.4,0.5,54831,28,3147,1994,0.9663,0.978045456592453,0.9994896006124793,0.9649098108227013,0.9818953475878371,0.869374802221047,0.764703419666075,0.008818897637795276,0.035090189177298725,0.9911811023622047,0.9950909180347177,0.9997253380369899,0.9274877888899444,0.02642505243420601
network,random,hgb,101,11,ok,240000,60000,0.9463166666666667,0.9470833333333334,132,70,17.68,0.5,54887,35,3140,1938,0.9671166666666666,0.9774358352588242,0.9993627326026,0.9658952925648923,0.9823440450302916,0.8716397312271293,0.7680103549074215,0.011023622047244094,0.03410470743510779,0.988976377952756,0.9946468498740779,0.999697198478781,0.9211592958426004,0.0263160931931873
network,random,hgb,101,22,ok,240000,60000,0.9463166666666667,0.9470833333333334,132,70,16.19,0.5,54813,30,3145,2012,0.9659666666666666,0.977572114968251,0.9994529839724304,0.9645930488341399,0.9817136511802844,0.8683172192531283,0.7628714747131741,0.009448818897637795,0.035406951165860095,0.9905511811023622,0.9948938050583537,0.9997120751272109,0.9249349982328182,0.027078557857912473
network,random,mlp,101,11,ok,240000,60000,0.9463166666666667,0.9470833333333334,132,70,433.41,0.5,56663,1185,1990,162,0.97755,0.8119603978231273,0.9795152814271885,0.9971491421029477,0.9882535557629084,0.8676953906090683,0.7511137986018352,0.3732283464566929,0.002850857897052354,0.6267716535433071,0.9921731161079568,0.9995613170946783,0.892109445146232,0.014933736994862556
network,random,mlp,101,22,ok,240000,60000,0.9463166666666667,0.9470833333333334,132,70,507.36,0.5,56669,1213,1962,156,0.9771833333333333,0.8076037426689899,0.9790435714038906,0.9972547294324681,0.9880652444924896,0.8647108765443744,0.7463258008193048,0.3820472440944882,0.0027452705675318962,0.6179527559055118,0.9917098925766703,0.9995320598397132,0.8883407784320421,0.01513004582375288
network,random,majority,102,11,ok,240000,60000,0.94655,0.94615,135,73,0.12,0.5,56769,3231,0,0,0.94615,0.5,0.94615,1.0,0.9723299848418673,0.48616499242093364,0.0,1.0,0.0,0.0,0.5,0.94615,0.05385,0.05385
network,random,majority,102,22,ok,240000,60000,0.94655,0.94615,135,73,0.11,0.5,56769,3231,0,0,0.94615,0.5,0.94615,1.0,0.9723299848418673,0.48616499242093364,0.0,1.0,0.0,0.0,0.5,0.94615,0.05385,0.05385
network,random,stratified,102,11,ok,240000,60000,0.94655,0.94615,135,73,0.12,0.5,53736,3043,188,3033,0.8987333333333334,0.5023796367866759,0.9464062417443069,0.9465729535485916,0.9464895903054215,0.5023830468576085,0.004766235956415179,0.9418136799752399,0.05342704645140834,0.05818632002476014,0.5023796367866759,0.946392551504731,0.05411282567463156,0.10126666666666667
network,random,stratified,102,22,ok,240000,60000,0.94655,0.94615,135,73,0.13,0.5,53675,3052,179,3094,0.8975666666666666,0.5004496140698758,0.9461984592874645,0.9454984234353256,0.9458483118347784,0.5004456811326413,0.0008937706294379657,0.9445991952955741,0.05450157656467438,0.05540080470442588,0.5004496140698758,0.9461958181798985,0.053896530413104875,0.10243333333333333
network,random,logreg,102,11,ok,240000,60000,0.94655,0.94615,135,73,3.22,0.5,53606,192,3039,3163,0.9440833333333334,0.9424293222530972,0.9964310940927172,0.944282971339992,0.9696564074271709,0.8069950647334094,0.6560682982943158,0.059424326833797586,0.055717028660008106,0.9405756731662024,0.9828161513492492,0.9989849368887498,0.8222556949325763,0.049807323002613105
network,random,logreg,102,22,ok,240000,60000,0.94655,0.94615,135,73,3.34,0.5,53606,192,3039,3163,0.9440833333333334,0.9424293222530972,0.9964310940927172,0.944282971339992,0.9696564074271709,0.8069950647334094,0.6560682982943158,0.059424326833797586,0.055717028660008106,0.9405756731662024,0.9828161513492492,0.9989849368887498,0.8222556949325763,0.049807323002613105
