model,ppv_target,tau_required,recall_at_tau,alerts_per_hour
mlp,0.1,0.55,0.9524021208584698,51181.62460297616
mlp,0.25,0.7500000000000001,0.9228542439569722,45419.46153225752
mlp,0.5,,,
rf,0.1,0.6500000000000001,0.9400854720831621,51447.229318030746
rf,0.25,0.6500000000000001,0.9400854720831621,51447.229318030746
rf,0.5,0.95,0.43600768277511764,3673.598831855789
hgb,0.1,0.99,0.9057108854370505,45244.592954373824
hgb,0.25,0.99,0.9057108854370505,45244.592954373824
hgb,0.5,,,
xgboost,0.1,0.55,0.9375466411199787,52726.740889348745
xgboost,0.25,0.6000000000000001,0.9335899781683414,52437.41273542291
xgboost,0.5,0.995,0.6265792557795957,20742.361116539516
logreg,0.1,0.8,0.5863111600018103,27276.832310055986
logreg,0.25,0.8500000000000001,0.5201453154404674,21527.533523298982
logreg,0.5,0.99,0.24657303812666265,819.3595062134807
majority,0.1,,,
majority,0.25,,,
majority,0.5,,,
