model,split_seed,tau,f1,f1_macro,precision,recall,fpr,pr_auc,pr_auc_benign,pi,lambda_b,alerts_per_hour,true_alerts_per_hour,false_alerts_per_hour,alerts_per_day,alerts_per_100k_benign,ppv,npv,fdr,missed_attacks_per_hour
logreg,101,0.5,0.9213197969543148,0.8811727189899778,0.9918032786885246,0.8601895734597157,0.017964071856287425,0.9899792762656139,0.9154257478857496,0.002,240000.0,4725.095677633895,413.71843212491336,4311.377245508982,113402.29626321349,1968.7898656807897,0.08755768355829019,0.9997147748949221,0.9124423164417098,67.24349172278203
logreg,102,0.5,0.858252427184466,0.6587558432218626,0.8565891472868217,0.8599221789883269,0.5441176470588235,0.9077734675288142,0.42897642472023717,0.002,240000.0,131001.82511968317,413.589825565528,130588.23529411764,3144043.802872396,54584.09379986799,0.0031571302551523434,0.9993846124453586,0.9968428697448477,67.37209828216743
logreg,103,0.5,0.9389671361502347,0.8745930571262123,0.9975062344139651,0.8869179600886918,0.008928571428571428,0.9983647990480292,0.9876118115448161,0.002,240000.0,2569.4309112364735,426.5737683793308,2142.8571428571427,61666.341869675365,1070.5962130151972,0.16601877346219554,0.9997713933610664,0.8339812265378045,54.38815546836465
logreg,104,0.5,0.9627118644067797,0.9200176422405646,0.9551569506726457,0.9703872437357631,0.14492753623188406,0.9920498067149061,0.9480323419480202,0.002,240000.0,35249.32801127659,466.7193156244151,34782.608695652176,845983.8722706382,14687.220004698578,0.013240516683753721,0.9999306022763073,0.9867594833162463,14.242608223280259
logreg,105,0.5,0.7713567839195979,0.6740504849830549,0.8771428571428571,0.6883408071748879,0.25748502994011974,0.9250174511112421,0.6526358993144591,0.002,240000.0,62127.47290451045,331.0657188817096,61796.407185628734,1491059.3497082507,25886.44704354602,0.005328813541000703,0.9991595555220693,0.9946711864589993,149.8962049659858
rf,101,0.5,0.990521327014218,0.9832846156029174,0.990521327014218,0.990521327014218,0.023952095808383235,0.9996828738380502,0.9978957196307057,0.002,240000.0,6224.906037064907,476.4030430529305,5748.502994011977,149397.74488955777,2593.7108487770442,0.07653176453046645,0.9999805388988664,0.9234682354695336,4.558880794764879
rf,102,0.5,0.9025735294117647,0.7012867647058824,0.8554006968641115,0.9552529182879378,0.6102941176470589,0.9179863489068463,0.510582336067103,0.002,240000.0,146930.028516635,459.44028134089194,146470.58823529413,3526320.68439924,61220.84521526459,0.003126932499634514,0.9997699473247036,0.9968730675003655,21.521642506803467
rf,103,0.5,0.976271186440678,0.9445671284900485,0.9953917050691244,0.9578713968957872,0.017857142857142856,0.99809961429116,0.9678676137505413,0.002,240000.0,4746.413955563962,460.6996698496772,4285.714285714285,113913.93493353509,1977.6724814849845,0.09706268230347337,0.9999140463111044,0.9029373176965266,20.262253998018203
rf,104,0.5,0.9755555555555555,0.9444706911636045,0.9522776572668112,1.0,0.15942028985507245,0.9925844457236033,0.9606326163632718,0.002,240000.0,38741.83148906508,480.9619238476954,38260.869565217385,929803.9557375619,16142.42978711045,0.012414537603454482,1.0,0.9875854623965455,0.0
rf,105,0.5,0.8856825749167592,0.7843797489968412,0.8769230769230769,0.8946188340807175,0.33532934131736525,0.9481799211583279,0.8263278257746289,0.002,240000.0,80909.3195117175,430.2775955498441,80479.04191616765,1941823.6682812201,33712.21646321563,0.005318022672129013,0.9996823725849299,0.994681977327871,50.684328297851295
xgboost,101,0.5,0.9868891537544696,0.9772203880866743,0.9928057553956835,0.981042654028436,0.017964071856287425,0.9995054830674392,0.9966805546981632,0.002,240000.0,4783.221407767148,471.8441622581656,4311.377245508982,114797.31378641154,1993.008919902978,0.09864568708694312,0.9999613158718893,0.9013543129130569,9.117761589529758
xgboost,102,0.5,0.8836772983114447,0.6768813841984573,0.8532608695652174,0.9163424124513618,0.5955882352941176,0.9015357333402281,0.4925939163516061,0.002,240000.0,143381.90228018406,440.72580959584536,142941.17647058822,3441165.6547244173,59742.45928341003,0.0030737896665272197,0.9995856178793131,0.9969262103334727,40.23611425185002
xgboost,103,0.5,0.9524913093858632,0.8982988866320951,0.9975728155339806,0.9113082039911308,0.008928571428571428,0.9973994521768147,0.9547817557017628,0.002,240000.0,2581.161689866905,438.3045470097623,2142.8571428571427,61947.880556805714,1075.4840374445437,0.1698090238710939,0.999820691834142,0.8301909761289061,42.6573768379331
xgboost,104,0.5,0.9766407119021134,0.9471438853628213,0.9543478260869566,1.0,0.15217391304347827,0.9936502242959417,0.9652688357900864,0.002,240000.0,37002.70105428248,480.9619238476954,36521.739130434784,888064.8253027794,15417.792105951034,0.012998022040124329,1.0,0.9870019779598757,0.0
xgboost,105,0.5,0.8952590959206174,0.7987267266436943,0.8806941431670282,0.9103139013452914,0.32934131736526945,0.9288751784657423,0.8180057809366846,0.002,240000.0,79479.742492961,437.8263252963326,79041.91616766466,1907513.819831064,33116.55937206708,0.005508653042441702,0.9997320790568925,0.9944913469575583,43.13559855136283
hgb,101,0.5,0.9904761904761905,0.983403775711468,0.9952153110047847,0.985781990521327,0.011976047904191617,0.9992764042825542,0.9944782004395838,0.002,240000.0,3348.3750996615363,474.12360265554804,2874.2514970059883,80361.00239187687,1395.15629152564,0.1415981150688505,0.9999711624569033,0.8584018849311494,6.838321192147345
hgb,102,0.5,0.8975791433891993,0.7054267398361926,0.8607142857142858,0.9377431906614786,0.5735294117647058,0.8847593307770832,0.5013541370963506,0.002,240000.0,138098.07759258503,451.01876905562096,137647.0588235294,3314353.862222041,57540.8656635771,0.003265930829147456,0.9997075374952791,0.9967340691708525,29.943154792074424
hgb,103,0.5,0.9586206896551724,0.9089978448275862,0.9952267303102625,0.9246119733924612,0.017857142857142856,0.9976745355150612,0.96323317319973,0.002,240000.0,4730.417439249738,444.70315353545226,4285.714285714285,113530.01854199372,1971.0072663540573,0.09400928337647593,0.9998461985723447,0.905990716623524,36.258770312243136
hgb,104,0.5,0.9766407119021134,0.9471438853628213,0.9543478260869566,1.0,0.15217391304347827,0.9991122937180053,0.991593061273153,0.002,240000.0,37002.70105428248,480.9619238476954,36521.739130434784,888064.8253027794,15417.792105951034,0.012998022040124329,1.0,0.9870019779598757,0.0
hgb,105,0.5,0.8974641675854466,0.8029640587143534,0.8828633405639913,0.9125560538116592,0.32335329341317365,0.921109257693193,0.8114986957062646,0.002,240000.0,78043.69513442178,438.90471526011663,77604.79041916167,1873048.6832261228,32518.206306009077,0.005623833091246525,0.9997410864549814,0.9943761669087535,42.057208587578764
mlp,101,0.5,0.9760765550239234,0.9587985114300903,0.9855072463768116,0.966824644549763,0.03592814371257485,0.9963853222017938,0.9555781257086544,0.002,240000.0,9087.760332083983,465.0058410660183,8622.754491017964,218106.24797001557,3786.5668050349923,0.05116836536988474,0.9999310434244744,0.9488316346301152,15.956082781677104
mlp,102,0.5,0.9045412418906394,0.7192389467371749,0.863716814159292,0.9494163424124513,0.5661764705882353,0.9283455558628755,0.5326714993612478,0.002,240000.0,136338.9860517556,456.6331105791349,135882.35294117648,3272135.6652421346,56807.91085489817,0.0033492482510159823,0.9997663880191937,0.996650751748984,24.328813268560488
mlp,103,0.5,0.9796839729119639,0.9523419864559819,0.9977011494252873,0.9623059866962306,0.008928571428571428,0.9996970672547396,0.9952998371702892,0.002,240000.0,2605.6896815487166,462.83253869157386,2142.8571428571427,62536.5523571692,1085.7040339786317,0.17762381375225192,0.9999237861716973,0.8223761862477481,18.129385156121568
mlp,104,0.5,0.9832026875699889,0.9628657116010864,0.9669603524229075,1.0,0.10869565217391304,0.9975869191809732,0.9838421466451512,0.002,240000.0,26567.918445586824,480.9619238476954,26086.95652173913,637630.0426940838,11069.96601899451,0.018103109012199924,1.0,0.9818968909878001,0.0
mlp,105,0.5,0.891566265060241,0.7876361676738904,0.8715203426124197,0.9125560538116592,0.3592814371257485,0.9127704008769576,0.7762705026241814,0.002,240000.0,86666.44962543975,438.90471526011663,86227.54491017964,2079994.791010554,36111.02067726656,0.005064297858710046,0.9997265719082086,0.9949357021412899,42.057208587578764
majority,101,0.5,0.8348170128585559,0.41740850642927796,0.7164685908319185,1.0,1.0,0.7164685908319185,0.2835314091680815,0.002,240000.0,240480.9619238477,480.9619238476954,240000.0,5771543.086172345,100200.4008016032,0.002,,0.998,0.0
majority,102,0.5,0.8831615120274914,0.4415807560137457,0.7907692307692308,1.0,1.0,0.7907692307692308,0.20923076923076922,0.002,240000.0,240480.9619238477,480.9619238476954,240000.0,5771543.086172345,100200.4008016032,0.002,,0.998,0.0
majority,103,0.5,0.8895463510848126,0.4447731755424063,0.8010657193605684,1.0,1.0,0.8010657193605684,0.1989342806394316,0.002,240000.0,240480.9619238477,480.9619238476954,240000.0,5771543.086172345,100200.4008016032,0.002,,0.998,0.0
majority,104,0.5,0.8641732283464567,0.43208661417322836,0.7608318890814558,1.0,1.0,0.7608318890814558,0.2391681109185442,0.002,240000.0,240480.9619238477,480.9619238476954,240000.0,5771543.086172345,100200.4008016032,0.002,,0.998,0.0
majority,105,0.5,0.842304060434372,0.421152030217186,0.7275693311582382,1.0,1.0,0.7275693311582382,0.2724306688417618,0.002,240000.0,240480.9619238477,480.9619238476954,240000.0,5771543.086172345,100200.4008016032,0.002,,0.998,0.0
