model,split_seed,tau,pi,lambda_b,alerts_per_hour,true_alerts_per_hour,false_alerts_per_hour,alerts_per_day,alerts_per_100k_benign,ppv,npv,fdr,missed_attacks_per_hour,recall,fpr,precision_corpus
logreg,101,0.05,0.0001,240000.0,221341.31079197544,23.94552251433674,221317.3652694611,5312191.45900741,92225.54616332309,0.00010818370248489948,0.9999969555925409,0.9998918162975151,0.05687772568725993,0.9976303317535545,0.9221556886227545,0.7321739130434782
logreg,101,0.05,0.0003,240000.0,221389.2162086291,71.85093916800633,221317.3652694611,5313341.189007099,92245.50675359546,0.0003245457949509909,0.9999908650060683,0.999675454205049,0.17066731393825507,0.9976303317535545,0.9221556886227545,0.7321739130434782
logreg,101,0.05,0.001,240000.0,221557.03622003252,239.6709505714245,221317.3652694611,5317368.869280781,92315.43175834688,0.0010817573418584762,0.9999695293340372,0.9989182426581416,0.5692896688157277,0.9976303317535545,0.9221556886227545,0.7321739130434782
logreg,101,0.05,0.002,240000.0,221797.1874731101,479.8222036490042,221317.3652694611,5323132.499354642,92415.49478046254,0.0021633376379363517,0.9999389994670672,0.9978366623620637,1.1397201986912064,0.9976303317535545,0.9221556886227545,0.7321739130434782
logreg,101,0.05,0.003,240000.0,222037.82047393708,720.4552044759872,221317.3652694611,5328907.69137449,92515.75853080711,0.003244740931694358,0.9999084102263912,0.9967552590683056,1.7112950225082606,0.9976303317535545,0.9221556886227545,0.7321739130434782
logreg,101,0.05,0.01,240000.0,223735.8630434091,2418.4977739480114,221317.3652694611,5369660.713041819,93223.27626808712,0.010809611570760007,0.9996926084291554,0.98919038842924,5.744650294413253,0.9976303317535545,0.9221556886227545,0.7321739130434782
logreg,101,0.05,0.03,240000.0,228722.45639175552,7405.091122294426,221317.3652694611,5489338.953402133,95301.0234965648,0.03237588140279062,0.9990594075206094,0.9676241185972094,17.589290076708618,0.9976303317535545,0.9221556886227545,0.7321739130434782
logreg,101,0.05,0.1,240000.0,247920.84078288922,26603.47551342812,221317.3652694611,5950100.178789342,103300.35032620383,0.10730632983261572,0.9966290547223512,0.8926936701673843,63.19115323854577,0.9976303317535545,0.9221556886227545,0.7321739130434782
logreg,101,0.1,0.0001,240000.0,139424.85873867632,23.661133885900437,139401.19760479042,3346196.609728232,58093.69114111514,0.00016970527422407823,0.9999966076614403,0.9998302947257759,0.3412663541235649,0.985781990521327,0.5808383233532934,0.8109161793372319
logreg,101,0.1,0.0003,240000.0,139472.19520738872,70.99760259831504,139401.19760479042,3347332.6849773293,58113.41466974531,0.0005090448493532698,0.9999898210173885,0.9994909551506467,1.0240038836295464,0.985781990521327,0.5808383233532934,0.8109161793372319
