model,stage,p50,p90,p95,p99,p99.9,mean,std,min,max,n
FLOOR (no-op),end_to_end,0.0105,0.012,0.020519999999999983,0.10322399999999998,0.5274218000000044,0.014479066666666669,0.03699784392540853,0.0096,1.042,1500
logreg,feature_marshal,0.0039,0.006810000000000013,0.0095,0.03733099999999997,0.33602970000001625,0.0063136,0.02050339878426664,0.0034,0.502,1500
logreg,inference,0.6294,1.24065,1.5191149999999995,2.2648089999999996,3.5219066000000216,0.7676554666666666,0.39991430477472156,0.4119,4.8431,1500
logreg,end_to_end,2.4472500000000004,3.827580000000001,4.403429999999998,6.508140999999998,13.428456400000135,2.6891734666666665,1.0574625974926877,1.5544,15.227,1500
tree,feature_marshal,0.0038,0.0042,0.0049,0.012706999999999993,0.13975300000001079,0.004436666666666667,0.007459185984781151,0.0033,0.1794,1500
tree,inference,0.17554999999999998,0.36121000000000003,0.50052,0.8947309999999997,2.0441545000000416,0.22881106666666665,0.16756213728304561,0.1245,2.2167,1500
tree,end_to_end,1.80645,3.00334,3.5061449999999996,4.755056,6.088304400000123,2.0113543333333332,0.75943077144303,1.1143,6.7651,1500
rf,feature_marshal,0.0038,0.0093,0.0102,0.03511599999999999,0.605489300000171,0.007108200000000001,0.041498288552180074,0.0034,1.1888,1500
rf,inference,90.78495000000001,105.95453,113.20578499999999,141.61762199999998,515.6787800000156,93.54298900000002,27.53505031251318,64.8,560.6258,1500
rf,end_to_end,93.40555,112.49981000000002,124.54564500000001,378.04826299999957,1034.9050398001018,102.36142206666665,75.92626743874982,29.7225,1867.177,1500
xgboost,feature_marshal,0.0031,0.0094,0.0098,0.011920999999999982,0.038101000000000204,0.004925733333333334,0.0035549427274648962,0.0027,0.0389,1500
xgboost,inference,0.9553,1.86391,2.1792599999999998,2.563004,4.938204300000032,1.1526032,0.4902795644287315,0.6464,5.7312,1500
xgboost,end_to_end,3.835,5.66384,6.191424999999999,7.288235,11.392500500000846,4.051451466666666,1.2234665273576206,2.0115,19.2799,1500
hgb,feature_marshal,0.0041,0.0049,0.0089,0.027107999999999993,0.26400920000002226,0.005685866666666667,0.015454969866752322,0.0037,0.3527,1500
hgb,inference,41.955600000000004,56.20726000000001,64.98281999999999,100.06568999999995,268.93768130001183,42.78769033333333,18.868525521601484,9.436,306.7142,1500
hgb,end_to_end,53.16405,68.90588000000001,74.75862000000001,94.61572199999999,446.0607888000016,55.95425993333333,27.519580707448554,26.2006,455.1142,1500
mlp,feature_marshal,0.0037,0.0039,0.0041,0.00950999999999999,0.1250447000000193,0.0042919333333333335,0.009659161191785181,0.0033,0.3133,1500
mlp,inference,0.5784,1.208030000000001,1.6148799999999999,2.4010059999999998,3.4261691000000445,0.7348400666666667,0.4115451199905006,0.408,4.2672,1500
mlp,end_to_end,2.24825,4.00306,4.9541,8.170017,13.976384900000006,2.6706431333333334,1.4424257212439684,1.4442,14.8418,1500
