surface,model,pi,ppv_pooled,ppv_mean_of_folds,ppv_median_of_folds,n_folds_ppv_equals_1,n_folds
d_a_network_heldout_shared,hgb,0.002,0.026230220317936218,0.03467282613229437,0.02640876362964683,0,20
d_a_network_heldout_shared,logreg,0.002,0.008801777480905335,0.008824806568483954,0.009351408632267591,0,20
d_a_network_heldout_shared,majority,0.002,0.002,0.0020000000000000005,0.002,0,20
d_a_network_heldout_shared,mlp,0.002,0.004573169548981791,0.004678846417265541,0.004543864113871676,0,20
d_a_network_heldout_shared,rf,0.002,0.009218465004880824,0.010575515736035043,0.009720773162004325,0,20
d_a_network_heldout_shared,stratified,0.002,0.001995601371372149,0.0020071373262505856,0.002003598460384586,0,20
d_a_network_heldout_shared,tree,0.002,0.010763486396047304,0.021614208320067625,0.010064077942012861,0,20
d_a_network_heldout_shared,xgboost,0.002,0.019280480101110428,0.03878880772654053,0.030095091250079205,0,20
d_a_radio_heldout,hgb,0.002,0.007186488131737879,0.1291491289727109,0.009087086531247325,4,40
d_a_radio_heldout,logreg,0.002,0.007130486855011921,0.08145559437407827,0.011778865175247732,2,40
d_a_radio_heldout,majority,0.002,0.002,0.002,0.002,0,40
d_a_radio_heldout,mlp,0.002,0.007718248380359512,0.03854755280584647,0.01210259120976874,0,40
d_a_radio_heldout,rf,0.002,0.007138171786445791,0.08271261231656515,0.008906436172858384,2,40
d_a_radio_heldout,stratified,0.002,0.002038443361907888,0.002042620298150339,0.002045266167836461,0,40
d_a_radio_heldout,tree,0.002,0.005502233278535693,0.013611356819663889,0.0069866601827021,0,40
d_a_radio_heldout,xgboost,0.002,0.00733902529284657,0.17938544280293567,0.009404292243674367,6,40
d_b_target,hgb,0.002,0.002572436005225753,0.0031088937081330506,0.0025587079838128865,0,20
d_b_target,logreg,0.002,0.02318216564580941,0.023969371290606483,0.024335669954150024,0,20
d_b_target,majority,0.002,0.002,0.0020000000000000005,0.002,0,20
d_b_target,mlp,0.002,0.0019844717541396893,0.0019893006859716582,0.001978025641730626,0,20
d_b_target,rf,0.002,0.0025964690072234464,0.0026370821689841325,0.002569333512031846,0,20
d_b_target,stratified,0.002,0.0020001958317859407,0.0020001948664816766,0.0020002180978388254,0,20
d_b_target,tree,0.002,0.002234209945379321,0.0026701079882897765,0.002318215597279399,0,20
d_b_target,xgboost,0.002,0.0025746675748325996,0.004876427364543407,0.00254419835261845,0,20
