surface,model,ppv_bar,pi_required,reachable_within_sweep
d_a_radio_heldout,hgb,0.25,0.1,True
d_a_radio_heldout,hgb,0.5,0.5,True
d_a_radio_heldout,hgb,0.9,,False
d_a_radio_heldout,logreg,0.25,0.1,True
d_a_radio_heldout,logreg,0.5,0.5,True
d_a_radio_heldout,logreg,0.9,,False
d_a_radio_heldout,majority,0.25,0.5,True
d_a_radio_heldout,majority,0.5,0.5,True
d_a_radio_heldout,majority,0.9,,False
d_a_radio_heldout,mlp,0.25,0.1,True
d_a_radio_heldout,mlp,0.5,0.5,True
d_a_radio_heldout,mlp,0.9,,False
d_a_radio_heldout,rf,0.25,0.1,True
d_a_radio_heldout,rf,0.5,0.5,True
d_a_radio_heldout,rf,0.9,,False
d_a_radio_heldout,stratified,0.25,0.5,True
d_a_radio_heldout,stratified,0.5,0.5,True
d_a_radio_heldout,stratified,0.9,,False
d_a_radio_heldout,tree,0.25,0.2,True
d_a_radio_heldout,tree,0.5,0.5,True
d_a_radio_heldout,tree,0.9,,False
d_a_radio_heldout,xgboost,0.25,0.1,True
d_a_radio_heldout,xgboost,0.5,0.5,True
d_a_radio_heldout,xgboost,0.9,,False
