domain,model,calibrator,ppv_bar,reachable,tau,recall_there,alerts_there
source_test,logreg,isotonic,0.25,False,,,
source_test,logreg,isotonic,0.5,False,,,
source_test,logreg,platt,0.25,False,,,
source_test,logreg,platt,0.5,False,,,
source_test,logreg,raw,0.25,True,0.99,0.03832937942461214,169.18874091217083
source_test,logreg,raw,0.5,True,0.99,0.03832937942461214,169.18874091217083
source_test,logreg,temperature,0.25,True,0.999,0.035851532921775744,17.24322224694625
source_test,logreg,temperature,0.5,True,0.999,0.035851532921775744,17.24322224694625
source_test,tree,isotonic,0.25,False,,,
source_test,tree,isotonic,0.5,False,,,
source_test,tree,platt,0.25,False,,,
source_test,tree,platt,0.5,False,,,
source_test,tree,raw,0.25,False,,,
source_test,tree,raw,0.5,False,,,
source_test,tree,temperature,0.25,False,,,
source_test,tree,temperature,0.5,False,,,
target,logreg,isotonic,0.25,False,,,
target,logreg,isotonic,0.5,False,,,
target,logreg,platt,0.25,False,,,
target,logreg,platt,0.5,False,,,
target,logreg,raw,0.25,True,0.95,0.09238667322357288,1823.8272748109916
target,logreg,raw,0.5,False,,,
target,logreg,temperature,0.25,True,0.995,0.02453691849792658,20.84397469741511
target,logreg,temperature,0.5,False,,,
target,tree,isotonic,0.25,False,,,
target,tree,isotonic,0.5,False,,,
target,tree,platt,0.25,False,,,
target,tree,platt,0.5,False,,,
target,tree,raw,0.25,False,,,
target,tree,raw,0.5,False,,,
target,tree,temperature,0.25,False,,,
target,tree,temperature,0.5,False,,,
