model,poison_rate,f1_macro,f1_drop,recall,fpr,false_alerts_per_hour,ppv_deploy,n
logreg,0.0,0.6203145566658125,0.0,0.8212805961181152,0.18577621032648545,44586.2904783565,0.008741839203202588,2
logreg,0.01,0.6166029076358259,0.003711649029986497,0.8169145403934387,0.19253999804760924,46209.599531426225,0.008422545630171543,2
logreg,0.05,0.6035942444796184,0.016720312186194075,0.8007951223164136,0.14224205075800533,34138.092181921274,0.011693074881652624,2
logreg,0.1,0.605160398539136,0.015154158126676531,0.7978755805666583,0.13964059394218847,33513.74254612523,0.011976964197096818,2
logreg,0.25,0.5605103267088523,0.059804229956960275,0.7522278300588904,0.13325066827842752,31980.16038682261,0.011091945132508524,2
tree,0.0,0.7620716109433214,0.0,0.9488412681899543,0.16027777950862063,38466.667082068954,0.016708590119137567,2
tree,0.01,0.7302596808080801,0.031811930135241306,0.9384199836464204,0.18715326890443876,44916.7845370653,0.01914380313845596,2
tree,0.05,0.6212663190230566,0.1408052919202648,0.8323285474968425,0.18469824139442237,44327.57793466137,0.012032487813145157,2
tree,0.1,0.5654722569365012,0.19659935400682027,0.7912844463068814,0.2402084488670941,57650.027728102585,0.00868351462161632,2
tree,0.25,0.605050666126603,0.15702094481671847,0.8324174810237224,0.15848012611613402,38035.23026787216,0.010819185641706391,2
