protocol,direction,train_frac,rep,model,n_train_sessions,n_test_sessions,n_train,n_test,train_prevalence,test_prevalence,f1_macro,recall,fpr,precision,pr_auc,brier,ece,alerts_per_hour,false_alerts_per_hour,ppv_deploy
temporal,forward,0.4,0,logreg,12,18,1041,1767,0.505283381364073,0.9173740803621958,0.40914491488552435,0.7075879086983343,0.9383561643835616,0.8933021806853583,0.908291010906928,0.31436830089818457,0.3277033448901747,225545.80229391373,225205.4794520548,0.0015088857269683791
temporal,forward,0.4,0,tree,12,18,1041,1767,0.505283381364073,0.9173740803621958,0.4424832962138085,0.6107341147439852,0.5684931506849316,0.9226467847157502,0.9205943007878705,0.40407470288624786,0.38822863610639496,136732.09601917028,136438.3561643836,0.0021482875150652487
temporal,forward,0.4,0,rf,12,18,1041,1767,0.505283381364073,0.9173740803621958,0.4976375820754078,0.8710672424429364,0.8698630136986302,0.917478882391163,0.9313840098730326,0.16978470801021334,0.24080376570206868,209186.0734643973,208767.12328767125,0.0020027632326937166
temporal,forward,0.4,0,xgboost,12,18,1041,1767,0.505283381364073,0.9173740803621958,0.45314620587049476,0.8143121529919802,0.9246575342465754,0.9072164948453608,0.8890064557412456,0.2112191766500473,0.22466196737030278,222309.46135889366,221917.80821917808,0.0017617475087274926
temporal,forward,0.4,0,hgb,12,18,1041,1767,0.505283381364073,0.9173740803621958,0.4331138712088025,0.7779148673658236,0.9452054794520548,0.9013581129378128,0.8849956833887447,0.26772706511340505,0.2714384496731268,227223.46249969114,226849.31506849316,0.0016466056237414296
temporal,forward,0.4,0,mlp,12,18,1041,1767,0.505283381364073,0.9173740803621958,0.44382548036862285,0.8204811844540407,0.958904109589041,0.9047619047619048,0.9028982122071053,0.23790046572685242,0.2381952466635671,230531.6065103257,230136.98630136985,0.0017117835377518
temporal,forward,0.4,0,stratified,12,18,1041,1767,0.505283381364073,0.9173740803621958,0.41152247573135065,0.5157310302282542,0.4452054794520548,0.9278579356270811,0.922780929838719,0.4810413129598189,0.47198641765704585,107097.36205697968,106849.31506849315,0.0023160886853082815
temporal,forward,0.4,0,majority,12,18,1041,1767,0.505283381364073,0.9173740803621958,0.4784533648170012,1.0,1.0,0.9173740803621958,0.9173740803621958,0.08262591963780419,0.08262591963780419,240480.9619238477,240000.0,0.002
temporal,reverse,0.4,0,logreg,18,12,1767,1041,0.9173740803621958,0.505283381364073,0.567173786927313,0.34980988593155893,0.16116504854368932,0.6891385767790262,0.6845722994674082,0.34904210609857195,0.31523768104967065,38847.85688620402,38679.611650485436,0.0043308756056073235
temporal,reverse,0.4,0,tree,18,12,1767,1041,0.9173740803621958,0.505283381364073,0.3880009668938336,0.6939163498098859,0.8349514563106796,0.4591194968553459,0.48096158089007807,0.5655009937763937,0.5018641459459492,200722.09685715704,200388.3495145631,0.001662733440013049
