model,split_seed,domain,bin,mean_score,attack_freq,n
majority,101,source_heldout,0,1.0,1.0,9939
majority,101,source_heldout,1,1.0,1.0,9939
majority,101,source_heldout,2,1.0,1.0,9939
majority,101,source_heldout,3,1.0,1.0,9939
majority,101,source_heldout,4,1.0,1.0,9939
majority,101,source_heldout,5,1.0,1.0,9939
majority,101,source_heldout,6,1.0,1.0,9939
majority,101,source_heldout,7,1.0,1.0,9939
majority,101,source_heldout,8,1.0,1.0,9939
majority,101,source_heldout,9,1.0,1.0,9939
majority,101,source_heldout,10,1.0,1.0,9938
majority,101,source_heldout,11,1.0,1.0,9938
majority,101,source_heldout,12,1.0,1.0,9938
majority,101,source_heldout,13,1.0,1.0,9938
majority,101,source_heldout,14,1.0,0.3203863956530489,9938
majority,101,target,0,1.0,0.6740562546262028,81060
majority,101,target,1,1.0,0.9991241056007896,81060
majority,101,target,2,1.0,0.8441894892672095,81060
majority,101,target,3,1.0,0.00011102886750555144,81060
majority,101,target,4,1.0,0.00011103023723460689,81059
majority,101,target,5,1.0,0.00011103023723460689,81059
majority,101,target,6,1.0,0.09024290948568327,81059
majority,101,target,7,1.0,0.9112498303704709,81059
majority,101,target,8,1.0,0.45825879914630085,81059
majority,101,target,9,1.0,0.7346130596232374,81059
majority,101,target,10,1.0,0.9997285927534265,81059
majority,101,target,11,1.0,0.9997285927534265,81059
majority,101,target,12,1.0,0.999642235902244,81059
majority,101,target,13,1.0,0.6620362945508826,81059
majority,101,target,14,1.0,0.7331326564601093,81059
stratified,101,source_heldout,0,0.07948485763155247,0.959352047489687,9939
stratified,101,source_heldout,1,1.0,1.0,9939
stratified,101,source_heldout,2,1.0,1.0,9939
stratified,101,source_heldout,3,1.0,1.0,9939
stratified,101,source_heldout,4,1.0,1.0,9939
stratified,101,source_heldout,5,1.0,1.0,9939
stratified,101,source_heldout,6,1.0,1.0,9939
stratified,101,source_heldout,7,1.0,1.0,9939
stratified,101,source_heldout,8,1.0,1.0,9939
stratified,101,source_heldout,9,1.0,1.0,9939
stratified,101,source_heldout,10,1.0,1.0,9938
stratified,101,source_heldout,11,1.0,1.0,9938
stratified,101,source_heldout,12,1.0,1.0,9938
stratified,101,source_heldout,13,1.0,1.0,9938
stratified,101,source_heldout,14,1.0,0.36103843831756893,9938
stratified,101,target,0,0.07533925487293362,0.6300888230940045,81060
stratified,101,target,1,1.0,0.7003577596841846,81060
stratified,101,target,2,1.0,0.9990870959782877,81060
stratified,101,target,3,1.0,0.5956822107081174,81060
stratified,101,target,4,1.0,0.00012336693026067432,81059
stratified,101,target,5,1.0,0.00012336693026067432,81059
stratified,101,target,6,1.0,0.024401978805561383,81059
stratified,101,target,7,1.0,0.5582600328156034,81059
stratified,101,target,8,1.0,0.509147657878829,81059
stratified,101,target,9,1.0,0.6571879741916382,81059
stratified,101,target,10,1.0,0.9997656028325047,81059
stratified,101,target,11,1.0,0.9997285927534265,81059
stratified,101,target,12,1.0,0.9996915826743483,81059
stratified,101,target,13,1.0,0.6924339061671129,81059
stratified,101,target,14,1.0,0.7402509283361502,81059
logreg,101,source_heldout,0,0.0350436340859975,0.6085119227286447,9939
logreg,101,source_heldout,1,0.25875248618734076,0.9022034409900392,9939
logreg,101,source_heldout,2,0.6463183775076445,0.9631753697555085,9939
logreg,101,source_heldout,3,0.8569754046843271,0.9906429218231211,9939
