protocol,split_seed,n_train,n_test,test_prevalence,n_test_sessions,unseen_test_categories,n_unseen_test_categories,nn_same_session,nn1_f1_macro,nn1_label_agreement
random,101,2246,562,0.7722419928825622,29,,0,0.6708185053380783,0.9747083813364055,0.9822064056939501
random,102,2246,562,0.7882562277580071,29,,0,0.6690391459074733,0.9466965115617353,0.9644128113879004
random,103,2246,562,0.7384341637010676,29,,0,0.6619217081850534,0.960044330134036,0.9697508896797153
random,104,2246,562,0.7758007117437722,29,,0,0.6743772241992882,0.9613080895008606,0.9733096085409253
random,105,2246,562,0.7580071174377224,29,,0,0.6708185053380783,0.9633470292832453,0.9733096085409253
random,106,2246,562,0.7295373665480427,29,,0,0.6921708185053381,0.9729460847240051,0.9786476868327402
random,107,2246,562,0.7330960854092526,29,,0,0.6708185053380783,0.937679427311147,0.9519572953736655
random,108,2246,562,0.7384341637010676,29,,0,0.6797153024911032,0.97012532968044,0.9768683274021353
random,109,2246,562,0.7615658362989324,29,,0,0.6886120996441281,0.9756266805447134,0.9822064056939501
random,110,2246,562,0.7259786476868327,29,,0,0.6779359430604982,0.9622137057383435,0.9697508896797153
random,111,2246,562,0.7597864768683275,29,,0,0.6708185053380783,0.9522084460091501,0.9644128113879004
random,112,2246,562,0.7704626334519573,30,,0,0.6601423487544484,0.951812992170401,0.9661921708185054
random,113,2246,562,0.7775800711743772,29,,0,0.6921708185053381,0.9606227491206681,0.9733096085409253
random,114,2246,562,0.7580071174377224,30,,0,0.6654804270462633,0.9633470292832453,0.9733096085409253
random,115,2246,562,0.7633451957295374,29,,0,0.6637010676156584,0.9435099358007858,0.9590747330960854
random,116,2246,562,0.7402135231316725,30,,0,0.6690391459074733,0.9563370203021815,0.9661921708185054
random,117,2246,562,0.7633451957295374,29,,0,0.6512455516014235,0.9426130889750182,0.9590747330960854
random,118,2246,562,0.7704626334519573,30,,0,0.6832740213523132,0.9649750712250712,0.9750889679715302
random,119,2246,562,0.7580071174377224,29,,0,0.708185053380783,0.9402773595933476,0.9572953736654805
random,120,2246,562,0.7829181494661922,30,,0,0.6921708185053381,0.9660746209746698,0.9768683274021353
group_disjoint,101,2219,589,0.7164685908319185,9,,0,0.0,0.95850943927867,0.966044142614601
group_disjoint,102,2158,650,0.7907692307692308,11,,0,0.0,0.6334175084175084,0.7938461538461539
group_disjoint,103,2245,563,0.8010657193605684,9,,0,0.0,0.8942955401995667,0.9271758436944938
group_disjoint,104,2231,577,0.7608318890814558,11,,0,0.0,0.9119064756047024,0.9393414211438474
group_disjoint,105,2195,613,0.7275693311582382,10,,0,0.0,0.7478984684729144,0.7960848287112561
group_disjoint,106,2228,580,0.7706896551724138,10,,0,0.0,0.8922962648556876,0.9275862068965517
group_disjoint,107,2237,571,0.7670753064798599,9,,0,0.0,0.8584549949769724,0.9001751313485113
group_disjoint,108,2218,590,0.764406779661017,7,,0,0.0,0.759115977725423,0.7932203389830509
group_disjoint,109,2175,633,0.7898894154818326,11,,0,0.0,0.8755808563110756,0.9162717219589257
group_disjoint,110,2186,622,0.7813504823151125,9,,0,0.0,0.7060693787477691,0.8344051446945338
group_disjoint,111,2228,580,0.8051724137931034,7,,0,0.0,0.8525259284041485,0.9017241379310345
group_disjoint,112,2210,598,0.7491638795986622,6,,0,0.0,0.8845257306795768,0.9063545150501672
group_disjoint,113,2196,612,0.7287581699346405,10,,0,0.0,0.9094907407407408,0.9248366013071896
group_disjoint,114,2171,637,0.7708006279434851,4,,0,0.0,0.48274163443591367,0.6687598116169545
group_disjoint,115,2215,593,0.8111298482293423,9,,0,0.0,0.9411942241940561,0.9612141652613828
group_disjoint,116,2225,583,0.7650085763293311,9,,0,0.0,0.8657389130148704,0.9039451114922813
group_disjoint,117,2183,625,0.7856,8,,0,0.0,0.7095641302962137,0.8192
group_disjoint,118,2196,612,0.7205882352941176,9,,0,0.0,0.8269124931205283,0.8790849673202614
group_disjoint,119,2198,610,0.7262295081967213,10,,0,0.0,0.8185792349726777,0.8639344262295082
group_disjoint,120,2187,621,0.782608695652174,10,,0,0.0,0.7584795201932328,0.8470209339774557
stratified_group,101,2258,550,0.7254545454545455,7,,0,0.0,0.8787936748177747,0.9036363636363637
stratified_group,102,2046,762,0.847769028871391,7,,0,0.0,0.6041049382716049,0.7349081364829396
stratified_group,103,2400,408,0.803921568627451,7,,0,0.0,0.48212019083468294,0.7156862745098039
stratified_group,104,2289,519,0.8497109826589595,7,,0,0.0,0.900922685332485,0.953757225433526
stratified_group,105,1871,937,0.8409818569903948,7,,0,0.0,0.8296714226917272,0.8868729989327642
stratified_group,106,2294,514,0.7704280155642024,7,,0,0.0,0.9036370453693288,0.9260700389105059
stratified_group,107,2151,657,0.7671232876712328,7,,0,0.0,0.9491090599815957,0.9619482496194824
stratified_group,108,2255,553,0.7956600361663653,7,,0,0.0,0.9586970268830322,0.972875226039783
stratified_group,109,2246,562,0.802491103202847,7,,0,0.0,0.891652207441681,0.9217081850533808
stratified_group,110,2172,636,0.8223270440251572,7,,0,0.0,0.8508673966178487,0.9072327044025157
stratified_group,111,2400,408,0.7303921568627451,7,,0,0.0,0.6996481009586215,0.7769607843137255
stratified_group,112,2284,524,0.7843511450381679,7,,0,0.0,0.9284739284739285,0.950381679389313
stratified_group,113,2081,727,0.8404401650618982,7,,0,0.0,0.7000736702519522,0.8459422283356258
stratified_group,114,1842,966,0.7908902691511387,7,,0,0.0,0.6385496865616895,0.7898550724637681
stratified_group,115,2022,786,0.9007633587786259,7,,0,0.0,0.7471785189846865,0.8829516539440203
stratified_group,116,1946,862,0.8689095127610209,7,,0,0.0,0.8599628048174308,0.9222737819025522
stratified_group,117,2013,795,0.8981132075471698,7,,0,0.0,0.6917935336993849,0.8226415094339623
stratified_group,118,2382,426,0.6455399061032864,7,,0,0.0,0.7799741116006811,0.8098591549295775
stratified_group,119,1891,917,0.8767720828789531,7,,0,0.0,0.815949181125009,0.8942202835332607
stratified_group,120,2142,666,0.8333333333333334,7,,0,0.0,0.7703499131623153,0.8363363363363363
