layer,model,stage,p99,p99_hi,min_budget_ms_upper_ci
platform,FLOOR,no_op,0.0013,0.0013,1
radio,-,window_aggregation,0.0638,0.0679,1
radio,tree,sk_dataframe,0.5238009999999999,0.5564,1
radio,tree,sk_array,0.044200999999999845,0.0454,1
radio,tree,onnx,0.0143,0.0145,1
radio,tree,e2e_aggregate_plus_onnx,0.09670699999999888,0.1075,1
radio,tree,e2e_aggregate_plus_sk_array,0.18180099999999982,0.1908,1
radio,logreg,sk_dataframe,0.7192049999999992,0.7348,1
radio,logreg,sk_array,0.1666,0.1813,1
radio,logreg,onnx,0.0229,0.0231,1
radio,logreg,e2e_aggregate_plus_onnx,0.1093,0.1167,1
radio,logreg,e2e_aggregate_plus_sk_array,0.2677049999999992,0.2841,1
radio,xgboost,sk_array_all_threads,0.5072559999999999,0.5364,1
radio,xgboost,sk_dataframe,0.9962159999999974,1.0175,2
radio,xgboost,sk_array,0.3162039999999993,0.3292,1
radio,xgboost,onnx,0.021,0.0212,1
radio,xgboost,e2e_aggregate_plus_onnx,0.08840099999999984,0.0929,1
radio,xgboost,e2e_aggregate_plus_sk_array,0.4144,0.427,1
radio,mlp,sk_dataframe,0.6671009999999998,0.688,1
radio,mlp,sk_array,0.2094,0.219,1
radio,mlp,onnx,0.0354,0.0355,1
radio,mlp,e2e_aggregate_plus_onnx,0.1044,0.1087,1
radio,mlp,e2e_aggregate_plus_sk_array,0.2939079999999987,0.3114,1
radio,hgb,sk_dataframe,2.715902,2.9119,5
radio,hgb,sk_array,1.9229099999999824,2.1048,5
radio,hgb,onnx,0.0352,0.0361,1
radio,hgb,e2e_aggregate_plus_onnx,0.1097049999999992,0.1188,1
radio,hgb,e2e_aggregate_plus_sk_array,1.922168999999973,2.1137,5
radio,rf,sk_array_all_threads,62.79106899999999,67.8922,100
radio,rf,sk_dataframe,12.985215999999966,13.7124,20
radio,rf,sk_array,21.497913,21.9199,50
radio,rf,onnx,0.0243,0.0247,1
radio,rf,e2e_aggregate_plus_onnx,0.09580199999999968,0.1026,1
radio,rf,e2e_aggregate_plus_sk_array,34.84665699999999,35.5755,50
network,-,shared_space_mapping,54.49614299999996,56.1981,100
network,tree,sk_dataframe,0.4364319999999949,0.4572,1
network,tree,sk_array,0.0612,0.063,1
network,tree,onnx,0.0239,0.024,1
network,logreg,sk_dataframe,0.6826199999999968,0.6945,1
network,logreg,sk_array,0.15700299999999953,0.1641,1
network,logreg,onnx,0.0248,0.0249,1
network,xgboost,sk_array_all_threads,0.474917,0.5142,1
network,xgboost,sk_dataframe,0.9067039999999993,0.9288,1
network,xgboost,sk_array,0.3985099999999984,0.4078,1
network,xgboost,onnx,0.0244,0.025,1
network,mlp,sk_dataframe,0.573905999999999,0.5968,1
network,mlp,sk_array,0.15480099999999983,0.161,1
network,mlp,onnx,0.036700999999999845,0.0395,1
network,hgb,sk_dataframe,1.4460019999999996,1.4625,2
network,hgb,sk_array,1.2213059999999991,1.2458,2
network,hgb,onnx,0.0339,0.034,1
network,rf,sk_array_all_threads,130.01696299999998,160.2099,200
network,rf,sk_dataframe,24.31588799999997,24.8781,50
network,rf,sk_array,4.450604999999999,4.4849,5
network,rf,onnx,0.02850199999999968,0.0293,1
