layer,model,max_abs_diff,p99_abs_diff,decision_agreement,ok
radio,tree,6.039608480001846e-09,6.039608480001846e-09,1.0,True
radio,logreg,3.018398725407323e-07,2.1470019806901777e-07,1.0,True
radio,xgboost,8.16071406006813e-08,6.898771687247063e-08,1.0,True
radio,mlp,2.384185791015625e-07,1.6391277313232422e-07,1.0,True
radio,hgb,1.8877603502609475e-07,7.402682064761544e-08,1.0,True
radio,rf,8.4289484914013e-07,8.114902457023731e-07,1.0,True
network,tree,2.625385286947335e-08,6.88545032101473e-09,1.0,True
network,logreg,5.495761377649622e-07,1.894146918479666e-07,1.0,True
network,xgboost,7.334165275096893e-08,5.868264452146832e-08,1.0,True
network,mlp,4.76837158203125e-07,1.1920928955078125e-07,1.0,True
network,hgb,2.108232443065461e-07,1.2541705978655338e-07,1.0,True
network,rf,8.46520757602498e-07,7.901506642316036e-07,1.0,True
