layer,model,stage,n,mean,max,note,p50,p50_lo,p50_hi,p95,p95_lo,p95_hi,p99,p99_lo,p99_hi,p99_9,p99_9_lo,p99_9_hi
platform,FLOOR,no_op,20000,0.000945825,0.0655,,0.0009,0.0009,0.0009,0.0012,0.0012,0.0012,0.0013,0.0013,0.0013,0.003300100000000384,0.002,0.0057
radio,-,window_aggregation,20000,0.039389535,0.4422,16 records x 16 KPM features -> 32,0.0381,0.038,0.0381,0.0436,0.0431,0.044,0.0638,0.0606,0.0679,0.1662094000000361,0.1471,0.2266
radio,tree,sk_dataframe,20000,0.320663665,13.0561,"EXP-005 path, 1 thread",0.3084,0.3082,0.3086,0.3618,0.3583,0.3652,0.5238009999999999,0.5085,0.5564,0.9279114000000438,0.8515,1.1587
radio,tree,sk_array,20000,0.03126417,0.3471,1 thread,0.0304,0.0304,0.0304,0.0345,0.0343,0.0348,0.044200999999999845,0.0428,0.0454,0.13010030000000114,0.114,0.1577
radio,tree,onnx,20000,0.009955939999999998,0.3105,"agreement 1.0000, max|diff| 6.0e-09",0.0096,0.0096,0.0096,0.0119,0.0117,0.0121,0.0143,0.0141,0.0145,0.024500100000000385,0.0217,0.0326
radio,tree,e2e_aggregate_plus_onnx,20000,0.05540111999999999,11.6945,,0.0524,0.0523,0.0524,0.0631,0.0626,0.0636,0.09670699999999888,0.0888,0.1075,0.3233032000000123,0.2915,0.358
radio,tree,e2e_aggregate_plus_sk_array,20000,0.08829076,6.7141,,0.0836,0.0836,0.0837,0.0999,0.0992,0.1008,0.18180099999999982,0.1758,0.1908,0.4000033000000127,0.34,0.4834
radio,logreg,sk_dataframe,20000,0.4519232749999999,14.0949,"EXP-005 path, 1 thread",0.4367,0.4363,0.4369,0.5200049999999999,0.5153,0.5267,0.7192049999999992,0.7067,0.7348,1.390327800000107,1.1976,2.0257
radio,logreg,sk_array,20000,0.11294347,11.4819,1 thread,0.1089,0.1088,0.1089,0.1207,0.1204,0.1211,0.1666,0.1544,0.1813,0.4703062000000238,0.4019,0.5106
radio,logreg,onnx,20000,0.010703,0.2987,"agreement 1.0000, max|diff| 3.0e-07",0.0102,0.0101,0.0102,0.0136,0.0136,0.0137,0.0229,0.0211,0.0231,0.029000300000001155,0.0269,0.0379
radio,logreg,e2e_aggregate_plus_onnx,20000,0.05923984499999999,3.611,,0.056,0.056,0.0561,0.0683,0.0679,0.0689,0.1093,0.103,0.1167,0.30500130000000497,0.2734,0.3889
