seed,model,method,calibrator,pi_hat,pi_true,pi_source
101,logreg,EM,platt,0.02940877700346294,0.6070891339587742,0.9595820170109356
101,logreg,BBSE,raw,0.0,0.6070891339587742,0.9595820170109356
101,logreg,EM,isotonic,0.04066398474736321,0.6070891339587742,0.9595820170109356
101,tree,EM,platt,0.7574288898426257,0.6070891339587742,0.9595820170109356
101,tree,BBSE,raw,0.7559542383236691,0.6070891339587742,0.9595820170109356
101,tree,EM,isotonic,0.7842208886921119,0.6070891339587742,0.9595820170109356
101,rf,EM,platt,0.7196370238928745,0.6070891339587742,0.9595820170109356
101,rf,BBSE,raw,0.7441759375298959,0.6070891339587742,0.9595820170109356
101,rf,EM,isotonic,0.6152998860400888,0.6070891339587742,0.9595820170109356
101,xgboost,EM,platt,0.740048732010848,0.6070891339587742,0.9595820170109356
101,xgboost,BBSE,raw,0.7432574291310601,0.6070891339587742,0.9595820170109356
101,xgboost,EM,isotonic,0.6730061324651374,0.6070891339587742,0.9595820170109356
101,hgb,EM,platt,0.7709495575127593,0.6070891339587742,0.9595820170109356
101,hgb,BBSE,raw,0.745182307544955,0.6070891339587742,0.9595820170109356
101,hgb,EM,isotonic,0.7346747547300816,0.6070891339587742,0.9595820170109356
101,mlp,EM,platt,0.8358160074603175,0.6070891339587742,0.9595820170109356
101,mlp,BBSE,raw,0.7722375481268013,0.6070891339587742,0.9595820170109356
101,mlp,EM,isotonic,0.8126984963481939,0.6070891339587742,0.9595820170109356
102,logreg,EM,platt,0.999999,0.6070891339587742,0.6144376409925878
102,logreg,BBSE,raw,0.8472865180855058,0.6070891339587742,0.6144376409925878
102,logreg,EM,isotonic,0.9950093752130305,0.6070891339587742,0.6144376409925878
102,tree,EM,platt,0.999999,0.6070891339587742,0.6144376409925878
102,tree,BBSE,raw,1.0,0.6070891339587742,0.6144376409925878
102,tree,EM,isotonic,0.999999,0.6070891339587742,0.6144376409925878
102,rf,EM,platt,0.999999,0.6070891339587742,0.6144376409925878
102,rf,BBSE,raw,1.0,0.6070891339587742,0.6144376409925878
102,rf,EM,isotonic,0.8968149007515482,0.6070891339587742,0.6144376409925878
102,xgboost,EM,platt,0.999999,0.6070891339587742,0.6144376409925878
102,xgboost,BBSE,raw,1.0,0.6070891339587742,0.6144376409925878
102,xgboost,EM,isotonic,0.9999828389190552,0.6070891339587742,0.6144376409925878
102,hgb,EM,platt,0.999999,0.6070891339587742,0.6144376409925878
102,hgb,BBSE,raw,1.0,0.6070891339587742,0.6144376409925878
102,hgb,EM,isotonic,0.999999,0.6070891339587742,0.6144376409925878
102,mlp,EM,platt,0.999999,0.6070891339587742,0.6144376409925878
102,mlp,BBSE,raw,1.0,0.6070891339587742,0.6144376409925878
102,mlp,EM,isotonic,0.9999671568674365,0.6070891339587742,0.6144376409925878
103,logreg,EM,platt,1e-06,0.6070891339587742,0.9804572593563419
103,logreg,BBSE,raw,0.0,0.6070891339587742,0.9804572593563419
103,logreg,EM,isotonic,1e-06,0.6070891339587742,0.9804572593563419
103,tree,EM,platt,0.9917599093245417,0.6070891339587742,0.9804572593563419
103,tree,BBSE,raw,0.9990773223070022,0.6070891339587742,0.9804572593563419
103,tree,EM,isotonic,0.9521382058294179,0.6070891339587742,0.9804572593563419
103,rf,EM,platt,0.6321295787005059,0.6070891339587742,0.9804572593563419
103,rf,BBSE,raw,0.7510111850751869,0.6070891339587742,0.9804572593563419
103,rf,EM,isotonic,0.058965972370729605,0.6070891339587742,0.9804572593563419
103,xgboost,EM,platt,0.6447068001015276,0.6070891339587742,0.9804572593563419
103,xgboost,BBSE,raw,0.6938794698372233,0.6070891339587742,0.9804572593563419
103,xgboost,EM,isotonic,0.2928459211468822,0.6070891339587742,0.9804572593563419
103,hgb,EM,platt,0.6494370529138375,0.6070891339587742,0.9804572593563419
103,hgb,BBSE,raw,0.6780942564826832,0.6070891339587742,0.9804572593563419
103,hgb,EM,isotonic,0.30484140187316433,0.6070891339587742,0.9804572593563419
103,mlp,EM,platt,0.7513495026228932,0.6070891339587742,0.9804572593563419
103,mlp,BBSE,raw,0.7523904904336792,0.6070891339587742,0.9804572593563419
103,mlp,EM,isotonic,0.7610939551209043,0.6070891339587742,0.9804572593563419
104,logreg,EM,platt,1e-06,0.6070891339587742,0.9723857463811393
104,logreg,BBSE,raw,0.0,0.6070891339587742,0.9723857463811393
104,logreg,EM,isotonic,4.399968727738821e-06,0.6070891339587742,0.9723857463811393
104,tree,EM,platt,0.6886952927770437,0.6070891339587742,0.9723857463811393
104,tree,BBSE,raw,0.6829618808924056,0.6070891339587742,0.9723857463811393
104,tree,EM,isotonic,0.7176534677434865,0.6070891339587742,0.9723857463811393
104,rf,EM,platt,3.4887434155110497e-05,0.6070891339587742,0.9723857463811393
104,rf,BBSE,raw,0.7134650928687251,0.6070891339587742,0.9723857463811393
104,rf,EM,isotonic,1e-06,0.6070891339587742,0.9723857463811393
104,xgboost,EM,platt,1e-06,0.6070891339587742,0.9723857463811393
104,xgboost,BBSE,raw,0.46205333850262365,0.6070891339587742,0.9723857463811393
104,xgboost,EM,isotonic,1e-06,0.6070891339587742,0.9723857463811393
104,hgb,EM,platt,1e-06,0.6070891339587742,0.9723857463811393
104,hgb,BBSE,raw,0.10822648765211203,0.6070891339587742,0.9723857463811393
104,hgb,EM,isotonic,1e-06,0.6070891339587742,0.9723857463811393
104,mlp,EM,platt,0.6337401109491926,0.6070891339587742,0.9723857463811393
104,mlp,BBSE,raw,0.6444040065483535,0.6070891339587742,0.9723857463811393
104,mlp,EM,isotonic,0.6951408669190353,0.6070891339587742,0.9723857463811393
105,logreg,EM,platt,0.06393473941321054,0.6070891339587742,0.9583634622525358
105,logreg,BBSE,raw,0.0014689360637650064,0.6070891339587742,0.9583634622525358
105,logreg,EM,isotonic,0.035724704298130266,0.6070891339587742,0.9583634622525358
105,tree,EM,platt,0.7789816961480804,0.6070891339587742,0.9583634622525358
105,tree,BBSE,raw,0.7695960220718666,0.6070891339587742,0.9583634622525358
105,tree,EM,isotonic,0.9435057489968603,0.6070891339587742,0.9583634622525358
105,rf,EM,platt,0.6939277492732984,0.6070891339587742,0.9583634622525358
105,rf,BBSE,raw,0.7117049232289878,0.6070891339587742,0.9583634622525358
105,rf,EM,isotonic,0.5372753480621156,0.6070891339587742,0.9583634622525358
105,xgboost,EM,platt,0.6563849887505612,0.6070891339587742,0.9583634622525358
105,xgboost,BBSE,raw,0.6943620173075217,0.6070891339587742,0.9583634622525358
105,xgboost,EM,isotonic,0.2263108690418195,0.6070891339587742,0.9583634622525358
105,hgb,EM,platt,0.6619930995522476,0.6070891339587742,0.9583634622525358
105,hgb,BBSE,raw,0.6333278357889273,0.6070891339587742,0.9583634622525358
105,hgb,EM,isotonic,0.5781537970293431,0.6070891339587742,0.9583634622525358
105,mlp,EM,platt,0.7709625772267149,0.6070891339587742,0.9583634622525358
105,mlp,BBSE,raw,0.7032546842214472,0.6070891339587742,0.9583634622525358
105,mlp,EM,isotonic,0.814480770999204,0.6070891339587742,0.9583634622525358
106,logreg,EM,platt,0.10109071414125571,0.6070891339587742,0.9837576104278184
106,logreg,BBSE,raw,0.007825656437654016,0.6070891339587742,0.9837576104278184
106,logreg,EM,isotonic,0.07962098219141919,0.6070891339587742,0.9837576104278184
106,tree,EM,platt,0.852270048915048,0.6070891339587742,0.9837576104278184
106,tree,BBSE,raw,0.7955090712663074,0.6070891339587742,0.9837576104278184
106,tree,EM,isotonic,0.875344715585953,0.6070891339587742,0.9837576104278184
106,rf,EM,platt,0.6403641373790874,0.6070891339587742,0.9837576104278184
106,rf,BBSE,raw,0.6039487598751404,0.6070891339587742,0.9837576104278184
106,rf,EM,isotonic,0.6188922960717166,0.6070891339587742,0.9837576104278184
106,xgboost,EM,platt,0.5343981193382232,0.6070891339587742,0.9837576104278184
106,xgboost,BBSE,raw,0.5582103601980053,0.6070891339587742,0.9837576104278184
106,xgboost,EM,isotonic,0.3090908516249545,0.6070891339587742,0.9837576104278184
106,hgb,EM,platt,0.7557141405342029,0.6070891339587742,0.9837576104278184
106,hgb,BBSE,raw,0.7341038676940633,0.6070891339587742,0.9837576104278184
106,hgb,EM,isotonic,0.7521082515367111,0.6070891339587742,0.9837576104278184
106,mlp,EM,platt,0.9096171496018753,0.6070891339587742,0.9837576104278184
106,mlp,BBSE,raw,1.0,0.6070891339587742,0.9837576104278184
106,mlp,EM,isotonic,0.8320286571292966,0.6070891339587742,0.9837576104278184
107,logreg,EM,platt,1e-06,0.6070891339587742,0.9550536772239298
107,logreg,BBSE,raw,0.0,0.6070891339587742,0.9550536772239298
