model,split_seed,benign,benign__n,dos,dos__n,probe,probe__n
majority,101,0.0,477736,1.0,682152,1.0,56001
stratified,101,0.06172028065709932,477736,0.9385444886183725,682152,0.9366975589721612,56001
logreg,101,0.14502989098581642,477736,0.8731045280230799,682152,0.9987321654970447,56001
tree,101,0.6685952073948792,477736,0.1328633501037892,682152,0.366904162425671,56001
rf,101,0.7375851934959894,477736,0.12988014401482367,682152,0.366904162425671,56001
xgboost,101,0.7606544200144013,477736,0.07312153303076148,682152,0.007892716201496402,56001
hgb,101,0.7462929316610011,477736,0.06732077308283198,682152,0.36274352243709934,56001
mlp,101,0.7417004370614733,477736,0.09611787402221206,682152,0.004785628828056642,56001
majority,102,0.0,477736,1.0,682152,1.0,56001
stratified,102,0.061368622000435386,477736,0.9389417607805884,682152,0.9370011249799111,56001
logreg,102,0.14599067267277324,477736,0.8673023021262123,682152,0.999000017856824,56001
tree,102,0.6404855401309509,477736,0.12140256130598459,682152,0.7183978857520401,56001
rf,102,0.9143983287840983,477736,0.20033804782511816,682152,0.3635827931644078,56001
xgboost,102,0.9955289113652729,477736,0.05759126998088403,682152,0.003303512437277906,56001
hgb,102,0.9922153658087312,477736,0.08121063927101291,682152,0.004160639988571632,56001
mlp,102,0.9940071503926855,477736,0.15125367953183455,682152,0.0035713647970571955,56001
majority,103,0.0,477736,1.0,682152,1.0,56001
stratified,103,0.055846743808295796,477736,0.9443774994429394,682152,0.942679595007232,56001
logreg,103,0.14724868965286267,477736,0.8638441285813132,682152,0.9987321654970447,56001
tree,103,0.9224488001741548,477736,0.09480145187582827,682152,0.004410635524365636,56001
rf,103,0.946732086340573,477736,0.20833186738439527,682152,0.7165050624095999,56001
xgboost,103,0.9964415493075673,477736,0.05029231021825048,682152,0.002999946429528044,56001
hgb,103,0.9804599192859654,477736,0.07479418076909546,682152,0.004035642220674631,56001
mlp,103,0.9670947971264464,477736,0.046345975676975217,682152,0.005232049427688791,56001
majority,104,0.0,477736,1.0,682152,1.0,56001
stratified,104,0.0741916037309309,477736,0.9259710445765753,682152,0.9242156390064463,56001
logreg,104,0.136985699214629,477736,0.8646679918845067,682152,0.999000017856824,56001
