model,split_seed,domain,tau,tp,fp,fn,tn
majority,101,source_heldout,0.05,142326,6754,0,0
majority,101,source_heldout,0.1,142326,6754,0,0
majority,101,source_heldout,0.15,142326,6754,0,0
majority,101,source_heldout,0.2,142326,6754,0,0
majority,101,source_heldout,0.25,142326,6754,0,0
majority,101,source_heldout,0.3,142326,6754,0,0
majority,101,source_heldout,0.35,142326,6754,0,0
majority,101,source_heldout,0.4,142326,6754,0,0
majority,101,source_heldout,0.45,142326,6754,0,0
majority,101,source_heldout,0.5,142326,6754,0,0
majority,101,source_heldout,0.55,142326,6754,0,0
majority,101,source_heldout,0.6,142326,6754,0,0
majority,101,source_heldout,0.65,142326,6754,0,0
majority,101,source_heldout,0.7,142326,6754,0,0
majority,101,source_heldout,0.75,142326,6754,0,0
majority,101,source_heldout,0.8,142326,6754,0,0
majority,101,source_heldout,0.85,142326,6754,0,0
majority,101,source_heldout,0.9,142326,6754,0,0
majority,101,source_heldout,0.95,142326,6754,0,0
majority,101,source_heldout,0.975,142326,6754,0,0
majority,101,source_heldout,0.99,142326,6754,0,0
majority,101,source_heldout,0.995,142326,6754,0,0
majority,101,source_heldout,0.999,142326,6754,0,0
majority,101,target,0.05,738153,477736,0,0
majority,101,target,0.1,738153,477736,0,0
majority,101,target,0.15,738153,477736,0,0
majority,101,target,0.2,738153,477736,0,0
majority,101,target,0.25,738153,477736,0,0
majority,101,target,0.3,738153,477736,0,0
majority,101,target,0.35,738153,477736,0,0
majority,101,target,0.4,738153,477736,0,0
majority,101,target,0.45,738153,477736,0,0
majority,101,target,0.5,738153,477736,0,0
majority,101,target,0.55,738153,477736,0,0
majority,101,target,0.6,738153,477736,0,0
majority,101,target,0.65,738153,477736,0,0
majority,101,target,0.7,738153,477736,0,0
majority,101,target,0.75,738153,477736,0,0
majority,101,target,0.8,738153,477736,0,0
majority,101,target,0.85,738153,477736,0,0
majority,101,target,0.9,738153,477736,0,0
majority,101,target,0.95,738153,477736,0,0
majority,101,target,0.975,738153,477736,0,0
majority,101,target,0.99,738153,477736,0,0
majority,101,target,0.995,738153,477736,0,0
majority,101,target,0.999,738153,477736,0,0
stratified,101,source_heldout,0.05,133581,6350,8745,404
stratified,101,source_heldout,0.1,133581,6350,8745,404
stratified,101,source_heldout,0.15,133581,6350,8745,404
stratified,101,source_heldout,0.2,133581,6350,8745,404
stratified,101,source_heldout,0.25,133581,6350,8745,404
stratified,101,source_heldout,0.3,133581,6350,8745,404
stratified,101,source_heldout,0.35,133581,6350,8745,404
stratified,101,source_heldout,0.4,133581,6350,8745,404
stratified,101,source_heldout,0.45,133581,6350,8745,404
stratified,101,source_heldout,0.5,133581,6350,8745,404
stratified,101,source_heldout,0.55,133581,6350,8745,404
stratified,101,source_heldout,0.6,133581,6350,8745,404
stratified,101,source_heldout,0.65,133581,6350,8745,404
stratified,101,source_heldout,0.7,133581,6350,8745,404
stratified,101,source_heldout,0.75,133581,6350,8745,404
stratified,101,source_heldout,0.8,133581,6350,8745,404
stratified,101,source_heldout,0.85,133581,6350,8745,404
stratified,101,source_heldout,0.9,133581,6350,8745,404
stratified,101,source_heldout,0.95,133581,6350,8745,404
stratified,101,source_heldout,0.975,133581,6350,8745,404
stratified,101,source_heldout,0.99,133581,6350,8745,404
stratified,101,source_heldout,0.995,133581,6350,8745,404
stratified,101,source_heldout,0.999,133581,6350,8745,404
stratified,101,target,0.05,692686,448250,45467,29486
stratified,101,target,0.1,692686,448250,45467,29486
stratified,101,target,0.15,692686,448250,45467,29486
stratified,101,target,0.2,692686,448250,45467,29486
stratified,101,target,0.25,692686,448250,45467,29486
stratified,101,target,0.3,692686,448250,45467,29486
stratified,101,target,0.35,692686,448250,45467,29486
stratified,101,target,0.4,692686,448250,45467,29486
stratified,101,target,0.45,692686,448250,45467,29486
stratified,101,target,0.5,692686,448250,45467,29486
stratified,101,target,0.55,692686,448250,45467,29486
stratified,101,target,0.6,692686,448250,45467,29486
stratified,101,target,0.65,692686,448250,45467,29486
stratified,101,target,0.7,692686,448250,45467,29486
stratified,101,target,0.75,692686,448250,45467,29486
stratified,101,target,0.8,692686,448250,45467,29486
stratified,101,target,0.85,692686,448250,45467,29486
stratified,101,target,0.9,692686,448250,45467,29486
stratified,101,target,0.95,692686,448250,45467,29486
stratified,101,target,0.975,692686,448250,45467,29486
stratified,101,target,0.99,692686,448250,45467,29486
stratified,101,target,0.995,692686,448250,45467,29486
stratified,101,target,0.999,692686,448250,45467,29486
logreg,101,source_heldout,0.05,140909,4301,1417,2453
logreg,101,source_heldout,0.1,140832,4224,1494,2530
logreg,101,source_heldout,0.15,139649,3980,2677,2774
logreg,101,source_heldout,0.2,139144,3648,3182,3106
logreg,101,source_heldout,0.25,137051,3114,5275,3640
logreg,101,source_heldout,0.3,130922,2998,11404,3756
logreg,101,source_heldout,0.35,130513,2867,11813,3887
logreg,101,source_heldout,0.4,130170,2720,12156,4034
logreg,101,source_heldout,0.45,128953,2574,13373,4180
logreg,101,source_heldout,0.5,128649,2469,13677,4285
logreg,101,source_heldout,0.55,128428,2378,13898,4376
logreg,101,source_heldout,0.6,128098,2304,14228,4450
logreg,101,source_heldout,0.65,127834,2270,14492,4484
logreg,101,source_heldout,0.7,127486,2148,14840,4606
logreg,101,source_heldout,0.75,126226,2018,16100,4736
logreg,101,source_heldout,0.8,106711,1972,35615,4782
logreg,101,source_heldout,0.85,98645,908,43681,5846
logreg,101,source_heldout,0.9,80597,360,61729,6394
logreg,101,source_heldout,0.95,4668,189,137658,6565
logreg,101,source_heldout,0.975,3734,188,138592,6566
logreg,101,source_heldout,0.99,0,0,142326,6754
logreg,101,source_heldout,0.995,0,0,142326,6754
logreg,101,source_heldout,0.999,0,0,142326,6754
logreg,101,target,0.05,670043,443358,68110,34378
logreg,101,target,0.1,666104,435381,72049,42355
logreg,101,target,0.15,664065,411853,74088,65883
logreg,101,target,0.2,659339,410993,78814,66743
logreg,101,target,0.25,656335,410249,81818,67487
logreg,101,target,0.3,655103,409855,83050,67881
logreg,101,target,0.35,654560,409396,83593,68340
logreg,101,target,0.4,654467,408951,83686,68785
logreg,101,target,0.45,653941,408605,84212,69131
logreg,101,target,0.5,651520,408450,86633,69286
logreg,101,target,0.55,649030,408252,89123,69484
logreg,101,target,0.6,646828,407508,91325,70228
logreg,101,target,0.65,643473,407289,94680,70447
logreg,101,target,0.7,637057,406897,101096,70839
logreg,101,target,0.75,624991,294249,113162,183487
logreg,101,target,0.8,606841,291325,131312,186411
logreg,101,target,0.85,105255,8130,632898,469606
logreg,101,target,0.9,66742,7059,671411,470677
logreg,101,target,0.95,58272,7052,679881,470684
logreg,101,target,0.975,58272,7020,679881,470716
logreg,101,target,0.99,0,0,738153,477736
logreg,101,target,0.995,0,0,738153,477736
logreg,101,target,0.999,0,0,738153,477736
tree,101,source_heldout,0.05,131555,2032,10771,4722
tree,101,source_heldout,0.1,129419,1456,12907,5298
tree,101,source_heldout,0.15,128479,1390,13847,5364
tree,101,source_heldout,0.2,128187,1351,14139,5403
tree,101,source_heldout,0.25,127493,1320,14833,5434
tree,101,source_heldout,0.3,127177,1290,15149,5464
tree,101,source_heldout,0.35,126577,1258,15749,5496
tree,101,source_heldout,0.4,126424,1255,15902,5499
tree,101,source_heldout,0.45,126424,1255,15902,5499
