model,split_seed,tau,tp,fp,fn,tn
majority,101,0.01,422,167,0,0
majority,101,0.02,422,167,0,0
majority,101,0.03,422,167,0,0
majority,101,0.04,422,167,0,0
majority,101,0.05,422,167,0,0
majority,101,0.06,422,167,0,0
majority,101,0.07,422,167,0,0
majority,101,0.08,422,167,0,0
majority,101,0.09,422,167,0,0
majority,101,0.1,422,167,0,0
majority,101,0.11,422,167,0,0
majority,101,0.12,422,167,0,0
majority,101,0.13,422,167,0,0
majority,101,0.14,422,167,0,0
majority,101,0.15,422,167,0,0
majority,101,0.16,422,167,0,0
majority,101,0.17,422,167,0,0
majority,101,0.18,422,167,0,0
majority,101,0.19,422,167,0,0
majority,101,0.2,422,167,0,0
majority,101,0.21,422,167,0,0
majority,101,0.22,422,167,0,0
majority,101,0.23,422,167,0,0
majority,101,0.24,422,167,0,0
majority,101,0.25,422,167,0,0
majority,101,0.26,422,167,0,0
majority,101,0.27,422,167,0,0
majority,101,0.28,422,167,0,0
majority,101,0.29,422,167,0,0
majority,101,0.3,422,167,0,0
majority,101,0.31,422,167,0,0
majority,101,0.32,422,167,0,0
majority,101,0.33,422,167,0,0
majority,101,0.34,422,167,0,0
majority,101,0.35,422,167,0,0
majority,101,0.36,422,167,0,0
majority,101,0.37,422,167,0,0
majority,101,0.38,422,167,0,0
majority,101,0.39,422,167,0,0
majority,101,0.4,422,167,0,0
majority,101,0.41,422,167,0,0
majority,101,0.42,422,167,0,0
majority,101,0.43,422,167,0,0
majority,101,0.44,422,167,0,0
majority,101,0.45,422,167,0,0
majority,101,0.46,422,167,0,0
majority,101,0.47,422,167,0,0
majority,101,0.48,422,167,0,0
majority,101,0.49,422,167,0,0
majority,101,0.5,422,167,0,0
majority,101,0.51,422,167,0,0
majority,101,0.52,422,167,0,0
majority,101,0.53,422,167,0,0
majority,101,0.54,422,167,0,0
majority,101,0.55,422,167,0,0
majority,101,0.56,422,167,0,0
majority,101,0.57,422,167,0,0
majority,101,0.58,422,167,0,0
majority,101,0.59,422,167,0,0
majority,101,0.6,422,167,0,0
majority,101,0.61,422,167,0,0
majority,101,0.62,422,167,0,0
majority,101,0.63,422,167,0,0
majority,101,0.64,422,167,0,0
majority,101,0.65,422,167,0,0
majority,101,0.66,422,167,0,0
majority,101,0.67,422,167,0,0
majority,101,0.68,422,167,0,0
majority,101,0.69,422,167,0,0
majority,101,0.7,422,167,0,0
majority,101,0.71,422,167,0,0
majority,101,0.72,422,167,0,0
majority,101,0.73,422,167,0,0
majority,101,0.74,422,167,0,0
majority,101,0.75,422,167,0,0
majority,101,0.76,422,167,0,0
majority,101,0.77,422,167,0,0
majority,101,0.78,422,167,0,0
majority,101,0.79,422,167,0,0
majority,101,0.8,422,167,0,0
majority,101,0.81,422,167,0,0
majority,101,0.82,422,167,0,0
majority,101,0.83,422,167,0,0
majority,101,0.84,422,167,0,0
majority,101,0.85,422,167,0,0
majority,101,0.86,422,167,0,0
majority,101,0.87,422,167,0,0
majority,101,0.88,422,167,0,0
majority,101,0.89,422,167,0,0
majority,101,0.9,422,167,0,0
majority,101,0.91,422,167,0,0
majority,101,0.92,422,167,0,0
majority,101,0.93,422,167,0,0
majority,101,0.94,422,167,0,0
majority,101,0.95,422,167,0,0
majority,101,0.96,422,167,0,0
majority,101,0.97,422,167,0,0
majority,101,0.98,422,167,0,0
majority,101,0.99,422,167,0,0
majority,101,0.995,422,167,0,0
majority,101,0.999,422,167,0,0
majority,101,0.9995,422,167,0,0
stratified,101,0.01,332,129,90,38
stratified,101,0.02,332,129,90,38
stratified,101,0.03,332,129,90,38
stratified,101,0.04,332,129,90,38
stratified,101,0.05,332,129,90,38
stratified,101,0.06,332,129,90,38
stratified,101,0.07,332,129,90,38
stratified,101,0.08,332,129,90,38
stratified,101,0.09,332,129,90,38
stratified,101,0.1,332,129,90,38
stratified,101,0.11,332,129,90,38
stratified,101,0.12,332,129,90,38
stratified,101,0.13,332,129,90,38
stratified,101,0.14,332,129,90,38
stratified,101,0.15,332,129,90,38
stratified,101,0.16,332,129,90,38
stratified,101,0.17,332,129,90,38
stratified,101,0.18,332,129,90,38
stratified,101,0.19,332,129,90,38
stratified,101,0.2,332,129,90,38
stratified,101,0.21,332,129,90,38
stratified,101,0.22,332,129,90,38
stratified,101,0.23,332,129,90,38
stratified,101,0.24,332,129,90,38
stratified,101,0.25,332,129,90,38
stratified,101,0.26,332,129,90,38
stratified,101,0.27,332,129,90,38
stratified,101,0.28,332,129,90,38
stratified,101,0.29,332,129,90,38
stratified,101,0.3,332,129,90,38
stratified,101,0.31,332,129,90,38
stratified,101,0.32,332,129,90,38
stratified,101,0.33,332,129,90,38
stratified,101,0.34,332,129,90,38
stratified,101,0.35,332,129,90,38
stratified,101,0.36,332,129,90,38
stratified,101,0.37,332,129,90,38
stratified,101,0.38,332,129,90,38
stratified,101,0.39,332,129,90,38
stratified,101,0.4,332,129,90,38
stratified,101,0.41,332,129,90,38
stratified,101,0.42,332,129,90,38
stratified,101,0.43,332,129,90,38
stratified,101,0.44,332,129,90,38
stratified,101,0.45,332,129,90,38
stratified,101,0.46,332,129,90,38
stratified,101,0.47,332,129,90,38
stratified,101,0.48,332,129,90,38
stratified,101,0.49,332,129,90,38
stratified,101,0.5,332,129,90,38
stratified,101,0.51,332,129,90,38
stratified,101,0.52,332,129,90,38
stratified,101,0.53,332,129,90,38
stratified,101,0.54,332,129,90,38
stratified,101,0.55,332,129,90,38
stratified,101,0.56,332,129,90,38
stratified,101,0.57,332,129,90,38
stratified,101,0.58,332,129,90,38
stratified,101,0.59,332,129,90,38
stratified,101,0.6,332,129,90,38
stratified,101,0.61,332,129,90,38
stratified,101,0.62,332,129,90,38
stratified,101,0.63,332,129,90,38
stratified,101,0.64,332,129,90,38
stratified,101,0.65,332,129,90,38
stratified,101,0.66,332,129,90,38
stratified,101,0.67,332,129,90,38
stratified,101,0.68,332,129,90,38
stratified,101,0.69,332,129,90,38
stratified,101,0.7,332,129,90,38
stratified,101,0.71,332,129,90,38
stratified,101,0.72,332,129,90,38
stratified,101,0.73,332,129,90,38
stratified,101,0.74,332,129,90,38
stratified,101,0.75,332,129,90,38
stratified,101,0.76,332,129,90,38
stratified,101,0.77,332,129,90,38
stratified,101,0.78,332,129,90,38
stratified,101,0.79,332,129,90,38
stratified,101,0.8,332,129,90,38
stratified,101,0.81,332,129,90,38
stratified,101,0.82,332,129,90,38
stratified,101,0.83,332,129,90,38
stratified,101,0.84,332,129,90,38
stratified,101,0.85,332,129,90,38
stratified,101,0.86,332,129,90,38
stratified,101,0.87,332,129,90,38
stratified,101,0.88,332,129,90,38
stratified,101,0.89,332,129,90,38
stratified,101,0.9,332,129,90,38
stratified,101,0.91,332,129,90,38
stratified,101,0.92,332,129,90,38
stratified,101,0.93,332,129,90,38
stratified,101,0.94,332,129,90,38
stratified,101,0.95,332,129,90,38
