model,split_seed,domain,n_train,n_eval,train_prevalence,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
majority,101,source_heldout,150920,149080,0.9384177047442354,0.5,142326,6754,0,0,0.9546954655218675,0.5,0.9546954655218675,1.0,0.9768227147004523,0.48841135735022617,0.0,1.0,0.0,0.0,0.5,0.9546954655218675,0.04530453447813255,0.04530453447813255
stratified,101,source_heldout,150920,149080,0.9384177047442354,0.5,133581,6350,404,8745,0.8987456399248726,0.4991864791791587,0.9546204915279674,0.9385565532650394,0.9465203697339658,0.49866419668865175,-0.0014098650205466698,0.940183594906722,0.061443446734960584,0.059816405093278055,0.4991864791791587,0.954625098188568,0.04523594282569819,0.10125436007512745
logreg,101,source_heldout,150920,149080,0.9384177047442354,0.5,132463,929,5825,9863,0.9276093372685806,0.8965766139888027,0.9930355643516853,0.9307013476104156,0.9608585583821151,0.7399872508513374,0.5375650978025049,0.1375481196328102,0.06929865238958448,0.8624518803671898,0.9672861257379101,0.9979661898538065,0.6673626020470098,0.0656762232148083
tree,101,source_heldout,150920,149080,0.9384177047442354,0.5,127583,1127,5627,14743,0.8935470888113765,0.8647748931058694,0.9912438815942817,0.8964138667566011,0.9414468926637052,0.6781780990379431,0.4417493559259099,0.1668640805448623,0.10358613324339895,0.8331359194551377,0.8816221397712811,0.9898917426721081,0.3608568235696944,0.09750707820305685
rf,101,source_heldout,150920,149080,0.9384177047442354,0.5,128789,1178,5576,13537,0.9012946069224578,0.8652361049302242,0.9909361607177206,0.9048873712462937,0.9459589486325393,0.688543706735955,0.4544073749567211,0.17441516138584542,0.09511262875370628,0.8255848386141545,0.9621532790808438,0.9981257262497195,0.6365999047456862,0.07375868483595359
xgboost,101,source_heldout,150920,149080,0.9384177047442354,0.5,124724,242,6512,17602,0.8803058760397102,0.9202477809237415,0.998063473264728,0.8763261807399912,0.9332415485686066,0.6775835836661874,0.4747090506597259,0.035830618892508145,0.12367381926000871,0.9641693811074918,0.9618924324392906,0.9981154784455797,0.6349748511319522,0.0964149683713913
hgb,101,source_heldout,150920,149080,0.9384177047442354,0.5,125416,327,6427,16910,0.8843775154279582,0.9163862521577761,0.9973994576238836,0.8811882579430322,0.9356993908284807,0.6814351528599882,0.47663354664969654,0.04841575362748001,0.1188117420569678,0.95158424637252,0.9633569765185301,0.9981811045121347,0.6323083361078163,0.09699554177321772
mlp,101,source_heldout,150920,149080,0.9384177047442354,0.5,125212,298,6456,17114,0.8832036490474913,0.917816463524324,0.9976256871962393,0.8797549288253728,0.9349900685494108,0.6803957070091732,0.47634239784489213,0.0441220017767249,0.12024507117462727,0.9558779982232751,0.9701013218345096,0.9981261615983166,0.7321247530223847,0.10244109481573105
majority,102,source_heldout,142824,157176,0.938784798073153,0.5,149939,7237,0,0,0.9539560747187866,0.5,0.9539560747187866,1.0,0.9764355371766277,0.48821776858831384,0.0,1.0,0.0,0.0,0.5,0.9539560747187866,0.04604392528121342,0.04604392528121342
stratified,102,source_heldout,142824,157176,0.938784798073153,0.5,140786,6754,483,9153,0.8987949814221,0.5028477685665037,0.9542225837061136,0.9389551751045425,0.9465273178947086,0.5018892738350447,0.004975858180081041,0.9332596379715352,0.061044824895457483,0.06674036202846484,0.5028477685665036,0.9542063147116492,0.0463162665177445,0.10120501857789993
logreg,102,source_heldout,142824,157176,0.938784798073153,0.5,134401,654,6583,15538,0.8969817274902021,0.9030011267729923,0.9951575284143497,0.8963711909509867,0.9431847688021502,0.6958242803067908,0.4857526023036099,0.09036893740500207,0.10362880904901327,0.9096310625949979,0.9627447611017473,0.9980666356809729,0.6756576149840829,0.07809426500101684
tree,102,source_heldout,142824,157176,0.938784798073153,0.5,139806,1234,6003,10133,0.9276797984425104,0.880953270220452,0.9912507090187181,0.9324191838014125,0.9609353252296557,0.7373024720102841,0.5261010890376318,0.1705126433605085,0.06758081619858743,0.8294873566394915,0.9053575721410572,0.991407327341395,0.6116216496980763,0.060521089982827105
rf,102,source_heldout,142824,157176,0.938784798073153,0.5,140860,2504,4733,9079,0.9263055428309666,0.7967244927496622,0.9825339694762981,0.9394487091417176,0.9605084162112218,0.7051104958152408,0.43931056056883183,0.34599972364239323,0.06055129085828237,0.6540002763576067,0.9524670243057887,0.9974084394428919,0.6606143924345229,0.04955775142335232
xgboost,102,source_heldout,142824,157176,0.938784798073153,0.5,135999,1199,6038,13940,0.9036812235964778,0.8706762365799565,0.9912608055511013,0.907028858402417,0.9472760389639788,0.6955009627118259,0.46645680945315293,0.1656763852425038,0.09297114159758302,0.8343236147574962,0.9727424664649424,0.9986106884212724,0.7250319940905445,0.05841093510389328
