[a_to_b__transferable__source_only] source d_a_network (1640182, 46) attack 0.9463
  seed 101 [1/20] majority   src 0.488  0.1s
  seed 101 [1/20] stratified src 0.499  0.1s
  seed 101 [1/20] logreg     src 0.740  1.2s
  seed 101 [1/20] tree       src 0.678  0.4s
  seed 101 [1/20] rf         src 0.689  3.5s
  seed 101 [1/20] xgboost    src 0.678  3.2s
  seed 101 [1/20] hgb        src 0.681  6.3s
  seed 101 [1/20] mlp        src 0.680  86.4s
  seed 102 [2/20] majority   src 0.488  0.1s
  seed 102 [2/20] stratified src 0.502  0.1s
  seed 102 [2/20] logreg     src 0.696  1.3s
  seed 102 [2/20] tree       src 0.737  0.5s
  seed 102 [2/20] rf         src 0.705  5.9s
  seed 102 [2/20] xgboost    src 0.696  6.1s
  seed 102 [2/20] hgb        src 0.694  6.5s
  seed 102 [2/20] mlp        src 0.680  98.2s
  seed 103 [3/20] majority   src 0.488  0.1s
  seed 103 [3/20] stratified src 0.500  0.1s
  seed 103 [3/20] logreg     src 0.706  2.0s
  seed 103 [3/20] tree       src 0.785  1.5s
  seed 103 [3/20] rf         src 0.836  11.1s
  seed 103 [3/20] xgboost    src 0.766  5.8s
  seed 103 [3/20] hgb        src 0.782  11.6s
  seed 103 [3/20] mlp        src 0.718  118.8s
  seed 104 [4/20] majority   src 0.497  0.2s
  seed 104 [4/20] stratified src 0.488  0.3s
  seed 104 [4/20] logreg     src 0.640  2.9s
  seed 104 [4/20] tree       src 0.459  1.2s
  seed 104 [4/20] rf         src 0.515  17.2s
  seed 104 [4/20] xgboost    src 0.476  14.8s
  seed 104 [4/20] hgb        src 0.476  49.6s
  seed 104 [4/20] mlp        src 0.599  516.7s
  seed 105 [5/20] majority   src 0.500  0.3s
  seed 105 [5/20] stratified src 0.481  0.3s
  seed 105 [5/20] logreg     src 0.665  4.5s
  seed 105 [5/20] tree       src 0.488  2.7s
  seed 105 [5/20] rf         src 0.566  21.1s
  seed 105 [5/20] xgboost    src 0.576  15.0s
  seed 105 [5/20] hgb        src 0.575  61.4s
  seed 105 [5/20] mlp        src 0.677  169.4s
  seed 106 [6/20] majority   src 0.490  0.3s
  seed 106 [6/20] stratified src 0.497  0.4s
  seed 106 [6/20] logreg     src 0.731  6.3s
  seed 106 [6/20] tree       src 0.718  3.6s
  seed 106 [6/20] rf         src 0.724  22.8s
  seed 106 [6/20] xgboost    src 0.728  35.6s
  seed 106 [6/20] hgb        src 0.722  25.7s
  seed 106 [6/20] mlp        src 0.708  237.0s
  seed 107 [7/20] majority   src 0.500  0.1s
  seed 107 [7/20] stratified src 0.480  0.2s
  seed 107 [7/20] logreg     src 0.608  2.7s
  seed 107 [7/20] tree       src 0.442  1.6s
  seed 107 [7/20] rf         src 0.579  11.5s
  seed 107 [7/20] xgboost    src 0.510  6.5s
  seed 107 [7/20] hgb        src 0.506  14.6s
  seed 107 [7/20] mlp        src 0.580  684.7s
  seed 108 [8/20] majority   src 0.490  0.2s
  seed 108 [8/20] stratified src 0.500  0.3s
  seed 108 [8/20] logreg     src 0.834  4.5s
  seed 108 [8/20] tree       src 0.777  1.6s
  seed 108 [8/20] rf         src 0.866  20.9s
  seed 108 [8/20] xgboost    src 0.781  16.3s
  seed 108 [8/20] hgb        src 0.780  21.1s
  seed 108 [8/20] mlp        src 0.773  259.8s
  seed 109 [9/20] majority   src 0.488  0.1s
  seed 109 [9/20] stratified src 0.500  0.1s
  seed 109 [9/20] logreg     src 0.749  2.6s
  seed 109 [9/20] tree       src 0.676  2.0s
  seed 109 [9/20] rf         src 0.732  10.5s
