model,split_seed,benign,benign__n,dos,dos__n,probe,probe__n
iforest,101,0.9972223152536128,477736,0.05306735155801053,682152,0.0004999910715880073,56001
autoencoder,101,0.9302711120786376,477736,0.054759056632539375,682152,0.0009999821431760146,56001
iforest,102,0.9742326305742084,477736,1.4659489380665894e-06,682152,0.0,56001
autoencoder,102,0.9308237185391095,477736,0.0017048986149714434,682152,0.0009999821431760146,56001
iforest,103,0.9716663596630775,477736,1.4659489380665894e-06,682152,0.0003214228317351476,56001
autoencoder,103,0.9457252541152436,477736,0.06008338317559723,682152,0.0004999910715880073,56001
iforest,104,0.9764891069544686,477736,1.4659489380665894e-06,682152,0.0004999910715880073,56001
autoencoder,104,0.9289586717350168,477736,0.11705748865355523,682152,0.0006785593114408671,56001
iforest,105,0.9972265016661922,477736,1.4659489380665894e-06,682152,0.0,56001
autoencoder,105,0.9309200060284342,477736,0.0017048986149714434,682152,0.0009999821431760146,56001
iforest,106,0.9495704740693605,477736,1.4659489380665894e-06,682152,0.0004999910715880073,56001
autoencoder,106,0.9445153808798165,477736,0.057237976286809975,682152,0.0004999910715880073,56001
iforest,107,0.9874909992129545,477736,1.4659489380665894e-06,682152,0.0003214228317351476,56001
autoencoder,107,0.9309576837416481,477736,0.0016931710234669105,682152,0.0009999821431760146,56001
iforest,108,0.9803761910343788,477736,1.4659489380665894e-06,682152,0.0,56001
autoencoder,108,0.9358767185223639,477736,0.0586584808077965,682152,0.0004999910715880073,56001
iforest,109,0.9703162416062427,477736,1.1727591504532715e-05,682152,0.0004999910715880073,56001
autoencoder,109,0.9307483631126815,477736,0.054759056632539375,682152,0.0009999821431760146,56001
iforest,110,0.9962594403603664,477736,1.1727591504532715e-05,682152,0.0003214228317351476,56001
autoencoder,110,0.9309346584724618,477736,0.0017048986149714434,682152,0.0009999821431760146,56001
iforest,111,0.9720891873335901,477736,1.4659489380665894e-06,682152,0.0,56001
autoencoder,111,0.9309597769479377,477736,0.0016931710234669105,682152,0.0009999821431760146,56001
iforest,112,0.9723424652946397,477736,0.053055623966505996,682152,0.0,56001
autoencoder,112,0.8817715223470703,477736,0.058843190373992896,682152,0.0009999821431760146,56001
iforest,113,0.9721477971097008,477736,1.4659489380665894e-06,682152,0.0003214228317351476,56001
autoencoder,113,0.9308320913642681,477736,0.0017048986149714434,682152,0.0009999821431760146,56001
iforest,114,0.9770898571596028,477736,1.4659489380665894e-06,682152,0.0,56001
autoencoder,114,0.9309597769479377,477736,0.0016931710234669105,682152,0.0009999821431760146,56001
iforest,115,0.9773975584841837,477736,1.4659489380665894e-06,682152,0.0,56001
autoencoder,115,0.9408397106351625,477736,0.06206827803773939,682152,0.0004999910715880073,56001
iforest,116,0.9987398898136209,477736,1.3193540442599304e-05,682152,0.0,56001
autoencoder,116,0.8933867240484284,477736,0.05587024592759385,682152,0.0004999910715880073,56001
iforest,117,0.973043689401678,477736,1.4659489380665894e-06,682152,0.0003214228317351476,56001
autoencoder,117,0.9349054708039587,477736,0.06054222519321207,682152,0.0004999910715880073,56001
iforest,118,0.9730018252758846,477736,0.0,682152,0.0,56001
autoencoder,118,0.9338693336905739,477736,0.022047872028521504,682152,0.0006428456634702952,56001
iforest,119,0.9710697958705227,477736,0.0,682152,0.0,56001
autoencoder,119,0.8692353098782591,477736,0.010458079724167048,682152,0.000821413903323155,56001
iforest,120,0.9324396737947318,477736,0.053055623966505996,682152,0.0003214228317351476,56001
autoencoder,120,0.9339572483547398,477736,0.00854501635999015,682152,0.0004999910715880073,56001
