model,split_seed,domain,n_benign_train,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign
iforest,101,source_heldout,9294,0.6477631364378607,20587,155,6599,121739,0.18235846525355515,0.560848716725112,0.9925272394176068,0.14464679679046696,0.25249589128461747,0.17509613798530463,0.07313093412685605,0.02294936334024282,0.855353203209533,0.9770506366597572,0.7243536680363675,0.9776902938068485,0.4251684734039897
iforest,101,target,9294,0.6477631364378607,36228,1327,476409,701925,0.4216149664977642,0.5231507855901149,0.9646651577686061,0.04907925592661684,0.09340628174519278,0.3343775749242971,0.1307057880211916,0.002777684746387126,0.9509207440733831,0.9972223152536128,0.4863582962927808,0.6233805047950887,0.40015032602306144
autoencoder,101,source_heldout,9294,2.1369407176971436,6291,208,6546,136035,0.08610812986316072,0.5067023877928866,0.9679950761655639,0.0442013405842924,0.08454224760624895,0.08610545600923825,0.013653000343289564,0.030796564998519398,0.9557986594157076,0.9692034350014807,0.6861097298131711,0.968873451619479,0.3992159236413157
autoencoder,101,target,9294,2.1369407176971436,37410,33312,444424,700743,0.3962812394881441,0.4904758310229604,0.5289725969288199,0.0506805499672832,0.09249884098284655,0.32009449934086776,-0.039747753469338565,0.06972888792136242,0.9493194500327168,0.9302711120786376,0.456366546363906,0.6020143925473882,0.38721581646369624
iforest,102,source_heldout,8743,0.639119943175376,11392,111,7126,138547,0.11781696951188476,0.5303198585176009,0.9903503433886812,0.07597756420944518,0.14112808315060518,0.11716661825439487,0.048797622772281044,0.01533784717424347,0.9240224357905549,0.9846621528257565,0.6437064139859047,0.9707217763778238,0.3495077004742372
iforest,102,target,8743,0.639119943175376,1,12310,465426,738152,0.3827874090480299,0.48711699265344965,8.122816992933149e-05,1.3547326909190912e-06,2.665017908920348e-06,0.27682410327039464,-0.12569865860844673,0.02576736942579165,0.9999986452673091,0.9742326305742084,0.4607427920950983,0.6020332735741857,0.3730934861918615
autoencoder,102,source_heldout,8743,2.7551703453063965,479,115,7122,149460,0.04835980047844455,0.49365203504807353,0.8063973063973064,0.0031946324838767765,0.006364053064776494,0.046656837146541674,-0.04336476196374807,0.015890562387729724,0.9968053675161233,0.9841094376122703,0.5615533855399754,0.9576565101556164,0.3095678567804937
autoencoder,102,target,8743,2.7551703453063965,1219,33048,444688,736934,0.366733312004632,0.46623756884466994,0.03557358391455336,0.0016514191502303723,0.0031563139224774087,0.26956613785505423,-0.1992753405215877,0.06917628146089054,0.9983485808497696,0.9308237185391095,0.34987229291351907,0.5357374732788165,0.313715542013954
iforest,103,source_heldout,11751,0.641898188446365,4587,62,4288,80442,0.09929625527249131,0.5198467135553347,0.9866637986663799,0.05394630067388773,0.102299337630188,0.09928617532609535,0.03846346322277052,0.014252873563218391,0.9460536993261123,0.9857471264367816,0.7786449058691673,0.9794453535891157,0.5865697827368408
iforest,103,target,11751,0.641898188446365,19,13536,464200,738134,0.3817938973047704,0.48584604979210244,0.0014016967908520841,2.5739921127462736e-05,5.0551543950576555e-05,0.2763232871643578,-0.13167778515957274,0.028333640336922483,0.9999742600788726,0.9716663596630775,0.4449287025413649,0.5822759178362372,0.37607738811692687
