model,split_seed,benign,benign__n,dos,dos__n,probe,probe__n
majority,101,0.0,477736,1.0,682152,1.0,56001
stratified,101,0.06172028065709932,477736,0.9385444886183725,682152,0.9366975589721612,56001
logreg,101,0.06631277525662709,477736,0.8732452591211343,682152,0.998875020088927,56001
tree,101,0.05486712326473198,477736,0.9999897383574335,682152,0.9998214317601472,56001
rf,101,0.057902272384748064,477736,0.931600288498751,682152,1.0,56001
xgboost,101,0.09147102165212587,477736,0.7553360541345624,682152,0.9981786039535008,56001
hgb,101,0.08780372423263058,477736,0.758542084462114,682152,0.9964286352029428,56001
mlp,101,0.3557383157224911,477736,0.8807729069181063,682152,0.9948036642202818,56001
majority,102,0.0,477736,1.0,682152,1.0,56001
stratified,102,0.061368622000435386,477736,0.9389417607805884,682152,0.9370011249799111,56001
logreg,102,0.06697213523787196,477736,0.9108922937996223,682152,0.9971786218103248,56001
tree,102,0.02499706951119447,477736,0.8792527178693311,682152,0.9957143622435314,56001
rf,102,0.0043329370196091566,477736,0.9361681853897665,682152,1.0,56001
xgboost,102,0.12183507209002462,477736,0.9211803234469736,682152,1.0,56001
hgb,102,0.1329667431384698,477736,0.8743945630885785,682152,0.999125015624721,56001
mlp,102,0.6869777450307283,477736,0.4135207402455758,682152,0.9910001607114158,56001
majority,103,0.0,477736,1.0,682152,1.0,56001
stratified,103,0.055846743808295796,477736,0.9443774994429394,682152,0.942679595007232,56001
logreg,103,0.09069444211865968,477736,0.9314023853921121,682152,0.9971786218103248,56001
tree,103,0.24840707001356396,477736,0.9275645310722537,682152,0.6421671041588543,56001
rf,103,0.0040943115025872025,477736,0.9595104903306008,682152,1.0,56001
xgboost,103,0.12844123114021133,477736,0.8820160316175867,682152,0.9998214317601472,56001
hgb,103,0.04203995512165715,477736,0.8974246209056046,682152,0.9999821431760147,56001
mlp,103,0.3801953380109517,477736,0.9157313912441802,682152,0.9944643845645613,56001
majority,104,0.0,477736,1.0,682152,1.0,56001
stratified,104,0.0741916037309309,477736,0.9259710445765753,682152,0.9242156390064463,56001
logreg,104,0.09020253864058811,477736,0.8746936166719441,682152,0.9971786218103248,56001
tree,104,0.06690515263660264,477736,0.8927746308740574,682152,0.999500008928412,56001
