model,split_seed,domain,n_train,n_eval,train_prevalence,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
majority,101,source_heldout,150920,149080,0.9384177047442354,0.5,142326,6754,0,0,0.9546954655218675,0.5,0.9546954655218675,1.0,0.9768227147004523,0.48841135735022617,0.0,1.0,0.0,0.0,0.5,0.9546954655218675,0.04530453447813255,0.04530453447813255
majority,101,target,150920,1215889,0.9384177047442354,0.5,738153,477736,0,0,0.6070891339587742,0.5,0.6070891339587742,1.0,0.7555139551759891,0.37775697758799454,0.0,1.0,0.0,0.0,0.5,0.6070891339587742,0.3929108660412258,0.3929108660412258
stratified,101,source_heldout,150920,149080,0.9384177047442354,0.5,133581,6350,404,8745,0.8987456399248726,0.4991864791791587,0.9546204915279674,0.9385565532650394,0.9465203697339658,0.49866419668865175,-0.0014098650205466698,0.940183594906722,0.061443446734960584,0.059816405093278055,0.4991864791791587,0.954625098188568,0.04523594282569819,0.10125436007512745
stratified,101,target,150920,1215889,0.9384177047442354,0.5,692686,448250,29486,45467,0.5939456644479882,0.5000623246995405,0.6071208200985857,0.9384043687419816,0.7372572560426888,0.42197870374204804,0.00025312335390421096,0.9382797193429007,0.06159563125801833,0.06172028065709932,0.5000623246995405,0.6071188683708019,0.3929406354006656,0.40605433555201176
logreg,101,source_heldout,150920,149080,0.9384177047442354,0.5,125970,1829,4925,16356,0.8780185135497719,0.807139121369925,0.9856884639159931,0.8850807301547152,0.9326793151318834,0.6420129231268477,0.36519770501936966,0.2708024874148653,0.11491926984528476,0.7291975125851348,0.8368917671734125,0.9837150720202525,0.43958255400747603,0.09234629509232517
logreg,101,target,150920,1215889,0.9384177047442354,0.5,651624,446056,31680,86529,0.5619789306425176,0.4745445551220445,0.5936374899788646,0.882776334987462,0.7098946363857714,0.40810658624614565,-0.08392951603733864,0.933687224743373,0.11722366501253804,0.06631277525662709,0.618955586065378,0.6954547777143947,0.4864528777094137,0.3662228114475256
tree,101,source_heldout,150920,149080,0.9384177047442354,0.5,125469,721,6033,16857,0.8820901529380198,0.8874045439172039,0.9942863935335605,0.8815606424686986,0.9345364894456941,0.6707832899259236,0.446973720200905,0.10675155463429079,0.11843935753130137,0.8932484453657092,0.9051850098476619,0.9923852362364138,0.3547245907002118,0.11220646068817504
tree,101,target,150920,1215889,0.9384177047442354,0.5,738136,451524,26212,17,0.6286330413384774,0.5274220464044932,0.6204596271203537,0.9999769695442544,0.7657755186836067,0.43489930776282465,0.184371903655769,0.945132876735268,2.3030455745624553e-05,0.05486712326473198,0.5274215690779832,0.6204593550454806,0.4261736396291251,0.3714147194921729
rf,101,source_heldout,150920,149080,0.9384177047442354,0.5,129736,1419,5335,12590,0.9060303192916555,0.850721694988351,0.9891807403453928,0.9115411098464089,0.9487752348426399,0.6905633133571358,0.4485318309711502,0.21009771986970685,0.08845889015359105,0.7899022801302932,0.9518170145288367,0.9974443328645778,0.431104993933105,0.07254808247440338
rf,101,target,150920,1215889,0.9384177047442354,0.5,691494,450074,27662,46659,0.5914651748638239,0.4973458998795771,0.6057405253125525,0.9367895273744061,0.7357411020039676,0.4179776957352269,-0.010822007012350768,0.9420977276152519,0.06321047262559389,0.057902272384748064,0.5530622999613711,0.6619422691507644,0.45039501216942596,0.29104988173545493
xgboost,101,source_heldout,150920,149080,0.9384177047442354,0.5,124658,269,6485,17668,0.8796820499060907,0.91801710334386,0.9978467424976186,0.8758624566136897,0.9328838216970436,0.6762649282879368,0.4718815541354705,0.0398282499259698,0.1241375433863103,0.9601717500740302,0.9566934779114316,0.9978589506759534,0.5762397896001374,0.10102702677249908
xgboost,101,target,150920,1215889,0.9384177047442354,0.5,571153,434037,43699,167000,0.505681028449143,0.43261533113431877,0.5682040211303335,0.7737596406165117,0.6552388141633632,0.39109526173753145,-0.17390135116206545,0.9085289783478742,0.22624035938348824,0.09147102165212587,0.512361861294282,0.6562743475775215,0.39097224654393403,0.4020237624645233
hgb,101,source_heldout,150920,149080,0.9384177047442354,0.5,124858,329,6425,17468,0.8806211430104642,0.9142779033970363,0.9973719315903409,0.877267681238846,0.933472391995903,0.6763815120158325,0.46970962315469666,0.04871187444477347,0.12273231876115397,0.9512881255552266,0.9489449306575741,0.997512211807145,0.3815330232810969,0.1002312358942429
hgb,101,target,150920,1215889,0.9384177047442354,0.5,573242,435789,41947,164911,0.5059581919073205,0.4321967007202362,0.5681113860723803,0.7765896772078418,0.656189617121036,0.38936762135174896,-0.1762623623526604,0.9121962757673694,0.22341032279215828,0.08780372423263058,0.4887806121706479,0.626456714330012,0.4008875790662711,0.36092827077468526
mlp,101,source_heldout,150920,149080,0.9384177047442354,0.5,126489,1019,5735,15837,0.8869331902334318,0.8689268658229901,0.9920083445744581,0.8887272880569959,0.9375319640964445,0.6712301492444377,0.4361933150509207,0.15087355641101569,0.11127271194300409,0.8491264435889843,0.9365051983886098,0.9964137179553764,0.5512690469303921,0.09852481633424759
mlp,101,target,150920,1215889,0.9384177047442354,0.5,656531,307787,169949,81622,0.6797331006366535,0.6225811620121465,0.6808241679611913,0.8894240083018019,0.7712683505328431,0.6186622416362768,0.2955837018776881,0.644261684277509,0.11057599169819807,0.3557383157224911,0.6820489143296817,0.7473207653555018,0.5586532445633623,0.278219074010849
majority,102,source_heldout,142824,157176,0.938784798073153,0.5,149939,7237,0,0,0.9539560747187866,0.5,0.9539560747187866,1.0,0.9764355371766277,0.48821776858831384,0.0,1.0,0.0,0.0,0.5,0.9539560747187866,0.04604392528121342,0.04604392528121342
majority,102,target,142824,1215889,0.938784798073153,0.5,738153,477736,0,0,0.6070891339587742,0.5,0.6070891339587742,1.0,0.7555139551759891,0.37775697758799454,0.0,1.0,0.0,0.0,0.5,0.6070891339587742,0.3929108660412258,0.3929108660412258
stratified,102,source_heldout,142824,157176,0.938784798073153,0.5,140786,6754,483,9153,0.8987949814221,0.5028477685665037,0.9542225837061136,0.9389551751045425,0.9465273178947086,0.5018892738350447,0.004975858180081041,0.9332596379715352,0.061044824895457483,0.06674036202846484,0.5028477685665036,0.9542063147116492,0.0463162665177445,0.10120501857789993
stratified,102,target,142824,1215889,0.938784798073153,0.5,692974,448418,29318,45179,0.5940443576675174,0.5000815768787009,0.6071305914181981,0.9387945317569664,0.7373848458004464,0.4217823324130556,0.0003322595364846139,0.9386313779995646,0.06120546824303363,0.061368622000435386,0.5000815768787008,0.6071280539949819,0.3929498463339479,0.40595564233248266
logreg,102,source_heldout,142824,157176,0.938784798073153,0.5,133889,1413,5824,16050,0.8888952511833867,0.8488549099000136,0.9895566953925293,0.8929564689640453,0.9387780858992921,0.6694508752467159,0.4224693579921044,0.19524664916401824,0.10704353103595463,0.8047533508359818,0.893196979004892,0.9933229020377787,0.5073676579364226,0.11881583544549301
logreg,102,target,142824,1215889,0.938784798073153,0.5,677210,445741,31995,60943,0.5832810396343745,0.4922053304275949,0.603062822865824,0.9174385256173179,0.7277508403614199,0.41994070438850634,-0.02865614855820833,0.9330278647621281,0.08256147438268219,0.06697213523787196,0.6248437281460574,0.7102633938070488,0.5097749610794237,0.31846773667128586
tree,102,source_heldout,142824,157176,0.938784798073153,0.5,125322,1660,5577,24617,0.8328179874790044,0.803221543247955,0.9869272810319573,0.8358199000927043,0.9051101216592458,0.6015492100642146,0.32262293209559895,0.22937681359679427,0.16418009990729562,0.7706231864032057,0.8557303727724868,0.9866734892028386,0.4863097598271586,0.1211966206131167
tree,102,target,142824,1215889,0.938784798073153,0.5,655545,465794,11942,82608,0.548970341865088,0.4565426556898751,0.584609114638838,0.8880882418685557,0.7050796669197824,0.37340702224312194,-0.15851162839609276,0.9750029304888055,0.1119117581314443,0.02499706951119447,0.4570121885451971,0.5873372052115475,0.39272358493325077,0.445762256124457
rf,102,source_heldout,142824,157176,0.938784798073153,0.5,145644,2992,4245,4295,0.9536379599938922,0.7789620190097425,0.9798702871444334,0.9713550177072009,0.9755940718412459,0.7568595953425663,0.5158467807779468,0.4134309796877159,0.028644982292799073,0.5865690203122841,0.9434861112322844,0.996285711749963,0.6442977081707081,0.038037836962570654
rf,102,target,142824,1215889,0.938784798073153,0.5,694610,475666,2070,43543,0.5729799348460263,0.47267190572945955,0.5935437452361665,0.94101087443931,0.7279390535356568,0.3679248223736287,-0.1404811500840753,0.9956670629803909,0.05898912556068999,0.0043329370196091566,0.44988180909483183,0.591220539273225,0.36899962071008746,0.2783263818882984
xgboost,102,source_heldout,142824,157176,0.938784798073153,0.5,139516,1245,5992,10423,0.9257647477986461,0.8792262268642005,0.991155220551147,0.9304850639259966,0.9598624011007912,0.7332712986393521,0.5197605780321948,0.1720326101975957,0.06951493607400343,0.8279673898024044,0.9711156868110659,0.9985000921654704,0.722076683185949,0.05828404799103737
xgboost,102,target,142824,1215889,0.938784798073153,0.5,684386,419531,58205,53767,0.6107391381943582,0.5244975797486889,0.6199614644941603,0.9271600874073532,0.7430618814703024,0.4702323319321504,0.0827556066004386,0.8781649279099754,0.07283991259264679,0.12183507209002462,0.46173209497221,0.5962249521003337,0.39046922500844544,0.3634810745716095
hgb,102,source_heldout,142824,157176,0.938784798073153,0.5,136500,437,6800,13439,0.91171680154731,0.9249930400741486,0.996808751469654,0.9103702172216701,0.9516306696970119,0.7233040522746232,0.5318552800157222,0.060384137073372944,0.08962978277832985,0.939615862926627,0.9716970890164672,0.9985279496284301,0.7242863032999314,0.06253754004074555
hgb,102,target,142824,1215889,0.938784798073153,0.5,652422,414213,63523,85731,0.5888243087979248,0.5084120774066425,0.6116637837685807,0.8838574116748154,0.7229901794559804,0.46280930526571806,0.025039723587464698,0.8670332568615302,0.11614258832518462,0.1329667431384698,0.34678871460092087,0.5350183081259761,0.3457974710257622,0.36763450661737845
mlp,102,source_heldout,142824,157176,0.938784798073153,0.5,132467,1185,6052,17472,0.8812986715529089,0.8598653651001622,0.9911336904797534,0.8834726121956262,0.9342115934567741,0.6638484253815518,0.4228275931526894,0.16374188199530193,0.11652738780437377,0.8362581180046981,0.9253703825092822,0.9955102582826123,0.6669452072999782,0.08741335570812225
mlp,102,target,142824,1215889,0.938784798073153,0.5,337581,149542,328194,400572,0.5475623185998064,0.572154880781943,0.6930097737121835,0.45733201653315775,0.5510285029658624,0.5475353504947853,0.14383001274737103,0.3130222549692717,0.5426679834668422,0.6869777450307283,0.5520827427582018,0.6706774553197266,0.4349036962703844,0.3289084732532501
majority,103,source_heldout,210621,89379,0.9442078425228254,0.5,85029,4350,0,0,0.9513308495284127,0.5,0.9513308495284127,1.0,0.9750584835558002,0.4875292417779001,0.0,1.0,0.0,0.0,0.5,0.9513308495284127,0.048669150471587284,0.048669150471587284
majority,103,target,210621,1215889,0.9442078425228254,0.5,738153,477736,0,0,0.6070891339587742,0.5,0.6070891339587742,1.0,0.7555139551759891,0.37775697758799454,0.0,1.0,0.0,0.0,0.5,0.6070891339587742,0.3929108660412258,0.3929108660412258
