protocol,model,split_seed,model_seed,n_train,n_test,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
random,gru,101,11,2246,562,0.5,418,3,125,16,0.9661921708185054,0.9698480702764978,0.9928741092636579,0.9631336405529954,0.9777777777777777,0.9535729037587773,0.9090477338226032,0.0234375,0.03686635944700461,0.9765625,0.9923315092165899,0.9976045479296929,0.9806047247973981,0.02785312384366989
random,gru,101,22,2246,562,0.5,387,7,121,47,0.9039145907473309,0.918508784562212,0.9822335025380711,0.8917050691244239,0.9347826086956522,0.8761750881316099,0.7667992365342814,0.0546875,0.10829493087557604,0.9453125,0.9785246255760368,0.9932276528170808,0.9443786881416888,0.06799913942813873
random,cnn1d,101,11,2246,562,0.5,424,6,122,10,0.9715302491103203,0.965041762672811,0.986046511627907,0.9769585253456221,0.9814814814814815,0.95997150997151,0.920133002645483,0.046875,0.02304147465437788,0.953125,0.993735599078341,0.9981147321969552,0.9821785984754048,0.024692200124263763
random,cnn1d,101,22,2246,562,0.5,413,3,125,21,0.9572953736654805,0.9640877016129032,0.9927884615384616,0.9516129032258065,0.971764705882353,0.9420867325032203,0.8876807699395577,0.0234375,0.04838709677419355,0.9765625,0.9938976094470047,0.9981911166427846,0.9817747325461536,0.03626679256558418
random,gru,102,11,2246,562,0.5,423,10,109,20,0.9466192170818505,0.9354098298461597,0.976905311778291,0.9548532731376975,0.9657534246575342,0.9223928413610252,0.8459890963848724,0.08403361344537816,0.045146726862302484,0.9159663865546218,0.9817326479124382,0.9934181864028744,0.9646235175600961,0.03452045097947121
random,gru,102,22,2246,562,0.5,407,6,113,36,0.9252669039145908,0.9341578617903143,0.9854721549636803,0.9187358916478555,0.9509345794392523,0.8971090807644022,0.8036831243052701,0.05042016806722689,0.08126410835214447,0.9495798319327731,0.9831174004590548,0.9945594395866207,0.9615415012744719,0.05228117108345032
random,cnn1d,102,11,2246,562,0.5,424,5,114,19,0.9572953736654805,0.9575469013790618,0.9883449883449883,0.9571106094808126,0.9724770642201835,0.9386194844910442,0.8796025737304577,0.04201680672268908,0.04288939051918736,0.957983193277311,0.9925261300908625,0.9977932742486895,0.9818387284920271,0.03045155107975006
random,cnn1d,102,22,2246,562,0.5,433,5,114,10,0.9733096085409253,0.9677049149230799,0.9885844748858448,0.9774266365688488,0.9829738933030647,0.9606227491206681,0.9215722211747848,0.04201680672268908,0.022573363431151242,0.957983193277311,0.9932090217576872,0.9980541038365907,0.9824777384002774,0.023662040010094643
random,gru,103,11,2246,562,0.5,408,13,134,7,0.9644128113879004,0.9473485779854111,0.9691211401425178,0.983132530120482,0.9760765550239234,0.9533160552897395,0.9070018404464211,0.08843537414965986,0.016867469879518072,0.9115646258503401,0.9838209982788296,0.9920580994360995,0.9742735737102594,0.02948945015668869
random,gru,103,22,2246,562,0.5,397,15,132,18,0.9412811387900356,0.9272928448487829,0.9635922330097088,0.9566265060240964,0.9600967351874244,0.9244928120381566,0.8490711691431476,0.10204081632653061,0.043373493975903614,0.8979591836734694,0.9767723957052701,0.9892477792299366,0.9636515128230464,0.038523197174072266
random,cnn1d,103,11,2246,562,0.5,409,12,135,6,0.9679715302491103,0.9519547578067371,0.9714964370546318,0.9855421686746988,0.9784688995215312,0.9579844497607656,0.9163408967907697,0.08163265306122448,0.014457831325301205,0.9183673469387755,0.9927546922383411,0.9973706429775271,0.9826957675274689,0.02611488290131092
random,cnn1d,103,22,2246,562,0.5,400,10,137,15,0.9555160142348754,0.9479141054011966,0.975609756097561,0.963855421686747,0.9696969696969697,0.9430424647815951,0.8863264875292858,0.06802721088435375,0.03614457831325301,0.9319727891156463,0.9880009835259405,0.9953890607519195,0.9755583272483139,0.033648546785116196
random,gru,104,11,2246,562,0.5,409,5,121,27,0.9430604982206405,0.9491954274064366,0.9879227053140096,0.9380733944954128,0.9623529411764706,0.9227823100042938,0.8506733184939649,0.03968253968253968,0.06192660550458716,0.9603174603174603,0.9872761031017911,0.9955880629147373,0.9727464523991808,0.04134580120444298
random,gru,104,22,2246,562,0.5,415,14,112,21,0.9377224199288257,0.920361875637105,0.9673659673659674,0.9518348623853211,0.9595375722543352,0.9122012185596,0.8249495072273043,0.1111111111111111,0.0481651376146789,0.8888888888888888,0.9649774282801806,0.9868186896140665,0.9394560509416691,0.05154195800423622
random,cnn1d,104,11,2246,562,0.5,425,7,119,11,0.9679715302491103,0.9596075433231397,0.9837962962962963,0.9747706422018348,0.9792626728110599,0.95447508640553,0.9091428158663796,0.05555555555555555,0.02522935779816514,0.9444444444444444,0.9952490170380079,0.9985678848288495,0.987109192732892,0.021970953792333603
random,cnn1d,104,22,2246,562,0.5,415,4,122,21,0.9555160142348754,0.9600444153196447,0.9904534606205251,0.9518348623853211,0.9707602339181286,0.9389117154720754,0.8810148842222614,0.031746031746031744,0.0481651376146789,0.9682539682539683,0.994721130042231,0.9984408921248561,0.9848176556761165,0.032576289027929306
random,gru,105,11,2246,562,0.5,412,6,130,14,0.9644128113879004,0.9615092515879591,0.9856459330143541,0.9671361502347418,0.976303317535545,0.9524373730534867,0.9055559197097374,0.04411764705882353,0.03286384976525822,0.9558823529411765,0.9886253797293566,0.9958343029623407,0.9753377387469563,0.03087131306529045
random,gru,105,22,2246,562,0.5,410,8,128,16,0.9572953736654805,0.951808892571113,0.9808612440191388,0.9624413145539906,0.9715639810426541,0.9429248476641842,0.8865222437849535,0.058823529411764705,0.03755868544600939,0.9411764705882353,0.9894366197183099,0.9962536997631115,0.9754072543819682,0.03157989680767059
random,cnn1d,105,11,2246,562,0.5,403,6,130,23,0.9483985765124555,0.9509458713062691,0.9853300733496333,0.9460093896713615,0.9652694610778443,0.9324617201582993,0.8678032954802378,0.04411764705882353,0.0539906103286385,0.9558823529411765,0.989557442695388,0.9967024877199999,0.9703795865545982,0.04258796572685242
random,cnn1d,105,22,2246,562,0.5,407,5,131,19,0.9572953736654805,0.9593171775752555,0.9878640776699029,0.9553990610328639,0.9713603818615751,0.9437221489727456,0.8894523755177943,0.03676470588235294,0.04460093896713615,0.9632352941176471,0.9948391328362332,0.9983446314139295,0.9857143759857406,0.02857731282711029
random,gru,106,11,2246,562,0.5,389,4,148,21,0.9555160142348754,0.961232349165597,0.989821882951654,0.948780487804878,0.9688667496886675,0.9454925648754864,0.8935602686678262,0.02631578947368421,0.05121951219512195,0.9736842105263158,0.9907092426187419,0.996493047442397,0.9768893112533877,0.03536102548241615
random,gru,106,22,2246,562,0.5,388,9,143,22,0.9448398576512456,0.9435654685494224,0.9773299748110831,0.9463414634146341,0.9615861214374225,0.9318971616650835,0.8652950545694998,0.05921052631578947,0.05365853658536585,0.9407894736842105,0.9843549422336328,0.9941745775704132,0.9607884915638311,0.04542223736643791
random,cnn1d,106,11,2246,562,0.5,394,4,148,16,0.9644128113879004,0.9673299101412067,0.9899497487437185,0.9609756097560975,0.9752475247524752,0.9559781927559845,0.9132797656356089,0.02631578947368421,0.03902439024390244,0.9736842105263158,0.9961168164313222,0.9985655670491035,0.9903462784996917,0.02480063959956169
random,cnn1d,106,22,2246,562,0.5,394,5,147,16,0.9626334519572953,0.9640404364569961,0.9874686716791979,0.9609756097560975,0.9740420271940667,0.9536876802637,0.9084882078496275,0.03289473684210526,0.03902439024390244,0.9671052631578947,0.9936938382541719,0.9976337177617072,0.9850829869946987,0.029419057071208954
random,gru,107,11,2246,562,0.5,380,8,142,32,0.9288256227758007,0.9344983818770227,0.979381443298969,0.9223300970873787,0.95,0.9132716049382716,0.8314227612503864,0.05333333333333334,0.07766990291262135,0.9466666666666667,0.9870873786407768,0.9940149253701525,0.9771491697773853,0.04940623790025711
random,gru,107,22,2246,562,0.5,388,9,141,24,0.9412811387900356,0.940873786407767,0.9773299748110831,0.941747572815534,0.9592088998763906,0.9272234975572429,0.8564485627987284,0.06,0.05825242718446602,0.94,0.986084142394822,0.9948307361620623,0.9672117483206453,0.04438692703843117
