arm,model,domain,n,f1,ba,auc,pr_auc,fpr,recall
"supervised (shared, 18)",hgb,source_heldout,20,0.6473952666135607,0.8669991030522268,0.9364933627539012,0.999149934031726,0.14452400032996193,0.8785222064344156
"supervised (shared, 18)",hgb,target,20,0.5366296183370594,0.5664208446167096,0.5809631808922624,0.6702603798823892,0.4629337123432188,0.5957754015766379
"supervised (shared, 18)",logreg,source_heldout,20,0.62585111071249,0.8365978034071408,0.902233500780002,0.9963565395634296,0.22953628854344918,0.9027318953577309
"supervised (shared, 18)",logreg,target,20,0.529686892829439,0.6269515435931075,0.7014174514967257,0.7895674763904734,0.023417536045012247,0.2773206232312271
"supervised (shared, 18)",majority,source_heldout,20,0.492171744395269,0.5,0.5,0.9693457183203641,1.0,1.0
"supervised (shared, 18)",majority,target,20,0.3777569775879944,0.5,0.5,0.6070891339587743,1.0,1.0
"supervised (shared, 18)",mlp,source_heldout,20,0.6549310114588156,0.9120009953953098,0.9450308776329619,0.9986334912595677,0.08711951337785481,0.911121504168474
"supervised (shared, 18)",mlp,target,20,0.5309434894423914,0.5534520111443795,0.5567583526223786,0.6513618038495796,0.5388312792002277,0.6457353014889866
"supervised (shared, 18)",rf,source_heldout,20,0.7008916059796942,0.8079691291432631,0.9193261925691718,0.998747092139969,0.2997125614570396,0.9156508197435663
"supervised (shared, 18)",rf,target,20,0.5715713158997412,0.5808844054022704,0.578172137871959,0.65370518052189,0.5410131327762613,0.7027819435808024
"supervised (shared, 18)",stratified,source_heldout,20,0.49431365430848356,0.5015422187876881,0.5015422187876881,0.9693839934960975,0.931504499240685,0.9345889368160611
"supervised (shared, 18)",stratified,target,20,0.42399823032391665,0.5000458504541581,0.5000458504541581,0.6071110088370961,0.9346540767285697,0.9347457776368856
"supervised (shared, 18)",tree,source_heldout,20,0.6193467130816102,0.8224221215578963,0.8402221657392068,0.9934996698350037,0.21015514224126747,0.85499938535706
"supervised (shared, 18)",tree,target,20,0.5182320479490825,0.5327624435409216,0.5260664477997763,0.628515042797176,0.5582896202086507,0.623814507290494
"supervised (shared, 18)",xgboost,source_heldout,20,0.6460834124538932,0.8644901052606604,0.9444646635850577,0.9991735895351676,0.15269854395486399,0.8816787544761848
"supervised (shared, 18)",xgboost,target,20,0.5324471379374055,0.561750058838115,0.5721176982676004,0.656178173600732,0.4287074869802569,0.5522076046564872
robust subset (9),hgb,source_heldout,20,0.7121602653286219,0.9391602390098257,0.9861782447773342,0.9994053014089405,0.06718804261212535,0.9455085206317767
robust subset (9),hgb,target,20,0.38982591230986513,0.5214706326136301,0.5409363756163945,0.6761626455986934,0.08980932983907428,0.1327505950663344
robust subset (9),logreg,source_heldout,20,0.6397234695381451,0.8044506970371026,0.8731755944316084,0.9950670665693948,0.32280675915203394,0.931708153226239
robust subset (9),logreg,target,20,0.4694355586834756,0.5104782056420323,0.582739001564165,0.6744258768775381,0.8539729055377865,0.8749293168218513
robust subset (9),majority,source_heldout,20,0.492171744395269,0.5,0.5,0.9693457183203641,1.0,1.0
robust subset (9),majority,target,20,0.3777569775879944,0.5,0.5,0.6070891339587743,1.0,1.0
robust subset (9),mlp,source_heldout,20,0.6968240421120508,0.9283765075076349,0.9638229659910691,0.999245532583433,0.08422185981997274,0.9409748748352429
robust subset (9),mlp,target,20,0.3815502114408669,0.534089343107472,0.4990032564499721,0.6436959227917247,0.0391850310631813,0.10736371727812521
robust subset (9),rf,source_heldout,20,0.722592628465065,0.8942265967905719,0.9791914870312792,0.9990870426153439,0.1655110913999125,0.9539642849810563
robust subset (9),rf,target,20,0.4268568854582785,0.5072919232429051,0.4691820365520861,0.6210642379198394,0.20610190565500605,0.22068575214081626
robust subset (9),stratified,source_heldout,20,0.49431365430848356,0.5015422187876881,0.5015422187876881,0.9693839934960975,0.931504499240685,0.9345889368160611
robust subset (9),stratified,target,20,0.42399823032391665,0.5000458504541581,0.5000458504541581,0.6071110088370961,0.9346540767285697,0.9347457776368856
robust subset (9),tree,source_heldout,20,0.6903939729501138,0.8827990299006097,0.9079657195138038,0.9932065574150668,0.18247730229389877,0.948075362095118
robust subset (9),tree,target,20,0.36813903273684095,0.47984902903633203,0.48806632720845566,0.6114789256465267,0.1768492430966056,0.13654730116926975
robust subset (9),xgboost,source_heldout,20,0.7089414413257759,0.9254794661422248,0.986118723431234,0.9994082062955636,0.09457065318226288,0.9455295854667124
robust subset (9),xgboost,target,20,0.3713476046094285,0.5113488142630043,0.5333235932258675,0.6655508002181274,0.08854482391948687,0.11124245244549569
CORAL,hgb,source_heldout,20,0.658319037308315,0.8753463589141963,0.9506534304037346,0.9992649883081999,0.14275107569127798,0.8934437935196712
CORAL,hgb,target,20,0.41962679605087566,0.480944401874697,0.483960623388179,0.6156495430452298,0.915209236900715,0.8770980406501092
CORAL,logreg,source_heldout,20,0.6249940382834763,0.8360950458327903,0.9016557719559438,0.9962595719497024,0.22925140412676642,0.9014414957923467
CORAL,logreg,target,20,0.44213869943024503,0.5030934028143729,0.6460030937227348,0.731645725836274,0.902105242225832,0.9082920478545777
CORAL,majority,source_heldout,20,0.492171744395269,0.5,0.5,0.9693457183203641,1.0,1.0
CORAL,majority,target,20,0.3777569775879944,0.5,0.5,0.6070891339587743,1.0,1.0
CORAL,mlp,source_heldout,20,0.6621659488934,0.9304337092373156,0.9711876482889176,0.998710822795562,0.0641254438503114,0.924992862324942
CORAL,mlp,target,20,0.5926960099407961,0.6022860511473414,0.6324566151184908,0.7110076246501965,0.5521712828842708,0.7567433851789535
CORAL,rf,source_heldout,20,0.6988388523237072,0.7950467399465193,0.9138414304937561,0.9983683640433145,0.3364313829418422,0.9265248628348809
CORAL,rf,target,20,0.3744783945733204,0.480950943947716,0.5154108258798715,0.6274715512611517,0.9921579072960798,0.954059795191512
CORAL,stratified,source_heldout,20,0.49431365430848356,0.5015422187876881,0.5015422187876881,0.9693839934960975,0.931504499240685,0.9345889368160611
CORAL,stratified,target,20,0.42399823032391665,0.5000458504541581,0.5000458504541581,0.6071110088370961,0.9346540767285697,0.9347457776368856
CORAL,tree,source_heldout,20,0.618547705635063,0.8121064053499382,0.8106850364883629,0.9922663911681306,0.23494046954920433,0.8591532802490806
CORAL,tree,target,20,0.4456929433463344,0.4999108283832555,0.5039300176280787,0.6126266814378937,0.8700981295108594,0.8699197862773707
CORAL,xgboost,source_heldout,20,0.667985829400654,0.9057602367605136,0.9616943954879191,0.9993409548887122,0.09181503910817741,0.9033355126292042
CORAL,xgboost,target,20,0.41977867166123295,0.47260625557923525,0.4776085302680554,0.6023330424925928,0.9062647571043423,0.8514772682628127
unsupervised,autoencoder,source_heldout,20,0.07037993867762864,0.455369503654922,0.5211963151676666,0.9789676642910449,0.13278203520061696,0.043521042510460885
unsupervised,autoencoder,target,20,0.2996502338710482,0.47904755671999305,0.4835300044889224,0.60259202353876,0.07397757338781248,0.03207268682779853
unsupervised,iforest,source_heldout,20,0.09654014137740612,0.5032090403513308,0.6129803611246032,0.9856809455936008,0.0642962261991881,0.07071430690184972
unsupervised,iforest,target,20,0.2849780316828622,0.4916915615186334,0.4642141134656371,0.5959370085585988,0.02398940000334908,0.0073725230406162315
