model,direction,mean_delta,min_z,outside,n
hgb,forward,-0.32649798040551137,-4.534409529716734,4,4
hgb,reverse,-0.2597213311402412,-3.493132847766828,4,4
logreg,forward,-0.22927336765803108,-3.4254757115120147,3,4
logreg,reverse,-0.1311295170631182,-1.6117992201563645,0,4
mlp,forward,-0.21632425860828286,-3.4850588441182184,2,4
mlp,reverse,-0.302711698698122,-3.7746377983066655,4,4
rf,forward,-0.2523549492786456,-3.266360489646633,3,4
rf,reverse,-0.39883058690303586,-5.285218738589157,4,4
tree,forward,-0.2565463740445496,-3.695072076824668,4,4
tree,reverse,-0.39029559529485025,-5.358756562684716,4,4
xgboost,forward,-0.30217705455766214,-3.751300596065216,4,4
xgboost,reverse,-0.3359879943818905,-4.3907870141362135,4,4
