session,day,n_ues,n_windows,fpr_mean,fpr_min,fpr_max,false_alerts_per_benign_ue_hour
0,0.0,1,57,0.0,0.0,0.0,0.0
1,0.0304325694444444,1,54,0.024691358024691332,0.0,0.0555555555555555,5.55555555555555
2,2.832752141203704,1,58,0.0,0.0,0.0,0.0
3,2.913977175925926,1,55,0.06666666666666661,0.0181818181818181,0.2,14.999999999999988
4,2.9784885069444447,1,24,0.8055555555555555,0.5416666666666666,0.9583333333333334,181.24999999999997
5,3.897428819444444,1,56,0.1369047619047619,0.0,0.7678571428571429,30.803571428571427
6,3.95614707175926,2,60,0.0,0.0,0.0,0.0
7,3.996217777777778,1,95,0.0070175438596490995,0.0,0.031578947368421,1.5789473684210473
8,6.036839710648148,1,56,0.9761904761904763,0.9285714285714286,1.0,219.64285714285717
29,52.94858268518518,3,146,0.8721461187214613,0.8424657534246576,0.9315068493150684,196.2328767123288
