protocol,direction,train_frac,balanced_accuracy,f1_macro,fpr,train_prevalence,test_prevalence
random_sessions,n/a,0.4,0.7751607588090423,0.7413584266827121,0.2978872859239946,0.7602577340646923,0.7526020270407717
random_sessions,n/a,0.5,0.7900318913099974,0.7467680865785338,0.28463929373510505,0.7490991463957651,0.7520697959773878
random_sessions,n/a,0.6,0.7868618580027709,0.742575063421667,0.29187143429771945,0.7527104060834573,0.7509880091699092
random_sessions,n/a,0.7,0.8319951060493771,0.7530040553593923,0.22151047798813245,0.754042938103255,0.7389765304686174
temporal,forward,0.4,0.44961535102915784,0.44648693489894087,0.8675799086757991,0.505283381364073,0.9173740803621958
temporal,forward,0.5,0.4728388679883468,0.4628173379981366,0.8424657534246576,0.5816409423233144,0.907419150285352
temporal,forward,0.6,0.49935816509968517,0.49462646598168086,0.8321917808219178,0.6385964912280702,0.8944323933477948
temporal,forward,0.7,0.5223760987703789,0.5243255701284252,0.8755707762557078,0.6715561224489796,0.882258064516129
temporal,reverse,0.4,0.5292800275634636,0.46090205901787734,0.63915857605178,0.9173740803621958,0.505283381364073
temporal,reverse,0.5,0.46703639420730053,0.4296284046683092,0.6925566343042071,0.907419150285352,0.5816409423233144
temporal,reverse,0.6,0.4762616024751947,0.43434340322232784,0.6899676375404531,0.8944323933477948,0.6385964912280702
temporal,reverse,0.7,0.47956232308983116,0.44638061614628555,0.6757281553398058,0.882258064516129,0.6715561224489796
