rung,feature_set,model,n,accuracy,ba,fpr,recall,ba_clean,fpr_clean,tp,fp,tn,fn,ctp,cfp,ctn,cfn,pooled_tpr,pooled_fpr,ppv,fa_h,clean_pooled_tpr,clean_pooled_fpr,clean_ppv,clean_fa_h,ba_drop_from_r0,alert_pass,clean_alert_pass,gen_pass,verdict,verdict_clean
R0,published_top10,dt,2,0.9995517686632835,0.9995339379125896,0.00054882227538265,0.9996166981005619,0.9996388266169125,0.0003390448667369,443279,157,285928,170,443279,40,117818,170,0.999616641372514,0.0005487879476379398,0.7849600356973281,131.70910743310554,0.999616641372514,0.00033939147109233146,0.8551238170741571,81.45395306215956,0.0,True,True,True,True,True
R0,published_top10,knn,2,0.9989829123796835,0.9988235133090966,0.00191555008156185,0.9995625766997551,0.9978298227165459,0.0039029312666634996,443255,548,285537,194,443255,460,117398,194,0.9995625201545161,0.0019155146197808344,0.5111794590354,459.7235087474003,0.9995625201545161,0.003903001917561812,0.3391612122750582,936.7204602148348,0.0,False,False,True,False,False
R0,published_top10,mlp,2,0.9987073940350963,0.9985609756948923,0.00212073858153715,0.9992426899713219,0.9973143093658032,0.00461407123971535,443113,607,285478,336,443113,544,117314,336,0.9992423029480278,0.0021217470332243913,0.48554187608570903,509.2192879738539,0.9992423029480278,0.004615724006855708,0.3025725231217077,1107.7737616453699,0.0,False,False,True,False,False
R0,published_top10,nb,2,0.9271301954398288,0.930999069851851,0.0510682366395185,0.9130663763432205,0.8945521631525029,0.12396205003821475,404898,14610,271475,38551,404898,14610,103248,38551,0.9130655385399449,0.051068738312040125,0.03459057735649494,12256.497194889631,0.9130655385399449,0.12396273481647406,0.014546100028512551,29751.056355953773,0.0,False,False,True,False,False
R0,published_top10,rf,2,0.9995791834239389,0.9995590191553977,0.0005347407236377,0.999652779034433,0.9996653965959599,0.0003219858425131,443295,153,285932,154,443295,38,117820,154,0.9996527221845127,0.0005348060890993935,0.7892903104227612,128.35346138385444,0.9996527221845127,0.00032242189753771487,0.8613676790874846,77.38125540905156,0.0,True,True,True,True,True
R1,no_position_top10,dt,2,0.7693472819635547,0.7059163023664973,0.5881426103474485,0.9999752150804433,0.9998562899432117,0.0002626351940196,443438,168258,117827,11,443438,31,117827,11,0.9999751944417509,0.5881398884946781,0.0033957115987232295,141153.57323872275,0.9999751944417509,0.0002630283900965569,0.8839744447516574,63.12681362317365,0.2936176355460923,False,True,False,False,False
R1,no_position_top10,mlp,2,0.7678778507924237,0.7042264767392457,0.5908652314404668,0.9993181849189583,0.9962308143303091,0.0068565562583396,443147,169039,117046,302,443147,812,117046,302,0.999318974673525,0.5908698463743293,0.003377865006243678,141808.76312983903,0.999318974673525,0.006889646863174328,0.22521119008988152,1653.5152471618387,0.2943344989556467,False,False,False,False,False
R1,no_position_top10,nb,2,0.7432566542477801,0.6814136722147027,0.6052841694628106,0.9681115138922161,0.9631199264881697,0.041871660915876546,429308,173162,112923,14141,429308,4935,112923,14141,0.9681113273454219,0.6052816470629359,0.0031950483668553957,145267.5952951046,0.9681113273454219,0.041872422746016394,0.044281922431036944,10049.381459043934,0.24958539763714827,False,False,False,False,False
R1,no_position_top10,rf,2,0.7693568771297843,0.7059229442749058,0.5881496013334545,0.9999954898832661,0.9998579423245476,0.00027960523417095,443447,168260,117825,2,443447,33,117825,2,0.9999954898985002,0.5881468794239474,0.0033957400574915982,141155.25106174737,0.9999954898985002,0.00027999796365117343,0.8774087834464898,67.19951127628163,0.2936360748804919,False,True,False,False,False
R2,no_position_top10,dt,5,0.6778410541694571,0.7988186101718953,0.19475652491416842,0.7923937452579589,0.8951972955040446,0.00199915424986948,453288,282033,195704,284865,453288,508,195704,284865,0.6140840720013331,0.5903520137648958,0.0020802324358583646,141684.483303575,0.6140840720013331,0.002589036348439443,0.3221824847910546,621.3687236254663,0.20071532774069434,False,False,False,False,False
R2,no_position_top10,mlp,5,0.6799965063514101,0.8003887254176915,0.1971677264886749,0.7979451773240578,0.8965630217892369,0.00481913374558422,455689,282841,194896,282464,455689,1316,194896,282464,0.6173367851922298,0.5920433209066913,0.0020852664654134245,142090.39701760592,0.6173367851922298,0.006707031170366746,0.15573010885519112,1609.687480888019,0.19817225027720087,False,False,False,False,False
R2,no_position_top10,nb,5,0.6398061608969361,0.759347356730584,0.2265879280096826,0.7452826414708508,0.839783703135611,0.06571523519962862,431101,290628,187109,307052,431101,9103,187109,307052,0.5840266177879112,0.6083430841655555,0.0019202102422742587,146002.34019973333,0.5840266177879112,0.046393696613866636,0.024606672974013963,11134.487187327994,0.17165171312126704,False,False,False,False,False
R2,no_position_top10,rf,5,0.6784829606468159,0.7995700337632281,0.19373716001475336,0.7928772275412097,0.8957722013566741,0.0013328248278615998,453485,281760,195977,284668,453485,235,195977,284668,0.6143509543414442,0.5897805696439673,0.002083146859153287,141547.33671455216,0.6143509543414442,0.0011976841375654903,0.5068921757200127,287.4441930157177,0.19998898539216958,False,False,False,False,False
