direction,metric,subset,n,rho,p
a_to_b,f1,all six,6,0.8285714285714287,0.04156268221574335
a_to_b,f1,without MLP,5,0.9999999999999999,1.4042654220543608e-24
a_to_b,ba,all six,6,-0.2571428571428572,0.6227871720116619
a_to_b,ba,without MLP,5,-0.09999999999999999,0.8728885715695384
a_to_b,auc,all six,6,-0.08571428571428573,0.8717434402332361
a_to_b,auc,without MLP,5,0.09999999999999999,0.8728885715695384
b_to_a,f1,all six,6,0.08571428571428573,0.8717434402332361
b_to_a,f1,without MLP,5,0.0,1.0
b_to_a,ba,all six,6,0.48571428571428577,0.3287230320699708
b_to_a,ba,without MLP,5,0.6,0.28475697986529386
b_to_a,auc,all six,6,0.2,0.7040000000000001
b_to_a,auc,without MLP,5,0.3,0.623837664781073
