model,group,tp,fp,tn,fn,fpr,tpr
hgb,1,151,2076,12234,100039,0.1450733752620545,0.001507136440762551
hgb,10,0,2701,13379,0,0.1679726368159204,
hgb,11,140,1867,13143,100100,0.12438374417055297,0.0013966480446927375
hgb,12,308,1747,14483,99992,0.10764017252002464,0.003070787637088734
hgb,13,54992,3675,19185,25198,0.16076115485564305,0.6857712931787006
hgb,14,4058,10063,129037,1362,0.07234363767074048,0.7487084870848708
hgb,15,1990079,5530,41150,825211,0.11846615252784919,0.7068824170866944
hgb,16,39367,1739,90051,9923,0.018945418890946725,0.798681274092108
hgb,17,171302,5972,283618,475608,0.020622259055906627,0.264800358627939
hgb,18,21942,3206,52884,48528,0.05715813870565163,0.31136653895274585
hgb,19,97710,2087,14753,202140,0.12393111638954869,0.32586293146573286
hgb,2,278,2092,14138,99942,0.12889710412815772,0.00277389742566354
hgb,20,0,1993,11587,0,0.146759941089838,
hgb,3,54146,2332,19228,24724,0.10816326530612246,0.6865221250158489
hgb,4,4618,6679,169981,1512,0.037807087059889055,0.7533442088091354
hgb,5,1263836,13626,90144,494274,0.1313096270598439,0.718860594615809
hgb,5|c,0,1990079,825211,0,0.7068824170866944,
hgb,6,19900,8489,389951,28020,0.0213055918080514,0.4152754590984975
hgb,7,199032,6095,170725,562178,0.03447008256984504,0.26146792606508057
hgb,8,19449,5453,242627,42621,0.021980812641083522,0.3133397776703722
hgb,9,101156,5082,77268,197694,0.06171220400728598,0.3384841893926719
logreg,1,100115,935,13375,75,0.06533892382948987,0.9992514222976345
logreg,10,0,4659,11421,0,0.2897388059701492,
logreg,11,100164,907,14103,76,0.060426382411725515,0.9992418196328811
logreg,12,80240,861,15369,20060,0.05304990757855822,0.8
logreg,13,259,1543,21317,79931,0.06749781277340332,0.0032298291557550816
logreg,14,2704,6781,132319,2716,0.048749101365923794,0.4988929889298893
logreg,15,0,2480,44200,2815290,0.05312767780634105,0.0
logreg,16,49290,5022,86768,0,0.05471184224861096,1.0
logreg,17,387912,18037,271553,258998,0.06228460927518215,0.5996382804408651
logreg,18,62981,6538,49552,7489,0.11656266714209307,0.8937278274443026
logreg,19,275941,2203,14637,23909,0.13081947743467934,0.9202634650658663
logreg,2,80155,1050,15180,20065,0.06469500924214418,0.7997904609858312
logreg,20,0,3716,9864,0,0.2736377025036819,
logreg,3,186,925,20635,78684,0.04290352504638219,0.0023583111449220237
