feature_set,protocol,model,ba,auc,fpr,recall,n
native,leave_one_file,hgb,0.4996539557143804,0.6627160417633075,0.000692088571239,0.0,3
native,leave_one_file,logreg,0.6594009545588652,0.8088885469654444,0.0145314242156029,0.3333333333333333,3
native,leave_one_file,majority,0.5,0.5,0.0,0.0,3
native,leave_one_file,mlp,0.4987739412908642,0.809409106727105,0.0024521174182716,0.0,3
native,leave_one_file,rf,0.5,0.6049060351455569,0.0,0.0,3
native,leave_one_file,stratified,0.5037946392091812,0.5037946392091812,0.018338316658881,0.0259275950772435,3
native,leave_one_file,tree,0.4934576352092559,0.4934576352092559,0.0130847295814881,0.0,3
native,leave_one_file,xgboost,0.666268133269568,0.9201080915525198,0.0007970667941973,0.3333333333333333,3
native,random,hgb,0.9972648665547768,0.9987054154188744,0.0007083621285418,0.9952380952380953,5
native,random,logreg,0.9957974078827568,0.9972478979497812,0.0020559778852798,0.9936507936507936,5
native,random,majority,0.5,0.5,0.0,0.0,5
native,random,mlp,0.9967730169699764,0.99676694940819,0.000898410504492,0.9944444444444444,5
native,random,rf,0.997704884764318,0.9988537450225424,0.0006219765031098,0.996031746031746,5
native,random,stratified,0.4996936738298175,0.4996936738298175,0.0188666205943331,0.0182539682539682,5
native,random,tree,0.9913297627274822,0.9913231809655444,0.000673807878369,0.9833333333333334,5
native,random,xgboost,0.9976876076392316,0.9993502909687256,0.0006565307532826,0.996031746031746,5
shared18,leave_one_file,hgb,0.8262987941834283,0.8239902149190833,0.01406907829981,0.6666666666666666,3
shared18,leave_one_file,logreg,0.664956923449261,0.3737587451185375,0.0034194864348113,0.3333333333333333,3
shared18,leave_one_file,majority,0.5,0.5,0.0,0.0,3
shared18,leave_one_file,mlp,0.6660481381751892,0.5181988701056138,0.0012370569829549,0.3333333333333333,3
shared18,leave_one_file,rf,0.6597317608660362,0.8205074050169445,0.0138698116012606,0.3333333333333333,3
shared18,leave_one_file,stratified,0.5037946392091812,0.5037946392091812,0.018338316658881,0.0259275950772435,3
shared18,leave_one_file,tree,0.8262589408437183,0.8262589408437183,0.0141487849792297,0.6666666666666666,3
shared18,leave_one_file,xgboost,0.6596719808564715,0.6690924441578522,0.0139893716203902,0.3333333333333333,3
shared18,random,hgb,0.9901375039764811,0.9947785374228016,0.0157567380787836,0.996031746031746,5
shared18,random,logreg,0.9867873871502068,0.9891319341604412,0.02007601935038,0.9936507936507936,5
shared18,random,majority,0.5,0.5,0.0,0.0,5
shared18,random,mlp,0.9892747446824848,0.9919436148682004,0.0158949550794747,0.9944444444444444,5
shared18,random,rf,0.9901547811015676,0.9949792126018802,0.0157221838286109,0.996031746031746,5
shared18,random,stratified,0.4996936738298175,0.4996936738298175,0.0188666205943331,0.0182539682539682,5
shared18,random,tree,0.9897234014545694,0.9928303016092408,0.0157912923289564,0.9952380952380953,5
shared18,random,xgboost,0.9897147628920262,0.9951745058193746,0.0158085694540428,0.9952380952380953,5
