held_out_session,hgb,logreg,mlp,rf,tree,xgboost,mean
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.037037037037037035,0.05555555555555555,0.0,0.05555555555555555,0.0,0.024691358024691357
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.01818181818181818,0.03636363636363636,0.05454545454545454,0.07272727272727272,0.2,0.01818181818181818,0.06666666666666667
4,0.9583333333333334,0.6666666666666666,0.5416666666666666,0.9166666666666666,0.875,0.875,0.8055555555555555
5,0.0,0.0,0.0,0.05357142857142857,0.7678571428571429,0.0,0.13690476190476192
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.010526315789473684,0.031578947368421054,0.0,0.007017543859649123
8,1.0,0.9285714285714286,0.9821428571428571,1.0,0.9821428571428571,0.9642857142857143,0.9761904761904762
29,0.9041095890410958,0.8424657534246576,0.8424657534246576,0.9315068493150684,0.8424657534246576,0.8698630136986302,0.8721461187214613
