session,start,end,n_records,n_ues,n_categories,category,attack_share,duration_min,day,n_windows
0,2025-05-09 14:05:06.701,2025-05-09 14:20:17.701,912,1,1,benign,0.0,15.183333333333334,0.0,57
1,2025-05-09 14:48:56.075,2025-05-09 15:03:34.075,879,1,1,benign,0.0,14.633333333333333,0.030432569444444443,54
2,2025-05-12 10:04:16.486,2025-05-12 10:19:50.486,935,1,1,benign,0.0,15.566666666666666,2.8327521412037036,58
3,2025-05-12 12:01:14.329,2025-05-12 12:16:03.329,890,1,1,benign,0.0,14.816666666666666,2.913977175925926,55
4,2025-05-12 13:34:08.108,2025-05-12 13:40:40.128,393,1,1,benign,0.0,6.533666666666666,2.9784885069444447,24
5,2025-05-13 11:37:24.551,2025-05-13 11:52:32.551,909,1,1,benign,0.0,15.133333333333333,3.897428819444444,56
6,2025-05-13 13:01:57.808,2025-05-13 13:19:19.174,968,2,1,benign,0.0,17.3561,3.9561470717592595,60
7,2025-05-13 13:59:39.917,2025-05-13 14:30:26.177,1520,1,1,benign,0.0,30.771,3.996217777777778,95
8,2025-05-15 14:58:09.652,2025-05-15 15:13:09.652,901,1,1,benign,0.0,15.0,6.036839710648148,56
9,2025-06-25 14:12:58.964,2025-06-25 14:39:52.647,1202,2,1,probe,1.0,26.894716666666667,47.005466006944445,75
10,2025-06-25 15:03:15.849,2025-06-25 16:40:43.603,5727,1,1,probe,1.0,97.46256666666666,47.04038365740741,357
11,2025-06-25 17:16:55.150,2025-06-25 17:44:55.844,1516,1,1,probe,1.0,28.011566666666667,47.1331996412037,94
12,2025-06-27 11:30:28.939,2025-06-27 12:00:41.101,1666,1,1,bruteforce,1.0,30.2027,48.89261849537037,104
13,2025-06-27 13:16:18.797,2025-06-27 13:26:18.797,601,1,1,bruteforce,1.0,10.0,48.96611222222222,37
14,2025-06-27 13:33:24.166,2025-06-27 13:46:33.166,790,1,1,bruteforce,1.0,13.15,48.97797991898148,49
15,2025-06-27 14:22:37.410,2025-06-27 14:39:56.409,1564,1,1,dos,1.0,17.31665,49.01216098379629,97
16,2025-06-27 14:53:59.759,2025-06-27 15:11:15.759,1524,1,1,dos,1.0,17.266666666666666,49.03394743055556,95
17,2025-06-30 08:36:41.134,2025-06-30 08:37:27.134,47,1,1,web,1.0,0.7666666666666667,51.77192630787037,2
18,2025-06-30 09:30:37.665,2025-06-30 09:49:31.946,1051,1,1,web,1.0,18.90468333333333,51.8093861574074,65
19,2025-06-30 10:19:42.596,2025-06-30 10:30:21.596,640,1,1,web,1.0,10.65,51.84347100694444,40
20,2025-06-30 11:07:40.448,2025-06-30 11:20:37.281,619,1,1,web,1.0,12.947216666666666,51.87677947916667,38
21,2025-06-30 11:26:33.325,2025-06-30 11:45:17.485,916,1,1,web,1.0,18.736,51.88989148148148,57
22,2025-07-01 08:47:18.470,2025-07-01 08:56:29.470,1633,2,1,dos,1.0,9.183333333333334,52.779302881944446,101
23,2025-07-01 09:05:51.851,2025-07-01 09:16:00.851,1830,3,1,ddos,1.0,10.15,52.79218923611111,114
24,2025-07-01 09:24:38.560,2025-07-01 09:44:30.570,3093,3,1,ddos,1.0,19.866833333333332,52.80522984953704,192
25,2025-07-01 09:49:32.603,2025-07-01 10:08:35.654,2874,3,1,ddos,1.0,19.05085,52.822522013888886,177
26,2025-07-01 10:14:59.238,2025-07-01 10:36:25.283,4065,4,1,ddos,1.0,21.434083333333334,52.840191400462956,253
27,2025-07-01 10:49:13.492,2025-07-01 10:59:04.512,2368,4,1,ddos,1.0,9.850333333333333,52.86396748842593,148
28,2025-07-01 12:32:21.461,2025-07-01 12:39:27.461,854,2,1,ddos,1.0,7.1,52.9355875,52
29,2025-07-01 12:51:04.245,2025-07-01 13:09:17.835,2357,3,1,benign,0.0,18.226499999999998,52.94858268518518,146
