model,direction,n_control,test_sessions,test_prevalence,control_test_prevalence,balanced_accuracy_temporal,balanced_accuracy_temporal_min,balanced_accuracy_temporal_max,balanced_accuracy_control_mean,balanced_accuracy_control_sd,balanced_accuracy_delta,balanced_accuracy_pct_control_le,balanced_accuracy_p_low,roc_auc_temporal,roc_auc_temporal_min,roc_auc_temporal_max,roc_auc_control_mean,roc_auc_control_sd,roc_auc_delta,roc_auc_pct_control_le,roc_auc_p_low,f1_macro_temporal,f1_macro_temporal_min,f1_macro_temporal_max,f1_macro_control_mean,f1_macro_control_sd,f1_macro_delta,f1_macro_pct_control_le,f1_macro_p_low,fpr_temporal,fpr_temporal_min,fpr_temporal_max,fpr_control_mean,fpr_control_sd,fpr_delta,fpr_pct_control_le,fpr_p_low,recall_temporal,recall_temporal_min,recall_temporal_max,recall_control_mean,recall_control_sd,recall_delta,recall_pct_control_le,recall_p_low,false_alerts_per_benign_ue_hour_temporal,false_alerts_per_benign_ue_hour_temporal_min,false_alerts_per_benign_ue_hour_temporal_max,false_alerts_per_benign_ue_hour_control_mean,false_alerts_per_benign_ue_hour_control_sd,false_alerts_per_benign_ue_hour_delta,false_alerts_per_benign_ue_hour_pct_control_le,false_alerts_per_benign_ue_hour_p_low
logreg,forward,50,"11,14,21,22,28,29",0.7074148296593187,0.8907219169905514,0.5732275214404905,0.5732275214404905,0.5732275214404905,0.7486284247320784,0.16618493697312922,-0.17540090329158786,0.2,0.21568627450980393,0.5602856144980403,0.5602856144980403,0.5602856144980403,0.8638756436969425,0.17926009620014707,-0.3035900291989022,0.08,0.09803921568627451,0.5644476289734236,0.5644476289734236,0.5644476289734236,0.6015803676171358,0.15212758932196213,-0.03713273864371225,0.58,0.5882352941176471,0.8082191780821917,0.8082191780821918,0.8082191780821918,0.2476731466482728,0.3622800664738938,0.5605460314339189,0.84,0.8431372549019608,0.9546742209631727,0.9546742209631728,0.9546742209631728,0.7449299961124294,0.169779764120039,0.2097442248507433,0.94,0.9411764705882353,181.84931506849315,181.84931506849315,181.84931506849315,55.72645799586138,81.51301495662611,126.12285707263177,0.84,0.8431372549019608
logreg,reverse,50,"0,9,12,15,17,23",0.8730512249443207,0.8907219169905514,0.9502551020408163,0.9502551020408163,0.9502551020408163,0.7486284247320784,0.16618493697312922,0.20162667730873796,0.96,0.9607843137254902,0.998657357679914,0.998657357679914,0.998657357679914,0.8638756436969425,0.17926009620014707,0.13478171398297156,0.9,0.9019607843137255,0.8463745229635478,0.8463745229635479,0.8463745229635479,0.6015803676171358,0.15212758932196213,0.2447941553464119,0.92,0.9215686274509803,0.0,0.0,0.0,0.2476731466482728,0.3622800664738938,-0.2476731466482728,0.46,0.47058823529411764,0.9005102040816325,0.9005102040816326,0.9005102040816326,0.7449299961124294,0.169779764120039,0.15558020796920313,0.86,0.8627450980392157,0.0,0.0,0.0,55.72645799586138,81.51301495662611,-55.72645799586138,0.46,0.47058823529411764
tree,forward,50,"11,14,21,22,28,29",0.7074148296593187,0.8907219169905514,0.5211630253405255,0.5180934456129458,0.525767394931895,0.7744600491783841,0.1905567109383273,-0.25329702383785857,0.12,0.13725490196078433,0.5211630253405255,0.5180934456129458,0.525767394931895,0.7690299678843501,0.19293161233971293,-0.24786694254382458,0.16,0.17647058823529413,0.5031434832150327,0.4996647494848214,0.5083743842364532,0.6993160652263231,0.1679891426512266,-0.1961725820112904,0.14,0.1568627450980392,0.8534246575342465,0.8493150684931506,0.8561643835616438,0.3399052527888145,0.3951432257497214,0.5135194047454319,0.84,0.8431372549019608,0.8957507082152976,0.8923512747875354,0.9008498583569405,0.8888253511455825,0.09930620615420607,0.006925357069715088,0.4,0.4117647058823529,192.0205479452055,191.0958904109589,192.63698630136986,76.47868187748324,88.9072257936873,115.54186606772225,0.84,0.8431372549019608
tree,reverse,50,"0,9,12,15,17,23",0.8730512249443207,0.8907219169905514,0.9617346938775511,0.9591836734693877,0.9642857142857143,0.7744600491783841,0.1905567109383273,0.187274644699167,0.84,0.8431372549019608,0.9642857142857142,0.9617346938775511,0.9668367346938775,0.7690299678843501,0.19293161233971293,0.19525574640136412,0.88,0.8823529411764706,0.8759757897977941,0.8691343631594288,0.8828899321857069,0.6993160652263231,0.1679891426512266,0.17665972457147106,0.76,0.7647058823529411,0.0,0.0,0.0,0.3399052527888145,0.3951432257497214,-0.3399052527888145,0.3,0.3137254901960784,0.923469387755102,0.9183673469387755,0.9285714285714286,0.8888253511455825,0.09930620615420607,0.034644036609519535,0.44,0.45098039215686275,0.0,0.0,0.0,76.47868187748324,88.9072257936873,-76.47868187748324,0.3,0.3137254901960784
rf,forward,50,"11,14,21,22,28,29",0.7074148296593187,0.8907219169905514,0.5616011486670031,0.5585781365206255,0.5668438821840196,0.8110970151413562,0.21303363266455963,-0.24949586647435318,0.32,0.3333333333333333,0.6606678567270753,0.6443498001474641,0.6723582599247158,0.9168850881583945,0.1403940058138431,-0.25621723143131925,0.1,0.11764705882352941,0.5397480347342718,0.5350008758101243,0.5475532864635644,0.7383447311034083,0.19569390119304095,-0.19859669636913646,0.22,0.23529411764705882,0.8575342465753424,0.8493150684931506,0.863013698630137,0.3023107753817919,0.44000502170113603,0.5552234711935504,0.68,0.6862745098039216,0.9807365439093484,0.9801699716713881,0.9830028328611898,0.9245048056645045,0.078314672195821,0.05623173824484384,0.58,0.5882352941176471,192.94520547945208,191.0958904109589,194.17808219178082,68.0199244609032,99.00112988275562,124.92528101854889,0.68,0.6862745098039216
rf,reverse,50,"0,9,12,15,17,23",0.8730512249443207,0.8907219169905514,0.9698979591836736,0.9681122448979591,0.9744897959183674,0.8110970151413562,0.21303363266455963,0.15880094404231737,0.66,0.6666666666666666,1.0,1.0,1.0,0.9168850881583945,0.1403940058138431,0.08311491184160547,1.0,1.0,0.8987995893443645,0.8936029042378746,0.9122841290927561,0.7383447311034083,0.19569390119304095,0.1604548582409563,0.7,0.7058823529411765,0.0,0.0,0.0,0.3023107753817919,0.44000502170113603,-0.3023107753817919,0.56,0.5686274509803921,0.939795918367347,0.9362244897959183,0.9489795918367347,0.9245048056645045,0.078314672195821,0.015291112702842447,0.4,0.4117647058823529,0.0,0.0,0.0,68.0199244609032,99.00112988275562,-68.0199244609032,0.56,0.5686274509803921
xgboost,forward,50,"11,14,21,22,28,29",0.7074148296593187,0.8907219169905514,0.5668943303969887,0.5637781830882067,0.5694439054678102,0.8122782134079597,0.2011488848433807,-0.24538388301097103,0.26,0.27450980392156865,0.4759032170437347,0.444167410454422,0.4980014746400714,0.8967694328002273,0.18455857063750086,-0.4208662157564925,0.1,0.11764705882352941,0.5514958993313205,0.548325455094036,0.5541026323149228,0.7350177362119779,0.1812764487066904,-0.18352183688065737,0.18,0.19607843137254902,0.8356164383561644,0.8356164383561644,0.8356164383561644,0.2895920951194924,0.4225248725169131,0.546024343236672,0.74,0.7450980392156863,0.9694050991501417,0.9631728045325779,0.9745042492917847,0.9141485219354121,0.08963541351421465,0.05525657721472965,0.5,0.5098039215686274,188.013698630137,188.013698630137,188.013698630137,65.15822140188578,95.06809631630546,122.8554772282512,0.74,0.7450980392156863
xgboost,reverse,50,"0,9,12,15,17,23",0.8730512249443207,0.8907219169905514,0.9780612244897959,0.9693877551020409,0.9834183673469388,0.8122782134079597,0.2011488848433807,0.16578301108183624,0.72,0.7254901960784313,1.0,1.0,1.0,0.8967694328002273,0.18455857063750086,0.10323056719977275,1.0,1.0,0.923552880364457,0.897254004576659,0.9403882880398704,0.7350177362119779,0.1812764487066904,0.18853514415247918,0.7,0.7058823529411765,0.0,0.0,0.0,0.2895920951194924,0.4225248725169131,-0.2895920951194924,0.58,0.5882352941176471,0.9561224489795919,0.9387755102040817,0.9668367346938775,0.9141485219354121,0.08963541351421465,0.04197392704417979,0.46,0.47058823529411764,0.0,0.0,0.0,65.15822140188578,95.06809631630546,-65.15822140188578,0.58,0.5882352941176471
hgb,forward,50,"11,14,21,22,28,29",0.7074148296593187,0.8907219169905514,0.5496138771391983,0.5496138771391983,0.5496138771391983,0.8170259755295024,0.21377947237971254,-0.2674120983903041,0.32,0.3333333333333333,0.4810625169777641,0.48106251697776403,0.48106251697776403,0.9040734431682602,0.18154583458354429,-0.42301092619049613,0.1,0.11764705882352941,0.5342902198049754,0.5342902198049754,0.5342902198049754,0.7517928659285925,0.19503145192261634,-0.21750264612361714,0.16,0.17647058823529413,0.8356164383561644,0.8356164383561644,0.8356164383561644,0.3009440787522979,0.43987052597028015,0.5346723596038665,0.68,0.6862745098039216,0.934844192634561,0.9348441926345609,0.9348441926345609,0.9349960298113029,0.07350584210167814,-0.00015183717674194241,0.38,0.39215686274509803,188.013698630137,188.013698630137,188.013698630137,67.71241771926704,98.97086834331304,120.30128091086995,0.68,0.6862745098039216
hgb,reverse,50,"0,9,12,15,17,23",0.8730512249443207,0.8907219169905514,0.9948979591836735,0.9948979591836735,0.9948979591836735,0.8170259755295024,0.21377947237971254,0.17787198365417112,0.94,0.9411764705882353,1.0,1.0,1.0,0.9040734431682602,0.18154583458354429,0.09592655683173978,1.0,1.0,0.9804867448935246,0.9804867448935246,0.9804867448935246,0.7517928659285925,0.19503145192261634,0.2286938789649321,0.9,0.9019607843137255,0.0,0.0,0.0,0.3009440787522979,0.43987052597028015,-0.3009440787522979,0.58,0.5882352941176471,0.9897959183673469,0.9897959183673469,0.9897959183673469,0.9349960298113029,0.07350584210167814,0.05479988855604401,0.8,0.803921568627451,0.0,0.0,0.0,67.71241771926704,98.97086834331304,-67.71241771926704,0.58,0.5882352941176471
