held_out_session,day,n_windows,model,fpr,false_alerts_per_benign_ue_hour
0,0.0,57,logreg,0.0,0.0
0,0.0,57,tree,0.0,0.0
0,0.0,57,rf,0.0,0.0
0,0.0,57,xgboost,0.0,0.0
0,0.0,57,hgb,0.0,0.0
0,0.0,57,mlp,0.0,0.0
1,0.030432569444444443,54,logreg,0.037037037037037035,8.333333333333332
1,0.030432569444444443,54,tree,0.05555555555555555,12.5
1,0.030432569444444443,54,rf,0.0,0.0
1,0.030432569444444443,54,xgboost,0.0,0.0
1,0.030432569444444443,54,hgb,0.0,0.0
1,0.030432569444444443,54,mlp,0.05555555555555555,12.5
2,2.8327521412037036,58,logreg,0.0,0.0
2,2.8327521412037036,58,tree,0.0,0.0
2,2.8327521412037036,58,rf,0.0,0.0
2,2.8327521412037036,58,xgboost,0.0,0.0
2,2.8327521412037036,58,hgb,0.0,0.0
2,2.8327521412037036,58,mlp,0.0,0.0
3,2.913977175925926,55,logreg,0.03636363636363636,8.181818181818182
3,2.913977175925926,55,tree,0.2,45.0
3,2.913977175925926,55,rf,0.07272727272727272,16.363636363636363
3,2.913977175925926,55,xgboost,0.01818181818181818,4.090909090909091
3,2.913977175925926,55,hgb,0.01818181818181818,4.090909090909091
3,2.913977175925926,55,mlp,0.05454545454545454,12.272727272727272
4,2.9784885069444447,24,logreg,0.6666666666666666,150.0
4,2.9784885069444447,24,tree,0.875,196.875
4,2.9784885069444447,24,rf,0.9166666666666666,206.25
4,2.9784885069444447,24,xgboost,0.875,196.875
4,2.9784885069444447,24,hgb,0.9583333333333334,215.625
4,2.9784885069444447,24,mlp,0.5416666666666666,121.87499999999999
5,3.897428819444444,56,logreg,0.0,0.0
5,3.897428819444444,56,tree,0.7678571428571429,172.76785714285717
5,3.897428819444444,56,rf,0.05357142857142857,12.053571428571427
5,3.897428819444444,56,xgboost,0.0,0.0
5,3.897428819444444,56,hgb,0.0,0.0
5,3.897428819444444,56,mlp,0.0,0.0
6,3.9561470717592595,60,logreg,0.0,0.0
6,3.9561470717592595,60,tree,0.0,0.0
6,3.9561470717592595,60,rf,0.0,0.0
6,3.9561470717592595,60,xgboost,0.0,0.0
6,3.9561470717592595,60,hgb,0.0,0.0
6,3.9561470717592595,60,mlp,0.0,0.0
7,3.996217777777778,95,logreg,0.0,0.0
7,3.996217777777778,95,tree,0.031578947368421054,7.105263157894737
7,3.996217777777778,95,rf,0.010526315789473684,2.3684210526315788
7,3.996217777777778,95,xgboost,0.0,0.0
7,3.996217777777778,95,hgb,0.0,0.0
7,3.996217777777778,95,mlp,0.0,0.0
8,6.036839710648148,56,logreg,0.9285714285714286,208.92857142857144
8,6.036839710648148,56,tree,0.9821428571428571,220.98214285714283
8,6.036839710648148,56,rf,1.0,225.0
8,6.036839710648148,56,xgboost,0.9642857142857143,216.96428571428572
8,6.036839710648148,56,hgb,1.0,225.0
8,6.036839710648148,56,mlp,0.9821428571428571,220.98214285714283
29,52.94858268518518,146,logreg,0.8424657534246576,189.55479452054794
29,52.94858268518518,146,tree,0.8424657534246576,189.55479452054794
29,52.94858268518518,146,rf,0.9315068493150684,209.5890410958904
29,52.94858268518518,146,xgboost,0.8698630136986302,195.71917808219177
29,52.94858268518518,146,hgb,0.9041095890410958,203.42465753424656
29,52.94858268518518,146,mlp,0.8424657534246576,189.55479452054794
