protocol,direction,train_frac,rep,n_train_sessions,n_test_sessions,test_categories,unseen_test_categories,n_unseen_attack_categories,benign_test_sessions,n_benign_train_sessions
temporal,forward,0.4,0,12,18,"benign,bruteforce,ddos,dos,web","bruteforce,ddos,dos,web",4,29,9
temporal,reverse,0.4,0,18,12,"benign,probe",probe,1,"0,1,2,3,4,5,6,7,8",1
random_sessions,n/a,0.4,0,12,18,"benign,bruteforce,ddos,dos,probe,web",dos,1,"1,2,4,5,29",5
random_sessions,n/a,0.4,1,12,18,"benign,bruteforce,ddos,dos,probe,web",,0,"2,3,6,7,29",5
random_sessions,n/a,0.4,2,12,18,"benign,bruteforce,ddos,dos,probe,web",,0,"0,1,2,4,5,7,8,29",2
random_sessions,n/a,0.4,3,12,18,"benign,bruteforce,ddos,dos,probe,web",bruteforce,1,"1,2,3,5,7",5
random_sessions,n/a,0.4,4,12,18,"benign,bruteforce,ddos,dos,probe,web",dos,1,"0,1,2,3,4,5,6",3
random_sessions,n/a,0.4,5,12,18,"benign,bruteforce,ddos,dos,probe,web",bruteforce,1,"0,1,2,5,6,8,29",3
random_sessions,n/a,0.4,6,12,18,"benign,bruteforce,ddos,dos,probe,web",,0,"0,1,4,5,29",5
random_sessions,n/a,0.4,7,12,18,"benign,bruteforce,ddos,dos,probe,web","dos,probe",2,"0,1,3,5,6,7,8",3
random_sessions,n/a,0.4,8,12,18,"benign,ddos,dos,probe,web",dos,1,"0,1,2,3,4,5,29",3
random_sessions,n/a,0.4,9,12,18,"benign,bruteforce,ddos,dos,probe,web",,0,"0,1,2,4,5,8",4
random_sessions,n/a,0.4,10,12,18,"benign,bruteforce,ddos,dos,probe,web",,0,"0,2,4,5",6
random_sessions,n/a,0.4,11,12,18,"benign,bruteforce,ddos,dos,probe,web",dos,1,"0,1,2,4,7,8,29",3
random_sessions,n/a,0.4,12,12,18,"benign,bruteforce,ddos,dos,probe,web",,0,"0,2,5,7,8,29",4
random_sessions,n/a,0.4,13,12,18,"benign,ddos,dos,probe,web",ddos,1,"0,1,4,5,6,7,29",3
random_sessions,n/a,0.4,14,12,18,"benign,bruteforce,ddos,dos,probe,web",dos,1,"0,2,3,5,6,7,8,29",2
random_sessions,n/a,0.4,15,12,18,"benign,bruteforce,ddos,dos,probe,web",,0,"0,1,4,5,7,8,29",3
random_sessions,n/a,0.4,16,12,18,"benign,bruteforce,ddos,dos,probe,web",dos,1,"0,1,3,6",6
random_sessions,n/a,0.4,17,12,18,"benign,bruteforce,ddos,dos,probe,web",probe,1,"0,4,5,6,8",5
random_sessions,n/a,0.4,18,12,18,"benign,bruteforce,ddos,dos,probe,web",dos,1,"0,2,3,4,6,7,8,29",2
random_sessions,n/a,0.4,19,12,18,"benign,ddos,dos,probe,web",dos,1,"1,2,3,4,6,8",4
temporal,forward,0.5,0,15,15,"benign,ddos,dos,web","ddos,dos,web",3,29,9
temporal,reverse,0.5,0,15,15,"benign,bruteforce,probe","bruteforce,probe",2,"0,1,2,3,4,5,6,7,8",1
random_sessions,n/a,0.5,0,15,15,"benign,bruteforce,ddos,dos,probe,web",,0,"1,2,5,29",6
random_sessions,n/a,0.5,1,15,15,"benign,bruteforce,ddos,dos,probe,web",,0,"3,6,7,29",6
random_sessions,n/a,0.5,2,15,15,"benign,bruteforce,ddos,dos,probe,web",,0,"0,1,2,4,5,29",4
random_sessions,n/a,0.5,3,15,15,"benign,bruteforce,ddos,dos,probe,web",,0,"1,3,5,7",6
random_sessions,n/a,0.5,4,15,15,"benign,bruteforce,ddos,dos,probe,web",,0,"0,1,2,3,5",5
random_sessions,n/a,0.5,5,15,15,"benign,bruteforce,ddos,dos,web",bruteforce,1,"0,2,5,6,8,29",4
random_sessions,n/a,0.5,6,15,15,"benign,bruteforce,ddos,dos,probe,web",,0,"0,5,29",7
random_sessions,n/a,0.5,7,15,15,"benign,bruteforce,ddos,dos,probe,web",,0,"0,1,3,6,7,8",4
random_sessions,n/a,0.5,8,15,15,"benign,ddos,dos,probe,web",dos,1,"0,1,2,3,4",5
random_sessions,n/a,0.5,9,15,15,"benign,bruteforce,ddos,dos,probe,web",,0,"1,2,4,5,8",5
random_sessions,n/a,0.5,10,15,15,"benign,bruteforce,ddos,dos,probe,web",,0,"0,2,5",7
random_sessions,n/a,0.5,11,15,15,"benign,bruteforce,ddos,dos,probe,web",,0,"0,1,2,4,7,8,29",3
random_sessions,n/a,0.5,12,15,15,"benign,bruteforce,ddos,dos,probe,web",,0,"0,5,7,8,29",5
random_sessions,n/a,0.5,13,15,15,"benign,ddos,dos,web",,0,"0,1,4,5,6,7,29",3
random_sessions,n/a,0.5,14,15,15,"benign,bruteforce,ddos,dos,probe,web",,0,"0,2,3,5,6,7,8",3
random_sessions,n/a,0.5,15,15,15,"benign,bruteforce,ddos,dos,probe,web",,0,"0,1,4,7,8",5
random_sessions,n/a,0.5,16,15,15,"benign,bruteforce,ddos,dos,probe,web",dos,1,"3,6",8
