feature_set,protocol,model,ba,ba_sd,ba_clean,auc_clean,fpr_clean,auc,f1,fpr,recall,n
native,file_disjoint,hgb,0.9999035060233434,9.808239293174335e-05,0.9999035060233434,0.9999927570507686,6.968339104422135e-05,0.9999927570507686,0.9998852313263097,6.968339104422135e-05,0.9998766954377312,2
native,file_disjoint,logreg,0.9897353879467028,0.0012446602513658475,0.9897353879467028,0.9951013286617372,0.01276304384677166,0.9951013286617372,0.9892450709173058,0.01276304384677166,0.9922338197401772,2
native,file_disjoint,majority,0.5,0.0,0.5,0.5,1.0,0.5,0.32274460489676204,1.0,1.0,2
native,file_disjoint,mlp,0.9944130596485574,0.0003461966711792803,0.9944130596485574,0.9938557443444329,0.001252104381660154,0.9938557443444329,0.9942675197709923,0.001252104381660154,0.9900782236787751,2
native,file_disjoint,rf,0.9991899786502895,0.0002629404503813473,0.9991899786502895,0.9999996528468467,4.8411321271832496e-05,0.9999996528468467,0.9992066387165259,4.8411321271832496e-05,0.9984283686218507,2
native,file_disjoint,stratified,0.5026761939281651,0.0023647259643982824,0.5026761939281651,0.5026761939281651,0.6100685912974033,0.5026761939281651,0.48634187571561793,0.6100685912974033,0.6154209791537335,2
native,file_disjoint,tree,0.9998535212021141,0.00013039090748398062,0.9998535212021141,0.999853521202114,0.00022445506117799814,0.999853521202114,0.999849138924894,0.00022445506117799814,0.9999314974654062,2
native,file_disjoint,xgboost,0.9999620938324454,1.5226718710273984e-05,0.9999620938324454,0.9999999872345184,4.8411321271832496e-05,0.9999999872345184,0.9999551715825806,4.8411321271832496e-05,0.9999725989861625,2
native,random,hgb,0.7644831559055887,0.0014942518769140178,0.7958441577028197,0.9999675365717147,5.121901249743905e-05,0.8746528093486915,0.7281266188443257,0.06277322260695936,0.5917395344181366,2
native,random,logreg,0.7096773363116267,0.001242600498117363,0.8665197527083325,0.9906676628137254,0.013299176248749638,0.8287235681710816,0.7070572466695709,0.3269840090421613,0.7463386816654147,2
native,random,majority,0.5,0.0,0.5,0.5,1.0,0.5,0.37698854196624565,1.0,1.0,2
native,random,mlp,0.7643442684228253,0.0014753308585277421,0.7955649599284508,0.9996727280934083,0.00045829723600090673,0.8748736581304869,0.7279847081926163,0.06289968024725175,0.5915882170929025,2
native,random,rf,0.7354327183465341,1.6764283229571795e-05,0.8240495673224014,0.9999440292381658,0.0,0.8547890270894345,0.7157892008590552,0.17723369795173466,0.6480991346448028,2
native,random,stratified,0.49756213002723493,0.0013308438068709713,0.4996871919917756,0.4996871919917756,0.6048197324399782,0.49756213002723493,0.49755785960724463,0.6090698563690595,0.6041941164235294,2
native,random,tree,0.7644714674531139,0.001488814148985793,0.796022881163298,0.9999209707197214,5.121901249743905e-05,0.8748971956583698,0.7281954239400873,0.06315404643286564,0.5920969813390935,2
native,random,xgboost,0.7640732517888907,0.001566834858057217,0.7966155459027601,0.9999753101196729,5.121901249743905e-05,0.8738320715619827,0.7281380364130963,0.0651358072402359,0.5932823108180175,2
native,site_disjoint,hgb,0.6558338660144852,0.008797308114642913,0.8287599668850653,0.964132453782552,0.00027172456839742585,0.7142886648373695,0.4961001958754964,0.3461239263095575,0.6577916583385279,2
native,site_disjoint,logreg,0.6727881637793771,0.03524153363946973,0.8432185803811237,0.9932952139449281,0.01404261375117526,0.8143449944293291,0.5236308607466157,0.3549034469546684,0.7004797745134227,2
native,site_disjoint,majority,0.5,0.0,0.5,0.5,0.5,0.5,0.21645597929803562,0.5,0.5,2
