feature_set,protocol,split,split_seed,model,n_train,n_test,train_prevalence,test_prevalence,test_files,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
shared18,random,random,101,majority,240000,60000,0.6084583333333333,0.6036,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,36216,23784,0,0,0.6036,0.5,0.6036,1.0,0.752806186081317,0.3764030930406585,0.0,1.0,0.0,0.0,0.5,0.6036,0.3964,0.3964
shared18,random,random,101,stratified,240000,60000,0.6084583333333333,0.6036,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,21951,14487,9297,14265,0.5208,0.49850317870777355,0.6024205499753005,0.6061133200795229,0.6042612932529523,0.49849359175383645,-0.0029985361933301,0.6091069626639758,0.39388667992047716,0.3908930373360242,0.4985031787077736,0.6028851196296615,0.3956870158778124,0.4792
shared18,random,random,101,logreg,240000,60000,0.6084583333333333,0.6036,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,27956,8419,15365,8260,0.7220166666666666,0.7089732738226989,0.7685498281786941,0.7719240114866357,0.7702332245044151,0.7092111934498704,0.41843308989909744,0.3539774638412378,0.22807598851336425,0.6460225361587622,0.8162395612450424,0.859624216388438,0.7609983567078062,0.15556756717028858
shared18,random,random,101,tree,240000,60000,0.6084583333333333,0.6036,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,29300,7257,16527,6916,0.7637833333333334,0.751956795497895,0.8014880870968625,0.8090346808040645,0.8052437030217251,0.7525699744066636,0.5051924977232299,0.30512108980827446,0.19096531919593548,0.6948789101917255,0.8655371827319894,0.8869535266666992,0.7909747428756981,0.1383699665331361
shared18,random,random,101,rf,240000,60000,0.6084583333333333,0.6036,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,31469,10062,13722,4747,0.7531833333333333,0.7229339096043762,0.7577231465652163,0.8689253368676828,0.8095231970365416,0.7295196038670034,0.4724881621214715,0.42305751765893035,0.13107466313231722,0.5769424823410696,0.8438640421504683,0.8854045328551912,0.7884713072933374,0.1515988994722037
shared18,random,random,101,xgboost,240000,60000,0.6084583333333333,0.6036,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,29293,7245,16539,6923,0.7638666666666667,0.7521124235637859,0.801713284799387,0.8088413960680362,0.8052615663743574,0.7526921640448174,0.5054311810092998,0.3046165489404642,0.19115860393196377,0.6953834510595358,0.8655646386889635,0.8922637863245421,0.8119318335095538,0.13817164301872253
shared18,random,random,101,hgb,240000,60000,0.6084583333333333,0.6036,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,29284,7233,16551,6932,0.7639166666666667,0.7522404395245301,0.8019278692116001,0.8085928871217142,0.805246586831287,0.7527830243061168,0.5056069839086699,0.30411200807265387,0.19140711287828585,0.6958879919273461,0.8656345913289556,0.8922433911909982,0.8116316722966901,0.13799775532988473
shared18,random,random,101,mlp,240000,60000,0.6084583333333333,0.6036,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,18204,226,23558,18012,0.6960333333333333,0.7465742878751708,0.9877373846988605,0.5026507620941021,0.6662518757091095,0.6935935450400369,0.5228989769876841,0.00950218634376051,0.49734923790589797,0.9904978136562395,0.8657362815204299,0.8920561958296624,0.8131191652698162,0.13982084393501282
shared18,file_disjoint,file_disjoint,101,majority,240000,58007,0.6204916666666667,0.3647835606047546,"8,11,16,20",0.5,21160,36847,0,0,0.3647835606047546,0.5,0.3647835606047546,1.0,0.5345661702477043,0.2672830851238521,0.0,1.0,0.0,0.0,0.5,0.3647835606047546,0.6352164393952454,0.6352164393952454
shared18,file_disjoint,file_disjoint,101,stratified,240000,58007,0.6204916666666667,0.3647835606047546,"8,11,16,20",0.5,13217,22695,14152,7943,0.47182236626614027,0.504348307693239,0.36803853865003344,0.6246219281663516,0.46316932996916177,0.47168510270301595,0.008620696651856632,0.6159253127798735,0.3753780718336484,0.38407468722012644,0.5043483076932391,0.3668166912675358,0.6372483721708051,0.5281776337338597
