feature,F
Seq,469849.6390666038
Offset,319314.40971959295
sTtl,271282.90044680436
 e        ,227726.2344590289
 *    f   ,225259.96360995714
tcp,203833.92281717324
SrcTCPBase,129970.3075573517
DstTCPBase,118840.32687319892
AckDat,114843.30885848559
udp,110850.74947272846
dHops,52400.01016568575
RST,50539.541490584656
INT,48708.607313194596
TcpRtt,48169.83238437568
icmp,42247.649004430874
ECO,40991.63878996934
sMeanPktSz,38473.44797186211
FIN,34926.330950732976
sHops,34648.70691928838
Max,33113.46492179115
Sum,33113.46492179115
Min,33113.46492179115
Dur,33113.46492179115
RunTime,33113.46492179115
Mean,33113.46492179115
dTtl,21298.3352071998
SrcBytes,18141.387730889935
TotBytes,17039.929505455093
SrcPkts,15292.082181271779
dMeanPktSz,14488.061700919809
Status,13781.756405991013
Start,13405.412885200803
TotPkts,12067.690154291142
cs0,10458.102246569413
SrcWin,9072.874887056523
sTos,9021.125643367994
DstWin,8779.212611278132
 *        ,7668.379573756154
sctp,6746.758153091307
dTos,6581.883168600715
pLoss,5593.556789223976
ef,5507.352436932219
 e s      ,4755.570822715674
 e    f   ,4312.705449400325
 e d      ,4166.575337453764
CON,3834.985143100094
 e r      ,2538.252013159976
SrcLoss,2437.2355889014125
DstLoss,2173.7242528729935
ACC,1717.5036516474233
DstBytes,1463.1455980524165
DstPkts,1307.1042247030132
af11,1221.1011661945001
 eU       ,1219.5509524672698
URP,1216.4505445143552
REQ,1091.3243760815892
Shutdown,1086.25688607242
 e i      ,1044.4186613696818
cs6,990.1909735893282
cs7,816.7158266386463
af41,796.5855926564709
SynAck,672.866857499827
nan,330.79973564847006
52,222.5615893835823
af12,211.73951980258394
lldp,177.72936625535263
cs4,143.72234568321585
4,114.35516703383362
RSP,112.80959076894918
llc,89.62672333872408
 e &      ,71.08147766620182
arp,63.354566960434994
DstLoad,40.06154699832008
Load,39.94748517110852
SrcRate,37.168307877181
 *    V   ,37.08428043562878
DstRate,34.58139804765949
Loss,33.6833108411025
 e *      ,33.284611730787745
Rate,21.76336209433166
SrcLoad,18.655045104244294
TST,18.122423704607677
SrcGap,10.643061527438824
 e g      ,5.329206861333787
e        ,3.4737901398395663
ipv6-icmp,3.09021439008124
NRS,3.09021439008124
54,1.545103960812521
39,1.545103960812521
DstGap,0.9003025198869785
