file,n,attack_share,attack_type,site
1,11450,0.8750218340611353,SYNScan,1
2,11645,0.8606268784886217,TCPConnectScan,1
3,10043,0.7853231106243155,UDPScan,1
4,18279,0.033535751408720386,ICMPFlood,1
5,467717,0.3758918320266315,UDPFlood,1
6,44636,0.10735729007975625,SYNFlood,1
7,93803,0.81149856614394,HTTPFlood,1
8,31015,0.20012896985329678,SlowrateDoS,1
9,38120,0.7839716684155299,SlowrateDoS,1
10,1608,0.0,none,1
11,11526,0.8696859274683325,SYNScan,2
12,11653,0.8607225607139792,TCPConnectScan,2
13,10305,0.7781659388646288,UDPScan,2
14,14452,0.037503459728757266,ICMPFlood,2
15,286197,0.9836895564943029,UDPFlood,2
16,14108,0.34937624043096116,SYNFlood,2
17,93650,0.6907741591030433,HTTPFlood,2
18,12656,0.5568109987357776,SlowrateDoS,2
19,31669,0.9468249707916259,SlowrateDoS,2
20,1358,0.0,none,2
