rung,feature_set,model,accuracy,balanced_accuracy,f1_macro,recall,fpr,roc_auc,tp,fp,tn,fn,clean_balanced_accuracy,clean_fpr,clean_recall,clean_tp,clean_fp,clean_tn,clean_fn,n,reported_accuracy
R0,published_top10,dt,0.9995517686632837,0.9995339379125896,0.9995298717172165,0.9996166981005619,0.0005488222753826978,0.9995339379125896,443279,157,285928,170,0.9996388266169125,0.0003390448667369152,0.9996166981005619,443279,40,117818,170,2,0.998955772
R0,published_top10,knn,0.9989829123796834,0.9988235133090966,0.9989330151490725,0.9995625766997551,0.0019155500815618766,0.9997103956843518,443255,548,285537,194,0.9978298227165459,0.003902931266663541,0.9995625766997551,443255,460,117398,194,2,0.998675045
R0,published_top10,mlp,0.9987073940350963,0.9985609756948923,0.9986440928656597,0.9992426899713219,0.0021207385815371605,0.999897385852426,443113,607,285478,336,0.9973143093658032,0.004614071239715365,0.9992426899713219,443113,544,117314,336,2,0.998520425
R0,published_top10,nb,0.9271301954398288,0.930999069851851,0.9246080640909733,0.9130663763432205,0.05106823663951851,0.9640739342681579,404898,14610,271475,38551,0.8945521631525029,0.12396205003821475,0.9130663763432205,404898,14610,103248,38551,2,0.963472299
R0,published_top10,rf,0.999579183423939,0.9995590191553977,0.9995586354843699,0.999652779034433,0.000534740723637721,0.9999634695221642,443295,153,285932,154,0.9996653965959599,0.0003219858425131008,0.999652779034433,443295,38,117820,154,2,0.999467331
R1,no_position_top10,dt,0.7693472819635547,0.7059163023664973,0.7119672366782883,0.9999752150804432,0.5881426103474485,0.8277860138132112,443438,168258,117827,11,0.9998562899432117,0.0002626351940196621,0.9999752150804432,443438,31,117827,11,2,0.998955772
R1,no_position_top10,mlp,0.7678778507924237,0.7042264767392457,0.7099184439480801,0.9993181849189582,0.5908652314404668,0.8256232052408896,443147,169039,117046,302,0.9962308143303092,0.006856556258339665,0.9993181849189582,443147,812,117046,302,2,0.998520425
R1,no_position_top10,nb,0.7432566542477801,0.6814136722147027,0.683780881264624,0.968111513892216,0.6052841694628106,0.7754354154334061,429308,173162,112923,14141,0.9631199264881697,0.0418716609158766,0.968111513892216,429308,4935,112923,14141,2,0.963472299
R1,no_position_top10,rf,0.7693568771297843,0.7059229442749058,0.7119743796917074,0.9999954898832661,0.5881496013334545,0.8278194998031931,443447,168260,117825,2,0.9998579423245475,0.0002796052341710035,0.9999954898832661,443447,33,117825,2,2,0.999467331
R2,no_position_top10,dt,0.6778410541694571,0.7988186101718953,0.6604514914983862,0.7923937452579588,0.19475652491416845,0.8988782753473702,453288,282033,195704,284865,0.8951972955040446,0.001999154249869523,0.7923937452579588,453288,508,195704,284865,5,0.998955772
R2,no_position_top10,mlp,0.67999650635141,0.8003887254176915,0.6626195626347128,0.7979451773240578,0.19716772648867492,0.9159283785957655,455689,282841,194896,282464,0.8965630217892369,0.004819133745584278,0.7979451773240578,455689,1316,194896,282464,5,0.998520425
R2,no_position_top10,nb,0.6398061608969361,0.759347356730584,0.6207478183459947,0.7452826414708508,0.22658792800968267,0.8665363172129557,431101,290628,187109,307052,0.839783703135611,0.06571523519962866,0.7452826414708508,431101,9103,187109,307052,5,0.963472299
R2,no_position_top10,rf,0.6784829606468159,0.7995700337632281,0.6611133323034811,0.7928772275412097,0.19373716001475344,0.9032907432521962,453485,281760,195977,284668,0.8957722013566741,0.001332824827861658,0.7928772275412097,453485,235,195977,284668,5,0.999467331
R2,published_top10,dt,0.801873108106687,0.8594082581022496,0.7402233729267864,0.9150212905902215,0.19620477438572234,0.8594082581022496,633077,282126,195611,105076,0.9557590722124985,0.0035031461652245627,0.9150212905902215,633077,601,195611,105076,5,0.998955772
R2,published_top10,mlp,0.8107518189197134,0.8669342264272487,0.759149731932465,0.9096661351386972,0.1757976822841998,0.8667813874050948,627994,244682,233055,110159,0.9358845160296632,0.037897103079370845,0.9096661351386972,627994,4306,191906,110159,5,0.998520425
R2,published_top10,nb,0.6694329642339734,0.7501127166524351,0.6415392078075601,0.798322541764108,0.298097108459238,0.7607634436383772,498904,306836,170901,239249,0.8200973548447505,0.1581278320746068,0.798322541764108,498904,25311,170901,239249,5,0.963472299
R2,published_top10,rf,0.8781660467510919,0.922554098897909,0.8351633672400519,0.9174401229989391,0.07233192520312125,0.9853750141127371,632091,103937,373800,106062,0.9578183196952406,0.0018034836084579661,0.9174401229989391,632091,402,195810,106062,5,0.999467331
R3,no_position_top10,dt,0.5158999620577186,0.6556570547484692,0.4959940557858745,0.6577144673694139,0.3464003578724753,0.8243389571854277,453686,281628,196109,284467,0.8285503664368423,0.0006137344957291584,0.6577144673694139,453686,103,196109,284467,2,0.998955772
R3,no_position_top10,mlp,0.5833748351335368,0.6919039769958403,0.5506368501294812,0.7407425026424628,0.35693454865078217,0.7700186094562123,522139,283652,194085,216014,0.8639079836287575,0.012926535384947807,0.7407425026424628,522139,2127,194085,216014,2,0.998520425
R3,no_position_top10,nb,0.4922922095701345,0.6271191566048064,0.47260198946912724,0.6326321545763405,0.3783938413667275,0.8461367526059341,435566,291951,185786,302587,0.7903417928529198,0.05194856887050077,0.6326321545763405,435566,10426,185786,302587,2,0.963472299
R3,no_position_top10,rf,0.5157982034615798,0.6555026118282615,0.49590428581916907,0.6574673181731547,0.34646209451663185,0.8227646278574836,453537,281645,196092,284616,0.8283821358413562,0.0007030464904424277,0.6574673181731547,453537,120,196092,284616,2,0.999467331
R3,published_top10,dt,0.6981663583136788,0.7619018684197806,0.6484187238199814,0.8709212801385855,0.3471175432990243,0.7619018684197805,631472,281751,195986,106681,0.9347593321524299,0.0014026158337257255,0.8709212801385855,631472,226,195986,106681,2,0.998955772
R3,published_top10,mlp,0.8045703958976331,0.8577449358932105,0.7694036714678278,0.86788841870641,0.15239854691998886,0.882353785871367,628730,122197,355540,109423,0.9282188471427953,0.01145072442081928,0.86788841870641,628730,2573,193639,109423,2,0.998520425
R3,published_top10,nb,0.5844481517037641,0.6598376338743468,0.5404999073122431,0.7520818584299096,0.4324065906812159,0.7030044021504258,535909,305747,171990,202244,0.8127953458777021,0.12649116667450547,0.7520818584299096,535909,24222,171990,202244,2,0.963472299
R3,published_top10,rf,0.8468758068107987,0.8948809567660099,0.8118359735764573,0.8717093321954185,0.08194741866339889,0.9851996491234125,632150,66214,411523,106003,0.9353947306530155,0.000919870889387647,0.8717093321954185,632150,152,196060,106003,2,0.999467331
