published,column,F_published,F_here,rel_diff
Seq,'Seq',329589.08,469849.6390666038,0.42556191202270344
Offset,'Offset',223791.8,319314.40971959295,0.42683695166486424
sTtl,'sTtl',189934.06,271282.90044680436,0.42830043461822676
e,' e        ',159060.91,227726.2344590289,0.43169201319814465
tcp,'tcp',142813.28,203833.92281717324,0.4272756904482079
AckDat,'AckDat',80707.0,114843.30885848559,0.4229658995934131
RST,'RST',35379.19,50539.541490584656,0.4285104178638531
INT,'INT',33941.29,48708.607313194596,0.43508415010727625
TcpRtt,'TcpRtt',32500.88,48169.83238437568,0.4821085578106094
icmp,'icmp',29713.08,42247.649004430874,0.42185357439992327
sMeanPktSz,'sMeanPktSz',26963.61,38473.44797186211,0.426865615244476
FIN,'FIN',24472.87,34926.330950732976,0.42714487310777105
sHops,'sHops',24055.76,34648.70691928838,0.4403497091460998
Mean,'Mean',23238.27,33113.46492179115,0.42495396265690816
