rung,feature_set,split,seed,model,n_train,n_test,test_prevalence,clean_n,clean_accuracy,clean_balanced_accuracy,clean_recall,clean_fpr,clean_tp,clean_fp,clean_tn,clean_fn,accuracy,balanced_accuracy,f1_macro,recall,fpr,roc_auc,tp,fp,tn,fn,fit_s,predict_s
R0,published_top10,rep0,11,dt,851123,364767,0.6067352583978266,280555,0.9996364349236336,0.9996212095037504,0.9996475643533936,0.0004051453458928,221239,24,59214,78,0.9995750712098408,0.9995553959794156,0.999554783359312,0.9996475643533936,0.0005367723945625,0.9995553959794156,221239,77,143373,78,10.61,0.08
R0,published_top10,rep0,11,rf,851123,364767,0.6067352583978266,280555,0.9996649498315838,0.9996392831266532,0.9996837115991992,0.0004051453458928,221247,24,59214,70,0.9995887785901684,0.9995630129972296,0.9995691393739417,0.9996837115991992,0.0005576856047403,0.9999559623326736,221247,80,143370,70,40.84,1.02
R0,published_top10,rep0,11,knn,851123,364767,0.6067352583978266,280555,0.998852274955,0.9978384692371938,0.9995933434846848,0.0039164050102974,221227,232,59006,90,0.9990048441882078,0.9988451206792542,0.9989570957501828,0.9995933434846848,0.0019031021261763,0.9997389144061394,221227,273,143177,90,6.15,32.63
R0,published_top10,rep0,11,nb,851123,364767,0.6067352583978266,280555,0.9055800110495268,0.8947147947898062,0.9135222328153734,0.1240926432357608,202178,7351,51887,19139,0.9273782990237605,0.9311389484048982,0.9249142264163256,0.9135222328153734,0.0512443360055768,0.9638542414410776,202178,7351,136099,19139,1.06,0.45
R0,published_top10,rep0,11,mlp,851123,364767,0.6067352583978266,280555,0.9985279178770652,0.997262002266079,0.9994532729071874,0.0049292683750295,221196,292,58946,121,0.9986950573928014,0.998489271518076,0.9986323593313632,0.9994532729071874,0.0024747298710352,0.999873682888865,221196,355,143095,121,652.44,0.12
R1,no_position_top10,rep0,11,dt,851123,364767,0.6067352583978266,280555,0.9999180196396429,0.9998244118306228,0.9999864447828228,0.0003376211215773659,221314,20,59218,3,0.7690717636189677,0.706399635775866,0.7122476952698307,0.9999864447828228,0.5871871732310909,0.8280780964080465,221314,84232,59218,3,3.36,0.11
R1,no_position_top10,rep0,11,rf,851123,364767,0.6067352583978266,280555,0.9999215840031367,0.9998204897083091,0.9999954815942743,0.00035450217765623415,221316,21,59217,1,0.7690745050950333,0.706400668646562,0.7122484904029684,0.9999954815942743,0.5871941443011502,0.8281098515870975,221316,84233,59217,1,23.37,1.19
R1,no_position_top10,rep0,11,nb,851123,364767,0.6067352583978266,280555,0.9660530020851527,0.9630980335696152,0.9682130157195336,0.042016948580303186,214282,2489,56749,7035,0.7430249995202417,0.6819071352560722,0.684106330543484,0.9682130157195336,0.6043987452073893,0.7760997460852845,214282,86701,56749,7035,0.87,0.49
R1,no_position_top10,rep0,11,mlp,851123,364767,0.6067352583978266,280555,0.9963429630553724,0.9928606242249773,0.9988884721914719,0.01316722374151727,221071,780,58458,246,0.7663220631252279,0.703201642857674,0.7083628822868014,0.9988884721914719,0.5924851864761241,0.8240062045915876,221071,84992,58458,246,805.02,1.65
R0,published_top10,rep1,12,dt,851123,364767,0.6089695613912443,280752,0.9996153188579244,0.9996564437300746,0.9995858318477302,0.0002729443875810304,222040,16,58604,92,0.9995284661167265,0.9995124798457636,0.9995049600751211,0.9995858318477302,0.0005608721562028955,0.9995124798457635,222040,80,142555,92,21.37,0.14
R0,published_top10,rep1,12,rf,851123,364767,0.6089695613912443,280752,0.9996509374821907,0.9996915100652666,0.9996218464696667,0.00023882633913340157,222048,14,58606,84,0.9995695882577097,0.9995550253135658,0.999548131594798,0.9996218464696667,0.0005117958425351421,0.9999709767116548,222048,73,142562,84,63.23,1.62
R0,published_top10,rep1,12,knn,851123,364767,0.6089695613912443,280752,0.9988174616743603,0.9978211761958978,0.9995318099148254,0.0038894575230296827,222028,228,58392,104,0.9989609805711591,0.998801905938939,0.9989089345479624,0.9995318099148254,0.0019279980369474533,0.9996818769625643,222028,275,142360,104,16.83,102.96
R0,published_top10,rep1,12,nb,851123,364767,0.6089695613912443,280752,0.9050015672194677,0.8943895315151995,0.9126105198710677,0.12383145684066871,202720,7259,51361,19412,0.9268820918558971,0.9308591912988038,0.9243019017656211,0.9126105198710677,0.05089213727346023,0.9642936270952382,202720,7259,135376,19412,1.42,0.67
R0,published_top10,rep1,12,mlp,851123,364767,0.6089695613912443,280752,0.9983366102467658,0.9973666164655276,0.9990321070354564,0.004298874104401228,221917,252,58368,215,0.9987197306773913,0.9986326798717087,0.9986558263999563,0.9990321070354564,0.001766747292039121,0.9999210888159872,221917,252,142383,215,1455.65,0.98
R1,no_position_top10,rep1,12,dt,851123,364767,0.6089695613912443,280752,0.9999323246138941,0.9998881680558007,0.9999639853780635,0.00018764926646195837,222124,11,58609,8,0.7696228003081419,0.7054329689571286,0.711686778086746,0.9999639853780635,0.5890980474638062,0.8274939312183757,222124,84026,58609,8,2.24,0.08
R1,no_position_top10,rep1,12,rf,851123,364767,0.6089695613912443,280752,0.9999536957884538,0.999895394940786,0.999995498172258,0.00020470829068577277,222131,12,58608,1,0.7696392491645352,0.7054452199032496,0.7117002689804464,0.999995498172258,0.5891050583657588,0.8275291480192888,222131,84027,58608,1,12.48,0.54
R1,no_position_top10,rep1,12,nb,851123,364767,0.6089695613912443,280752,0.965977090100872,0.9631418194067242,0.9680100120648983,0.04172637325145002,215026,2446,56174,7106,0.7434883089753185,0.6809202091733333,0.683455431985764,0.9680100120648983,0.6061695937182319,0.7747710847815277,215026,86461,56174,7106,0.33,0.18
R1,no_position_top10,rep1,12,mlp,851123,364767,0.6089695613912443,280752,0.999686556106457,0.9996010044356411,0.9997478976464445,0.0005458887751620607,222076,32,58588,56,0.7694336384596194,0.7052513106208175,0.7114740056093589,0.9997478976464445,0.5892452764048095,0.8272402058901915,222076,84047,58588,56,537.09,0.38
R2,published_top10,fold0,11,dt,748173,467717,0.3758918320266315,186192,0.991406719945003,0.9949964494732699,0.9909561972800337,0.000963298333493883,174221,10,10371,1590,0.39466600529807555,0.5132423789220254,0.30998519840802297,0.9909561972800337,0.9644714394359828,0.5132423789220255,174221,281535,10371,1590,6.27,0.07
R2,published_top10,fold0,11,rf,748173,467717,0.3758918320266315,186192,0.9998818423992438,0.9989403718331566,1.0,0.0021192563336865427,175811,22,10359,0,0.7785904724438069,0.8226192678464985,0.7784312520389767,1.0,0.35476146430700295,0.9976177955719607,175811,103557,188349,0,31.4,1.28
R2,published_top10,fold0,11,nb,748173,467717,0.3758918320266315,186192,0.9847039615021054,0.8628263173104711,1.0,0.2743473653790579,175811,2848,7533,0,0.39199772512010467,0.5129031263488931,0.30159160683647074,1.0,0.9741937473022138,0.033503856717398306,175811,284373,7533,0,0.87,0.81
R2,published_top10,fold0,11,mlp,748173,467717,0.3758918320266315,186192,0.9916269227464123,0.9302134464701112,0.9993345126300403,0.13890761968981793,175694,1442,8939,117,0.48273207944120056,0.5854619984580388,0.4425272620315661,0.9993345126300403,0.8284105157139627,0.5392148383813815,175694,241818,50088,117,733.56,0.67
R2,no_position_top10,fold0,11,dt,748173,467717,0.3758918320266315,186192,0.9999624043997594,0.9996628455832771,1.0,0.0006743088334457181,175811,7,10374,0,0.3980719110060143,0.5177694189225298,0.3119941159168762,1.0,0.9644611621549403,0.5177796962035723,175811,281532,10374,0,2.61,0.07
R2,no_position_top10,fold0,11,rf,748173,467717,0.3758918320266315,186192,0.9998603591991063,0.998747712166458,1.0,0.002504575667084096,175811,26,10355,0,0.39803128815074074,0.5177368741992285,0.31192508126654145,1.0,0.9645262516015429,0.5177814090837461,175811,281551,10355,0,9.62,0.53
R2,no_position_top10,fold0,11,nb,748173,467717,0.3758918320266315,186192,0.9907461115407751,0.917011848569502,1.0,0.16597630286099604,175811,1723,8658,0,0.39440302576130437,0.5148301165443671,0.30573025473305393,1.0,0.970339766911266,0.44868282221754924,175811,283248,8658,0,0.35,0.26
R2,no_position_top10,fold0,11,mlp,748173,467717,0.3758918320266315,186192,0.9998442467990032,0.9986032174164339,1.0,0.0027935651671322607,175811,29,10352,0,0.3980248740156975,0.5177317355587072,0.3119141804066883,1.0,0.9645365288825855,0.5853415007170831,175811,281554,10352,0,602.33,0.69
