model,split_seed,benign,benign__n,dos,dos__n,probe,probe__n
majority,101,0.0,477736,1.0,682152,1.0,56001
stratified,101,0.06172028065709932,477736,0.9385444886183725,682152,0.9366975589721612,56001
logreg,101,0.9787979134919704,477736,0.15119504157431188,682152,0.7140943911715862,56001
tree,101,0.357827335599578,477736,0.8545866610374228,682152,0.28220924626345956,56001
rf,101,0.3461451512969506,477736,0.8328510361327094,682152,0.28310208746272386,56001
xgboost,101,0.691915618668051,477736,0.507288698120067,682152,0.27931644077784323,56001
hgb,101,0.3770094780380796,477736,0.7521989234070999,682152,0.27999500008928413,56001
mlp,101,0.37692784299278265,477736,0.8317940869483634,682152,0.281673541543901,56001
majority,102,0.0,477736,1.0,682152,1.0,56001
stratified,102,0.061368622000435386,477736,0.9389417607805884,682152,0.9370011249799111,56001
logreg,102,0.9860027295410018,477736,0.15527477746895121,682152,0.3604042784950269,56001
tree,102,0.36056106301388213,477736,0.7659070119269605,682152,0.283298512526562,56001
rf,102,0.3283235929467321,477736,0.8975184416376408,682152,0.28492348350922303,56001
xgboost,102,0.3865817104007234,477736,0.7973164338739753,682152,0.28047713433688687,56001
hgb,102,0.38738131520337593,477736,0.7587663746496383,682152,0.279798575025446,56001
mlp,102,0.34166359663077517,477736,0.8456868850344205,682152,0.2818878234317244,56001
majority,103,0.0,477736,1.0,682152,1.0,56001
stratified,103,0.055846743808295796,477736,0.9443774994429394,682152,0.942679595007232,56001
logreg,103,0.9848933302074786,477736,0.2572300601625444,682152,0.3606364172068356,56001
tree,103,0.3788117286534823,477736,0.7743215588314628,682152,0.28008428420921055,56001
rf,103,0.3366126898538105,477736,0.8702283362065932,682152,0.2835127944143855,56001
xgboost,103,0.39654327913324516,477736,0.8094149104598388,682152,0.2800128569132694,56001
hgb,103,0.3863640169465981,477736,0.8207877423213594,682152,0.2801378546811664,56001
mlp,103,0.38790461677579247,477736,0.8323247604639435,682152,0.28263781003910643,56001
majority,104,0.0,477736,1.0,682152,1.0,56001
stratified,104,0.0741916037309309,477736,0.9259710445765753,682152,0.9242156390064463,56001
logreg,104,0.9666384781552991,477736,0.2607981798777985,682152,0.7164872055856145,56001
tree,104,0.6466123549408042,477736,0.422090677737513,682152,0.357975750433028,56001
