model,split_seed,session,tau,tp,fp,fn,tn
majority,101,1,0.01,0,54,0,0
majority,101,1,0.02,0,54,0,0
majority,101,1,0.03,0,54,0,0
majority,101,1,0.04,0,54,0,0
majority,101,1,0.05,0,54,0,0
majority,101,1,0.06,0,54,0,0
majority,101,1,0.07,0,54,0,0
majority,101,1,0.08,0,54,0,0
majority,101,1,0.09,0,54,0,0
majority,101,1,0.1,0,54,0,0
majority,101,1,0.11,0,54,0,0
majority,101,1,0.12,0,54,0,0
majority,101,1,0.13,0,54,0,0
majority,101,1,0.14,0,54,0,0
majority,101,1,0.15,0,54,0,0
majority,101,1,0.16,0,54,0,0
majority,101,1,0.17,0,54,0,0
majority,101,1,0.18,0,54,0,0
majority,101,1,0.19,0,54,0,0
majority,101,1,0.2,0,54,0,0
majority,101,1,0.21,0,54,0,0
majority,101,1,0.22,0,54,0,0
majority,101,1,0.23,0,54,0,0
majority,101,1,0.24,0,54,0,0
majority,101,1,0.25,0,54,0,0
majority,101,1,0.26,0,54,0,0
majority,101,1,0.27,0,54,0,0
majority,101,1,0.28,0,54,0,0
majority,101,1,0.29,0,54,0,0
majority,101,1,0.3,0,54,0,0
majority,101,1,0.31,0,54,0,0
majority,101,1,0.32,0,54,0,0
majority,101,1,0.33,0,54,0,0
majority,101,1,0.34,0,54,0,0
majority,101,1,0.35,0,54,0,0
majority,101,1,0.36,0,54,0,0
majority,101,1,0.37,0,54,0,0
majority,101,1,0.38,0,54,0,0
majority,101,1,0.39,0,54,0,0
majority,101,1,0.4,0,54,0,0
majority,101,1,0.41,0,54,0,0
majority,101,1,0.42,0,54,0,0
majority,101,1,0.43,0,54,0,0
majority,101,1,0.44,0,54,0,0
majority,101,1,0.45,0,54,0,0
majority,101,1,0.46,0,54,0,0
majority,101,1,0.47,0,54,0,0
majority,101,1,0.48,0,54,0,0
majority,101,1,0.49,0,54,0,0
majority,101,1,0.5,0,54,0,0
majority,101,1,0.51,0,54,0,0
majority,101,1,0.52,0,54,0,0
majority,101,1,0.53,0,54,0,0
majority,101,1,0.54,0,54,0,0
majority,101,1,0.55,0,54,0,0
majority,101,1,0.56,0,54,0,0
majority,101,1,0.57,0,54,0,0
majority,101,1,0.58,0,54,0,0
majority,101,1,0.59,0,54,0,0
majority,101,1,0.6,0,54,0,0
majority,101,1,0.61,0,54,0,0
majority,101,1,0.62,0,54,0,0
majority,101,1,0.63,0,54,0,0
majority,101,1,0.64,0,54,0,0
majority,101,1,0.65,0,54,0,0
majority,101,1,0.66,0,54,0,0
majority,101,1,0.67,0,54,0,0
majority,101,1,0.68,0,54,0,0
majority,101,1,0.69,0,54,0,0
majority,101,1,0.7,0,54,0,0
majority,101,1,0.71,0,54,0,0
majority,101,1,0.72,0,54,0,0
majority,101,1,0.73,0,54,0,0
majority,101,1,0.74,0,54,0,0
majority,101,1,0.75,0,54,0,0
majority,101,1,0.76,0,54,0,0
majority,101,1,0.77,0,54,0,0
majority,101,1,0.78,0,54,0,0
majority,101,1,0.79,0,54,0,0
majority,101,1,0.8,0,54,0,0
majority,101,1,0.81,0,54,0,0
majority,101,1,0.82,0,54,0,0
majority,101,1,0.83,0,54,0,0
majority,101,1,0.84,0,54,0,0
majority,101,1,0.85,0,54,0,0
majority,101,1,0.86,0,54,0,0
majority,101,1,0.87,0,54,0,0
majority,101,1,0.88,0,54,0,0
majority,101,1,0.89,0,54,0,0
majority,101,1,0.9,0,54,0,0
majority,101,1,0.91,0,54,0,0
majority,101,1,0.92,0,54,0,0
majority,101,1,0.93,0,54,0,0
majority,101,1,0.94,0,54,0,0
majority,101,1,0.95,0,54,0,0
majority,101,1,0.96,0,54,0,0
majority,101,1,0.97,0,54,0,0
majority,101,1,0.98,0,54,0,0
majority,101,1,0.99,0,54,0,0
majority,101,1,0.995,0,54,0,0
majority,101,1,0.999,0,54,0,0
majority,101,1,0.9995,0,54,0,0
majority,101,2,0.01,0,58,0,0
majority,101,2,0.02,0,58,0,0
majority,101,2,0.03,0,58,0,0
majority,101,2,0.04,0,58,0,0
majority,101,2,0.05,0,58,0,0
