file,n,attack_share,attack_type,conflicting_native,conflicting_shared,benign_conflicting_native,site
1,11450,0.8750218340611353,SYNScan,0.0,0.0005240174672489083,0.0,1
2,11645,0.8606268784886217,TCPConnectScan,0.0,0.8520395019321597,0.0,1
3,10043,0.7853231106243155,UDPScan,0.0,0.7692920442098975,0.0,1
4,18279,0.033535751408720386,ICMPFlood,0.0,0.010394441709065047,0.0,1
5,467717,0.3758918320266315,UDPFlood,0.750130955257132,0.7501651639773623,0.9644371818325077,1
6,44636,0.10735729007975625,SYNFlood,0.0,0.03389640648803656,0.0,1
7,93803,0.81149856614394,HTTPFlood,0.0,0.486946046501711,0.0,1
8,31015,0.20012896985329678,SlowrateDoS,0.0,0.056134128647428665,0.0,1
9,38120,0.7839716684155299,SlowrateDoS,0.0,0.029249737670514166,0.0,1
10,1608,0.0,none,0.0,0.005597014925373134,0.0,1
11,11526,0.8696859274683325,SYNScan,0.0,0.0008676036786395974,0.0,2
12,11653,0.8607225607139792,TCPConnectScan,0.0,0.851712005492148,0.0,2
13,10305,0.7781659388646288,UDPScan,0.0,0.7621542940320233,0.0,2
14,14452,0.037503459728757266,ICMPFlood,0.0,0.01591475228342098,0.0,2
15,286197,0.9836895564943029,UDPFlood,0.9836895564943029,0.9837105210746444,0.0,2
16,14108,0.34937624043096116,SYNFlood,0.0,0.01559398922597108,0.0,2
17,93650,0.6907741591030433,HTTPFlood,0.0,0.4016444207154298,0.0,2
18,12656,0.5568109987357776,SlowrateDoS,0.0,0.13116308470290772,0.0,2
19,31669,0.9468249707916259,SlowrateDoS,0.0,0.028229498879029966,0.0,2
20,1358,0.0,none,0.0,0.007363770250368188,0.0,2
