model,split_seed,background,background__n,benign,benign__n,icmp_flood,icmp_flood__n,pfcp_deletion,pfcp_deletion__n,syn_flood,syn_flood__n
majority,101,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,101,0.9395394289598912,23536,0.062259136212624584,15050,0.9423076923076923,156,0.941747572815534,103,0.9344827586206896,580
logreg,101,0.21371515975526853,23536,0.8972757475083056,15050,0.0,156,0.0,103,1.0,580
tree,101,0.6322229775662814,23536,0.19853820598006644,15050,1.0,156,0.9902912621359223,103,1.0,580
rf,101,0.6489208021753909,23536,0.20392026578073089,15050,1.0,156,0.970873786407767,103,1.0,580
xgboost,101,0.6515975526852481,23536,0.2501661129568106,15050,1.0,156,0.5048543689320388,103,1.0,580
hgb,101,0.5706577158395649,23536,0.3017940199335548,15050,1.0,156,0.970873786407767,103,1.0,580
mlp,101,0.031781101291638345,23536,0.9586046511627907,15050,0.0,156,0.0,103,1.0,580
majority,102,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,102,0.9397518694765465,23536,0.062059800664451825,15050,0.9423076923076923,156,0.941747572815534,103,0.9344827586206896,580
logreg,102,0.7879418762746431,23536,0.2483720930232558,15050,0.0,156,0.019417475728155338,103,1.0,580
tree,102,0.8343813732154997,23536,0.21548172757475084,15050,1.0,156,1.0,103,1.0,580
rf,102,0.9865312712440517,23536,0.06830564784053156,15050,1.0,156,0.9805825242718447,103,1.0,580
xgboost,102,0.6226631543167913,23536,0.2481063122923588,15050,1.0,156,0.9805825242718447,103,1.0,580
hgb,102,0.6104265805574439,23536,0.2700996677740864,15050,1.0,156,0.970873786407767,103,1.0,580
mlp,102,0.21014615907545886,23536,0.9332225913621263,15050,0.0,156,0.9805825242718447,103,1.0,580
majority,103,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,103,0.9458701563562203,23536,0.05654485049833887,15050,0.9423076923076923,156,0.941747572815534,103,0.9396551724137931,580
logreg,103,0.21371515975526853,23536,0.9483720930232559,15050,0.0,156,0.0,103,1.0,580
tree,103,0.2776597552685248,23536,0.8648504983388704,15050,1.0,156,1.0,103,1.0,580
rf,103,0.8815856560163154,23536,0.16704318936877077,15050,1.0,156,1.0,103,1.0,580
xgboost,103,0.7958871515975526,23536,0.2707641196013289,15050,1.0,156,0.019417475728155338,103,1.0,580
hgb,103,0.80175050985724,23536,0.26372093023255816,15050,1.0,156,0.038834951456310676,103,1.0,580
mlp,103,0.7872195785180149,23536,0.24205980066445182,15050,0.0,156,0.9805825242718447,103,1.0,580
majority,104,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,104,0.9260282121006118,23536,0.07401993355481727,15050,0.9294871794871795,156,0.9320388349514563,103,0.9206896551724137,580
logreg,104,0.21371515975526853,23536,0.8928239202657807,15050,0.0,156,0.0,103,1.0,580
