model,split_seed,domain,n_train,n_eval,train_prevalence,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
majority,101,source_heldout,150920,149080,0.9384177047442354,0.5,142326,6754,0,0,0.9546954655218675,0.5,0.9546954655218675,1.0,0.9768227147004523,0.48841135735022617,0.0,1.0,0.0,0.0,0.5,0.9546954655218675,0.04530453447813255,0.04530453447813255
majority,101,target,150920,39425,0.9384177047442354,0.5,839,38586,0,0,0.021280913126188968,0.5,0.021280913126188968,1.0,0.04167494536061991,0.020837472680309953,0.0,1.0,0.0,0.0,0.5,0.021280913126188968,0.978719086873811,0.978719086873811
stratified,101,source_heldout,150920,149080,0.9384177047442354,0.5,133581,6350,404,8745,0.8987456399248726,0.4991864791791587,0.9546204915279674,0.9385565532650394,0.9465203697339658,0.49866419668865175,-0.0014098650205466698,0.940183594906722,0.061443446734960584,0.059816405093278055,0.4991864791791587,0.954625098188568,0.04523594282569819,0.10125436007512745
stratified,101,target,150920,39425,0.9384177047442354,0.5,786,36226,2360,53,0.07979708306911858,0.4989958192547558,0.021236355776504918,0.9368295589988082,0.041531267337718954,0.0783280132390929,-0.0012091712374227423,0.9388379204892966,0.0631704410011919,0.06116207951070336,0.4989958192547558,0.021239170483934304,0.9786772858590095,0.9202029169308814
logreg,101,source_heldout,150920,149080,0.9384177047442354,0.5,125952,1814,4940,16374,0.8779983901261068,0.8081863393266434,0.9858021695912841,0.8849542599384511,0.9326599825244731,0.6423311313505934,0.3662063747971169,0.26858158128516435,0.11504574006154884,0.7314184187148357,0.8411695266358331,0.9856086474956434,0.4382991049123335,0.09262054539987807
logreg,101,target,150920,39425,0.9384177047442354,0.5,580,6576,32010,259,0.8266328471781864,0.7604373296878999,0.0810508664058133,0.6912991656734208,0.14509068167604752,0.5243130354255616,0.1950298875645977,0.1704245062976209,0.30870083432657924,0.8295754937023792,0.7403987668491175,0.26819285330901865,0.9917925634392055,0.20854537464167947
tree,101,source_heldout,150920,149080,0.9384177047442354,0.5,121374,1201,5553,20952,0.8514019318486719,0.8374840587419513,0.990201917193555,0.8527886682686228,0.9163725316250222,0.625148591799462,0.3671479046764612,0.17782055078472017,0.14721133173137727,0.8221794492152799,0.8581824317868618,0.987698317243395,0.3731949858176612,0.1403472128618519
tree,101,target,150920,39425,0.9384177047442354,0.5,838,26942,11644,1,0.3166011414077362,0.6502877926600439,0.030165586753059755,0.99880810488677,0.0585624934484084,0.26109028894912506,0.09508536868244555,0.6982325195666822,0.0011918951132300357,0.3017674804333178,0.6514027424893094,0.030260570045508507,0.9851409916497555,0.683615553909058
rf,101,source_heldout,150920,149080,0.9384177047442354,0.5,129185,1247,5507,13141,0.9034880601019587,0.8615191932108168,0.9904394627085378,0.9076697160041033,0.9472499431730692,0.6904189248185636,0.4545438622352622,0.18463132958246964,0.09233028399589674,0.8153686704175304,0.9541864153885354,0.9976440035817804,0.5371788525713688,0.07627344412885477
rf,101,target,150920,39425,0.9384177047442354,0.5,836,27254,11332,3,0.30863665187064043,0.6450529804266147,0.029761480954076183,0.9964243146603099,0.057796674617166165,0.2558969951880326,0.09250514345508293,0.7063183538070803,0.003575685339690107,0.2936816461929197,0.9805446737646608,0.49408022081395925,0.9994722346012465,0.2672583540852627
xgboost,101,source_heldout,150920,149080,0.9384177047442354,0.5,124417,194,6560,17909,0.8785685537966192,0.9227227208314556,0.9984431550986671,0.8741691609403763,0.9321824999906345,0.6761927777152673,0.4747029558093019,0.028723719277465205,0.12583083905962367,0.9712762807225348,0.958468867081983,0.9979532407444678,0.6057486740393568,0.10505769401788712
xgboost,101,target,150920,39425,0.9384177047442354,0.5,788,26621,11965,51,0.32347495244134433,0.6246499545587285,0.028749680761793572,0.9392133492252682,0.055791560464457664,0.26434888485259955,0.07816123723250328,0.6899134401078111,0.060786650774731825,0.31008655989218886,0.7910805341899312,0.39351970977610684,0.9944263121937673,0.6249164938926697
hgb,101,source_heldout,150920,149080,0.9384177047442354,0.5,124430,302,6452,17896,0.877931312047223,0.9147731285648498,0.997578808966424,0.8742605005410115,0.9318574991200413,0.6733752160251998,0.4667052310508685,0.04471424341131182,0.12573949945898852,0.9552857565886882,0.9613642191344648,0.9980953881074065,0.6139003246386598,0.10549830656021358
hgb,101,target,150920,39425,0.9384177047442354,0.5,836,23939,14647,3,0.39272035510462905,0.6880089748287296,0.03374369323915237,0.9964243146603099,0.06527680174904349,0.30777176927184685,0.1122997510368026,0.6204063650028507,0.003575685339690107,0.3795936349971492,0.9867457346643662,0.5178539866281381,0.9996002997418473,0.24568051795567886
mlp,101,source_heldout,150920,149080,0.9384177047442354,0.5,125257,990,5764,17069,0.8788636973437081,0.8667456499028862,0.9921582295024832,0.8800711043660329,0.9327594359820235,0.6611950084902175,0.42357039238132044,0.1465798045602606,0.1199288956339671,0.8534201954397395,0.9414638873853567,0.9967978727686665,0.5219696390129017,0.10803624987602234
mlp,101,target,150920,39425,0.9384177047442354,0.5,580,1371,37215,259,0.9586556753329106,0.827884072029682,0.2972834443874936,0.6912991656734208,0.4157706093189964,0.6971700798369896,0.43636761818366393,0.03553102161405691,0.30870083432657924,0.9644689783859431,0.7313388998350326,0.37841611108427947,0.9898643070515791,0.0608147531747818
majority,102,source_heldout,142824,157176,0.938784798073153,0.5,149939,7237,0,0,0.9539560747187866,0.5,0.9539560747187866,1.0,0.9764355371766277,0.48821776858831384,0.0,1.0,0.0,0.0,0.5,0.9539560747187866,0.04604392528121342,0.04604392528121342
majority,102,target,142824,39425,0.938784798073153,0.5,839,38586,0,0,0.021280913126188968,0.5,0.021280913126188968,1.0,0.04167494536061991,0.020837472680309953,0.0,1.0,0.0,0.0,0.5,0.021280913126188968,0.978719086873811,0.978719086873811
stratified,102,source_heldout,142824,157176,0.938784798073153,0.5,140786,6754,483,9153,0.8987949814221,0.5028477685665037,0.9542225837061136,0.9389551751045425,0.9465273178947086,0.5018892738350447,0.004975858180081041,0.9332596379715352,0.061044824895457483,0.06674036202846484,0.5028477685665036,0.9542063147116492,0.0463162665177445,0.10120501857789993
stratified,102,target,142824,39425,0.938784798073153,0.5,786,36234,2352,53,0.07959416613823717,0.4988921547132122,0.021231766612641815,0.9368295589988082,0.04152249134948097,0.0781396946025539,-0.0013360700319353148,0.9390452495723838,0.0631704410011919,0.060954750427616236,0.4988921547132122,0.02123487121957626,0.9786729740619305,0.9204058338617629
logreg,102,source_heldout,142824,157176,0.938784798073153,0.5,133974,1415,5822,15965,0.8894233216267114,0.8490001796990736,0.9895486339362873,0.8935233661689087,0.9390876464980654,0.6701364362589555,0.42335220940384366,0.19552300677076137,0.10647663383109131,0.8044769932292386,0.8932104504682717,0.9933089452104479,0.5020011460908784,0.120245018763422
logreg,102,target,142824,39425,0.938784798073153,0.5,582,29857,8729,257,0.23616994292961319,0.4599524508416628,0.019120207628371497,0.6936829558998808,0.03721465566852101,0.20209761623920458,-0.027555189481392767,0.7737780542165552,0.3063170441001192,0.22622194578344476,0.7303765432224611,0.3774124129996676,0.9875138500528762,0.3180273954785397
tree,102,source_heldout,142824,157176,0.938784798073153,0.5,108052,2424,4813,41887,0.7180803685040973,0.6928471537247864,0.9780585828596257,0.7206397268222411,0.8298446710058944,0.5041560711575072,0.17688353517852143,0.33494541937266825,0.27936027317775897,0.6650545806273318,0.6768557041947462,0.9728214260921713,0.07263171743587357,0.2696022974683891
tree,102,target,142824,39425,0.938784798073153,0.5,839,31445,7141,0,0.20240963855421687,0.5925335613953248,0.025988105563127247,1.0,0.05065966247018688,0.18149577258265615,0.0693508754331741,0.8149328772093506,0.0,0.18506712279064946,0.5966542269216815,0.02624663705186761,0.9828328672866096,0.7974100132114162
rf,102,source_heldout,142824,157176,0.938784798073153,0.5,145580,2865,4372,4359,0.9540387845472591,0.787522952899653,0.9806999225302301,0.9709281774588333,0.9757895865730066,0.761692388476884,0.5261678714350252,0.39588227165952744,0.02907182254116674,0.6041177283404726,0.9456563581768795,0.9969301054045369,0.6400180373947836,0.0434764348063145
rf,102,target,142824,39425,0.938784798073153,0.5,837,37241,1345,2,0.05534559289790742,0.5162367059337818,0.021981196491412364,0.9976162097735399,0.0430146208597785,0.055188726802313064,0.025799002737123423,0.9651427979059762,0.0023837902264600714,0.03485720209402374,0.9117644087998221,0.48577204032958826,0.9976395208400679,0.6424962059986011
xgboost,102,source_heldout,142824,157176,0.938784798073153,0.5,139279,2004,5233,10660,0.91942790247875,0.8259970495873241,0.9858157032339347,0.92890442113126,0.9565142743336699,0.7045001116588366,0.45324431008014315,0.27691032195661186,0.07109557886873995,0.7230896780433882,0.9662205861925465,0.9982719471134646,0.7016986919513158,0.054640285670757294
xgboost,102,target,142824,39425,0.938784798073153,0.5,837,25971,12615,2,0.34120481927710844,0.6622741288332791,0.031222023276633842,0.9976162097735399,0.06054906499801063,0.2766468153730557,0.10040720626688396,0.6730679521069818,0.0023837902264600714,0.3269320478930182,0.9144215231311239,0.48488402560253985,0.9977743215694569,0.6583094000816345
hgb,102,source_heldout,142824,157176,0.938784798073153,0.5,132376,451,6786,17563,0.8853896269150506,0.9102735291984518,0.9966046059912518,0.8828656987174784,0.9362936138008106,0.6829888255162477,0.4752874397015123,0.062318640320574825,0.11713430128252156,0.9376813596794252,0.965249015185387,0.9981442475867168,0.7127173488811464,0.07803978302730867
hgb,102,target,142824,39425,0.938784798073153,0.5,836,25352,13234,3,0.35688015218769814,0.6696992251785974,0.03192301817626394,0.9964243146603099,0.06186406186406186,0.2863012685292368,0.10371934486159895,0.6570258643031152,0.003575685339690107,0.3429741356968849,0.9160321229108088,0.6090992553562422,0.9977169996513082,0.6113618743760572
mlp,102,source_heldout,142824,157176,0.938784798073153,0.5,136633,1203,6034,13306,0.9076894691301471,0.8725140720784096,0.9912722365709974,0.9112572446128092,0.9495821388237338,0.7018294860879402,0.4753349027521466,0.16622910045599004,0.08874275538719079,0.83377089954401,0.9339664741723446,0.9960493709057023,0.685662346452683,0.06827480345964432
mlp,102,target,142824,39425,0.938784798073153,0.5,681,5951,32635,158,0.8450475586556754,0.8287268252141078,0.10268395657418576,0.8116805721096544,0.182304912327667,0.5483597580313295,0.25365776889485,0.15422692168143887,0.18831942789034564,0.8457730783185612,0.8381034621547508,0.4398888080772771,0.9940741682386285,0.20996519923210144
majority,103,source_heldout,210621,89379,0.9442078425228254,0.5,85029,4350,0,0,0.9513308495284127,0.5,0.9513308495284127,1.0,0.9750584835558002,0.4875292417779001,0.0,1.0,0.0,0.0,0.5,0.9513308495284127,0.048669150471587284,0.048669150471587284
majority,103,target,210621,39425,0.9442078425228254,0.5,839,38586,0,0,0.021280913126188968,0.5,0.021280913126188968,1.0,0.04167494536061991,0.020837472680309953,0.0,1.0,0.0,0.0,0.5,0.021280913126188968,0.978719086873811,0.978719086873811
stratified,103,source_heldout,210621,89379,0.9442078425228254,0.5,80265,4108,242,4764,0.9007373096588684,0.49980212025025134,0.9513114384933569,0.9439720565924566,0.947627536864972,0.4996795230284672,-0.0003703499957874423,0.944367816091954,0.05602794340754331,0.05563218390804598,0.49980212025025134,0.9513125260537305,0.04865094979850508,0.09926269034113158
