model,split_seed,domain,tau,tp,fp,fn,tn
majority,101,source_heldout,0.05,142326,6754,0,0
majority,101,source_heldout,0.1,142326,6754,0,0
majority,101,source_heldout,0.15,142326,6754,0,0
majority,101,source_heldout,0.2,142326,6754,0,0
majority,101,source_heldout,0.25,142326,6754,0,0
majority,101,source_heldout,0.3,142326,6754,0,0
majority,101,source_heldout,0.35,142326,6754,0,0
majority,101,source_heldout,0.4,142326,6754,0,0
majority,101,source_heldout,0.45,142326,6754,0,0
majority,101,source_heldout,0.5,142326,6754,0,0
majority,101,source_heldout,0.55,142326,6754,0,0
majority,101,source_heldout,0.6,142326,6754,0,0
majority,101,source_heldout,0.65,142326,6754,0,0
majority,101,source_heldout,0.7,142326,6754,0,0
majority,101,source_heldout,0.75,142326,6754,0,0
majority,101,source_heldout,0.8,142326,6754,0,0
majority,101,source_heldout,0.85,142326,6754,0,0
majority,101,source_heldout,0.9,142326,6754,0,0
majority,101,source_heldout,0.95,142326,6754,0,0
majority,101,source_heldout,0.975,142326,6754,0,0
majority,101,source_heldout,0.99,142326,6754,0,0
majority,101,source_heldout,0.995,142326,6754,0,0
majority,101,source_heldout,0.999,142326,6754,0,0
majority,101,target,0.05,839,38586,0,0
majority,101,target,0.1,839,38586,0,0
majority,101,target,0.15,839,38586,0,0
majority,101,target,0.2,839,38586,0,0
majority,101,target,0.25,839,38586,0,0
majority,101,target,0.3,839,38586,0,0
majority,101,target,0.35,839,38586,0,0
majority,101,target,0.4,839,38586,0,0
majority,101,target,0.45,839,38586,0,0
majority,101,target,0.5,839,38586,0,0
majority,101,target,0.55,839,38586,0,0
majority,101,target,0.6,839,38586,0,0
majority,101,target,0.65,839,38586,0,0
majority,101,target,0.7,839,38586,0,0
majority,101,target,0.75,839,38586,0,0
majority,101,target,0.8,839,38586,0,0
majority,101,target,0.85,839,38586,0,0
majority,101,target,0.9,839,38586,0,0
majority,101,target,0.95,839,38586,0,0
majority,101,target,0.975,839,38586,0,0
majority,101,target,0.99,839,38586,0,0
majority,101,target,0.995,839,38586,0,0
majority,101,target,0.999,839,38586,0,0
stratified,101,source_heldout,0.05,133581,6350,8745,404
stratified,101,source_heldout,0.1,133581,6350,8745,404
stratified,101,source_heldout,0.15,133581,6350,8745,404
stratified,101,source_heldout,0.2,133581,6350,8745,404
stratified,101,source_heldout,0.25,133581,6350,8745,404
stratified,101,source_heldout,0.3,133581,6350,8745,404
stratified,101,source_heldout,0.35,133581,6350,8745,404
stratified,101,source_heldout,0.4,133581,6350,8745,404
stratified,101,source_heldout,0.45,133581,6350,8745,404
stratified,101,source_heldout,0.5,133581,6350,8745,404
stratified,101,source_heldout,0.55,133581,6350,8745,404
stratified,101,source_heldout,0.6,133581,6350,8745,404
stratified,101,source_heldout,0.65,133581,6350,8745,404
stratified,101,source_heldout,0.7,133581,6350,8745,404
stratified,101,source_heldout,0.75,133581,6350,8745,404
stratified,101,source_heldout,0.8,133581,6350,8745,404
stratified,101,source_heldout,0.85,133581,6350,8745,404
stratified,101,source_heldout,0.9,133581,6350,8745,404
stratified,101,source_heldout,0.95,133581,6350,8745,404
stratified,101,source_heldout,0.975,133581,6350,8745,404
stratified,101,source_heldout,0.99,133581,6350,8745,404
stratified,101,source_heldout,0.995,133581,6350,8745,404
stratified,101,source_heldout,0.999,133581,6350,8745,404
stratified,101,target,0.05,786,36226,53,2360
stratified,101,target,0.1,786,36226,53,2360
stratified,101,target,0.15,786,36226,53,2360
stratified,101,target,0.2,786,36226,53,2360
stratified,101,target,0.25,786,36226,53,2360
stratified,101,target,0.3,786,36226,53,2360
stratified,101,target,0.35,786,36226,53,2360
stratified,101,target,0.4,786,36226,53,2360
stratified,101,target,0.45,786,36226,53,2360
stratified,101,target,0.5,786,36226,53,2360
stratified,101,target,0.55,786,36226,53,2360
stratified,101,target,0.6,786,36226,53,2360
stratified,101,target,0.65,786,36226,53,2360
stratified,101,target,0.7,786,36226,53,2360
stratified,101,target,0.75,786,36226,53,2360
stratified,101,target,0.8,786,36226,53,2360
stratified,101,target,0.85,786,36226,53,2360
stratified,101,target,0.9,786,36226,53,2360
stratified,101,target,0.95,786,36226,53,2360
stratified,101,target,0.975,786,36226,53,2360
stratified,101,target,0.99,786,36226,53,2360
stratified,101,target,0.995,786,36226,53,2360
stratified,101,target,0.999,786,36226,53,2360
logreg,101,source_heldout,0.05,138824,3533,3502,3221
logreg,101,source_heldout,0.1,136671,2920,5655,3834
logreg,101,source_heldout,0.15,135151,2610,7175,4144
logreg,101,source_heldout,0.2,134016,2363,8310,4391
logreg,101,source_heldout,0.25,132504,2250,9822,4504
logreg,101,source_heldout,0.3,129373,2120,12953,4634
logreg,101,source_heldout,0.35,128731,2015,13595,4739
logreg,101,source_heldout,0.4,128128,1937,14198,4817
logreg,101,source_heldout,0.45,126794,1883,15532,4871
logreg,101,source_heldout,0.5,125952,1814,16374,4940
logreg,101,source_heldout,0.55,125302,1766,17024,4988
logreg,101,source_heldout,0.6,124021,1729,18305,5025
logreg,101,source_heldout,0.65,123081,1689,19245,5065
logreg,101,source_heldout,0.7,120998,1664,21328,5090
logreg,101,source_heldout,0.75,120026,1629,22300,5125
logreg,101,source_heldout,0.8,118316,1558,24010,5196
logreg,101,source_heldout,0.85,115062,1465,27264,5289
logreg,101,source_heldout,0.9,99623,1400,42703,5354
logreg,101,source_heldout,0.95,96136,1084,46190,5670
logreg,101,source_heldout,0.975,91544,782,50782,5972
logreg,101,source_heldout,0.99,34419,765,107907,5989
logreg,101,source_heldout,0.995,20213,752,122113,6002
logreg,101,source_heldout,0.999,7098,12,135228,6742
logreg,101,target,0.05,767,31889,72,6697
logreg,101,target,0.1,681,31205,158,7381
logreg,101,target,0.15,681,31018,158,7568
logreg,101,target,0.2,681,30941,158,7645
logreg,101,target,0.25,681,30931,158,7655
logreg,101,target,0.3,681,30762,158,7824
logreg,101,target,0.35,585,30621,254,7965
logreg,101,target,0.4,582,6624,257,31962
logreg,101,target,0.45,580,6600,259,31986
logreg,101,target,0.5,580,6576,259,32010
logreg,101,target,0.55,580,6477,259,32109
logreg,101,target,0.6,580,6443,259,32143
logreg,101,target,0.65,580,6426,259,32160
logreg,101,target,0.7,580,5963,259,32623
logreg,101,target,0.75,580,5939,259,32647
logreg,101,target,0.8,580,5894,259,32692
logreg,101,target,0.85,580,1445,259,37141
logreg,101,target,0.9,580,1309,259,37277
logreg,101,target,0.95,580,877,259,37709
logreg,101,target,0.975,0,180,839,38406
logreg,101,target,0.99,0,15,839,38571
logreg,101,target,0.995,0,15,839,38571
logreg,101,target,0.999,0,15,839,38571
tree,101,source_heldout,0.05,124650,1703,17676,5051
tree,101,source_heldout,0.1,121692,1235,20634,5519
tree,101,source_heldout,0.15,121684,1234,20642,5520
tree,101,source_heldout,0.2,121599,1210,20727,5544
tree,101,source_heldout,0.25,121455,1209,20871,5545
tree,101,source_heldout,0.3,121455,1209,20871,5545
tree,101,source_heldout,0.35,121408,1209,20918,5545
tree,101,source_heldout,0.4,121401,1209,20925,5545
tree,101,source_heldout,0.45,121401,1209,20925,5545
tree,101,source_heldout,0.5,121374,1201,20952,5553
tree,101,source_heldout,0.55,121340,1201,20986,5553
tree,101,source_heldout,0.6,121340,1201,20986,5553
tree,101,source_heldout,0.65,121340,1201,20986,5553
