model,split_seed,background,background__n,benign,benign__n,icmp_flood,icmp_flood__n,pfcp_deletion,pfcp_deletion__n,syn_flood,syn_flood__n
majority,101,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,101,0.6085571040108769,23536,0.3972093023255814,15050,0.5384615384615384,156,0.5728155339805825,103,0.5827586206896552,580
logreg,101,0.792912984364378,23536,0.23149501661129568,15050,0.0,156,0.019417475728155338,103,1.0,580
tree,101,0.7875169952413325,23536,0.22710963455149502,15050,1.0,156,0.9805825242718447,103,0.7586206896551724,580
rf,101,0.7843728755948335,23536,0.2679734219269103,15050,0.0,156,0.019417475728155338,103,1.0,580
xgboost,101,0.26461590754588715,23536,0.8500332225913622,15050,1.0,156,0.02912621359223301,103,1.0,580
hgb,101,0.21333276682528893,23536,0.9335548172757475,15050,1.0,156,0.0,103,0.7586206896551724,580
mlp,101,0.21775152957171992,23536,0.9319601328903655,15050,1.0,156,0.0,103,1.0,580
majority,102,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,102,0.6085146159075459,23536,0.3972093023255814,15050,0.5384615384615384,156,0.5728155339805825,103,0.5827586206896552,580
logreg,102,0.7935078178110129,23536,0.23149501661129568,15050,0.0,156,0.019417475728155338,103,1.0,580
tree,102,0.7839479945615228,23536,0.2601328903654485,15050,1.0,156,0.9805825242718447,103,0.7586206896551724,580
rf,102,0.7843728755948335,23536,0.246843853820598,15050,0.0,156,0.019417475728155338,103,1.0,580
xgboost,102,0.787262066621346,23536,0.24093023255813953,15050,1.0,156,0.9805825242718447,103,1.0,580
hgb,102,0.789131543167913,23536,0.2382059800664452,15050,1.0,156,0.019417475728155338,103,1.0,580
mlp,102,0.21137831407205981,23536,0.9328239202657808,15050,1.0,156,0.0,103,1.0,580
majority,103,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,103,0.6096193065941536,23536,0.3959468438538206,15050,0.5384615384615384,156,0.5728155339805825,103,0.5862068965517241,580
logreg,103,0.22030081577158395,23536,0.9232558139534883,15050,0.0,156,0.019417475728155338,103,1.0,580
tree,103,0.7827158395649219,23536,0.26312292358803985,15050,0.0,156,0.019417475728155338,103,0.7586206896551724,580
rf,103,0.7867097212780422,23536,0.2651162790697674,15050,1.0,156,0.019417475728155338,103,1.0,580
xgboost,103,0.26227906186267846,23536,0.8742192691029901,15050,1.0,156,0.0,103,1.0,580
hgb,103,0.7875169952413325,23536,0.24498338870431893,15050,1.0,156,0.04854368932038835,103,0.7586206896551724,580
mlp,103,0.2775322909585316,23536,0.8737541528239202,15050,0.9935897435897436,156,0.0,103,1.0,580
majority,104,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,104,0.6088970088375255,23536,0.3966112956810631,15050,0.5384615384615384,156,0.5728155339805825,103,0.5827586206896552,580
logreg,104,0.792912984364378,23536,0.23156146179401993,15050,0.0,156,0.019417475728155338,103,1.0,580
tree,104,0.7862848402447314,23536,0.2559468438538206,15050,0.0,156,0.019417475728155338,103,0.7586206896551724,580
rf,104,0.7843728755948335,23536,0.246843853820598,15050,0.0,156,0.019417475728155338,103,1.0,580
xgboost,104,0.7856050305914344,23536,0.2435215946843854,15050,1.0,156,0.9805825242718447,103,1.0,580
hgb,104,0.7875169952413325,23536,0.260265780730897,15050,1.0,156,0.02912621359223301,103,0.7586206896551724,580
mlp,104,0.2103585995921142,23536,0.9288372093023256,15050,1.0,156,0.0,103,1.0,580
majority,105,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,105,0.6085146159075459,23536,0.39727574750830563,15050,0.5384615384615384,156,0.5728155339805825,103,0.5827586206896552,580
logreg,105,0.7934228416043508,23536,0.23156146179401993,15050,0.0,156,0.019417475728155338,103,1.0,580
tree,105,0.7827158395649219,23536,0.26285714285714284,15050,0.0,156,0.019417475728155338,103,0.7586206896551724,580
rf,105,0.2114208021753909,23536,0.9559468438538206,15050,1.0,156,0.019417475728155338,103,1.0,580
xgboost,105,0.7856050305914344,23536,0.2426578073089701,15050,1.0,156,0.9805825242718447,103,1.0,580
hgb,105,0.7891740312712441,23536,0.2562126245847176,15050,1.0,156,0.3592233009708738,103,1.0,580
mlp,105,0.2103585995921142,23536,0.9340199335548173,15050,1.0,156,0.0,103,1.0,580
majority,106,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,106,0.606645139360979,23536,0.39960132890365446,15050,0.5384615384615384,156,0.5728155339805825,103,0.5827586206896552,580
logreg,106,0.7924031271244052,23536,0.23162790697674418,15050,0.0,156,0.019417475728155338,103,1.0,580
tree,106,0.7615992522093814,23536,0.26571428571428574,15050,0.0,156,0.019417475728155338,103,0.0,580
rf,106,0.7845853161114887,23536,0.2622591362126246,15050,1.0,156,0.019417475728155338,103,1.0,580
xgboost,106,0.26215159755268524,23536,0.8524252491694352,15050,0.6858974358974359,156,0.970873786407767,103,1.0,580
hgb,106,0.7879418762746431,23536,0.2644518272425249,15050,0.0,156,0.019417475728155338,103,1.0,580
mlp,106,0.21014615907545886,23536,0.9290365448504984,15050,0.0,156,0.0,103,1.0,580
majority,107,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,107,0.6088120326308634,23536,0.39700996677740863,15050,0.5384615384615384,156,0.5728155339805825,103,0.5827586206896552,580
logreg,107,0.21911114887831407,23536,0.9241196013289037,15050,0.0,156,0.019417475728155338,103,1.0,580
tree,107,0.7875169952413325,23536,0.2563455149501661,15050,1.0,156,0.9805825242718447,103,0.7586206896551724,580
rf,107,0.7879418762746431,23536,0.2652491694352159,15050,0.0,156,0.019417475728155338,103,1.0,580
xgboost,107,0.2632138001359619,23536,0.8516943521594684,15050,1.0,156,0.9805825242718447,103,1.0,580
hgb,107,0.7856050305914344,23536,0.29601328903654484,15050,1.0,156,0.9805825242718447,103,1.0,580
mlp,107,0.2103585995921142,23536,0.9340863787375415,15050,1.0,156,0.0,103,1.0,580
majority,108,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,108,0.6071974847042828,23536,0.39880398671096345,15050,0.5384615384615384,156,0.5728155339805825,103,0.5827586206896552,580
logreg,108,0.7934228416043508,23536,0.23149501661129568,15050,0.0,156,0.019417475728155338,103,1.0,580
tree,108,0.7839479945615228,23536,0.2592691029900332,15050,1.0,156,0.9805825242718447,103,0.7586206896551724,580
rf,108,0.7856050305914344,23536,0.246843853820598,15050,1.0,156,0.019417475728155338,103,1.0,580
xgboost,108,0.7856050305914344,23536,0.2651162790697674,15050,1.0,156,0.9805825242718447,103,1.0,580
hgb,108,0.7891740312712441,23536,0.23993355481727574,15050,1.0,156,0.9805825242718447,103,1.0,580
mlp,108,0.2103585995921142,23536,0.93421926910299,15050,1.0,156,0.0,103,1.0,580
majority,109,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,109,0.6098742352141401,23536,0.39574750830564787,15050,0.5384615384615384,156,0.5728155339805825,103,0.5879310344827586,580
logreg,109,0.7933803535010198,23536,0.23156146179401993,15050,0.0,156,0.019417475728155338,103,1.0,580
tree,109,0.7864123045547247,23536,0.23475083056478405,15050,0.0,156,0.019417475728155338,103,1.0,580
rf,109,0.7862848402447314,23536,0.2675083056478405,15050,0.0,156,0.019417475728155338,103,1.0,580
xgboost,109,0.7843728755948335,23536,0.24285714285714285,15050,0.0,156,0.019417475728155338,103,1.0,580
hgb,109,0.787262066621346,23536,0.24106312292358803,15050,1.0,156,0.02912621359223301,103,1.0,580
mlp,109,0.2103585995921142,23536,0.9348172757475083,15050,1.0,156,0.0,103,1.0,580
majority,110,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,110,0.6091094493541809,23536,0.3964784053156146,15050,0.5384615384615384,156,0.5728155339805825,103,0.5827586206896552,580
logreg,110,0.7924881033310673,23536,0.23169435215946843,15050,0.0,156,0.019417475728155338,103,1.0,580
tree,110,0.7827158395649219,23536,0.24172757475083056,15050,0.0,156,0.019417475728155338,103,0.7586206896551724,580
rf,110,0.7845853161114887,23536,0.246843853820598,15050,1.0,156,0.019417475728155338,103,1.0,580
xgboost,110,0.7851376614547927,23536,0.24259136212624585,15050,0.9935897435897436,156,0.02912621359223301,103,1.0,580
hgb,110,0.7856050305914344,23536,0.24465116279069768,15050,1.0,156,0.02912621359223301,103,1.0,580
mlp,110,0.21137831407205981,23536,0.9309634551495016,15050,1.0,156,0.0,103,1.0,580
