model,split_seed,domain,n_train,n_eval,train_prevalence,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
majority,101,source_heldout,240000,60000,0.6069666666666667,0.5,36552,23448,0,0,0.6092,0.5,0.6092,1.0,0.7571464081531195,0.37857320407655976,0.0,1.0,0.0,0.0,0.5,0.6092,0.3908,0.3908
majority,101,target,240000,39425,0.6069666666666667,0.5,839,38586,0,0,0.021280913126188968,0.5,0.021280913126188968,1.0,0.04167494536061991,0.020837472680309953,0.0,1.0,0.0,0.0,0.5,0.021280913126188968,0.978719086873811,0.978719086873811
stratified,101,source_heldout,240000,60000,0.6069666666666667,0.5,22206,14146,9302,14346,0.5251333333333333,0.5021128323961511,0.6108604753521126,0.6075180564674983,0.6091846812246242,0.502103806554218,0.004219316995850375,0.6032923916751962,0.39248194353250165,0.39670760832480384,0.502112832396151,0.6102087687587276,0.391812597512291,0.47486666666666666
stratified,101,target,240000,39425,0.6069666666666667,0.5,481,23395,15191,358,0.3975142675967026,0.48349678105536065,0.02014575305746356,0.5733015494636472,0.03892373052801942,0.3000751468747976,-0.009746810008260151,0.6063079873529259,0.4266984505363528,0.39369201264707404,0.48349678105536065,0.020630124099899432,0.9780328519504637,0.6024857324032974
logreg,101,source_heldout,240000,60000,0.6069666666666667,0.5,28113,8364,15084,8439,0.71995,0.7062096220289239,0.7707048276996463,0.7691234405778069,0.7699133221049173,0.7060909779714086,0.4121843385758069,0.35670419651995905,0.23087655942219304,0.6432958034800409,0.8131963860565457,0.8606845407043089,0.7538260920707041,0.15676377244947434
logreg,101,target,240000,39425,0.6069666666666667,0.5,582,30228,8358,257,0.2267596702599873,0.45514500772758,0.018889970788704965,0.6936829558998808,0.03677841322000695,0.1954617262600109,-0.031330198913756484,0.7833929404447209,0.3063170441001192,0.21660705955527912,0.7273904113511562,0.3243062788704241,0.9872429909752525,0.33027443894188985
tree,101,source_heldout,240000,60000,0.6069666666666667,0.5,29551,7183,16265,7001,0.7636,0.7510636127989054,0.8044590842271465,0.8084646530969578,0.8064568949048931,0.7514110051439309,0.5028370527454383,0.30633742749914705,0.19153534690304225,0.693662572500853,0.8643134275494393,0.8868673393270752,0.7817251408719907,0.1390191355625265
tree,101,target,240000,39425,0.6069666666666667,0.5,697,30167,8419,142,0.23122384273937857,0.5244694188675767,0.022582944530844997,0.8307508939213349,0.043970602151215975,0.20055445711947079,0.017130149675685036,0.7818120561861815,0.16924910607866508,0.21818794381381848,0.5763886585060803,0.02583722627631024,0.9810186086902491,0.7631405653187283
rf,101,source_heldout,240000,60000,0.6069666666666667,0.5,31862,9961,13487,4690,0.7558166666666667,0.7234386484458815,0.7618296152834565,0.871689647625301,0.8130653907496013,0.7305447073868127,0.4744911013495894,0.42481235073353807,0.12831035237469907,0.5751876492664619,0.8436943208514592,0.8876226693230678,0.7841285097031732,0.15266489283050796
rf,101,target,240000,39425,0.6069666666666667,0.5,582,29478,9108,257,0.2457831325301205,0.4648635584972892,0.019361277445109782,0.6936829558998808,0.037671122042784555,0.2087794620870635,-0.023830615122601526,0.7639558389053024,0.3063170441001192,0.23604416109469756,0.6744658943967216,0.065971905614341,0.9914567859414676,0.3098950697315649
xgboost,101,source_heldout,240000,60000,0.6069666666666667,0.5,29527,7152,16296,7025,0.7637166666666667,0.7513963505785171,0.8050110417405054,0.8078080542788356,0.8064071226666303,0.7516394911158635,0.5032863039150336,0.30501535312180145,0.19219194572116438,0.6949846468781986,0.8643776491611732,0.8936606033696946,0.8070404811332119,0.13890205323696136
xgboost,101,target,240000,39425,0.6069666666666667,0.5,739,8485,30101,100,0.7822447685478757,0.8304560399638545,0.08011708586296618,0.8808104886769964,0.1468746894564245,0.5110345651332306,0.22530417599881455,0.21989840874928732,0.11918951132300358,0.7801015912507127,0.8422830027157269,0.08203662516943473,0.9962868898584969,0.18471568822860718
hgb,101,source_heldout,240000,60000,0.6069666666666667,0.5,29519,7151,16297,7033,0.7636,0.7513082412224432,0.8049904554131443,0.8075891880061282,0.8062877277321023,0.75153413279589,0.503074584638781,0.3049727055612419,0.19241081199387175,0.6950272944387581,0.8641480737443809,0.8934561332651894,0.8062459097728467,0.13880758946909796
hgb,101,target,240000,39425,0.6069666666666667,0.5,596,6021,32565,243,0.8411160431198478,0.777164218163325,0.09007102916729635,0.7103694874851013,0.15987124463519314,0.5360663896089656,0.21406347577517781,0.15604105115845124,0.2896305125148987,0.8439589488415488,0.7466440766927331,0.06861598348518241,0.9934887301454418,0.16098891669287713
mlp,101,source_heldout,240000,60000,0.6069666666666667,0.5,29512,7174,16274,7040,0.7631,0.750722040281699,0.8044485634847081,0.8073976800175093,0.8059204238236981,0.7509778330572234,0.5019638102535611,0.3059535994541112,0.1926023199824907,0.6940464005458887,0.864150939316955,0.8933615621244425,0.8074425622461564,0.1382599025964737
mlp,101,target,240000,39425,0.6069666666666667,0.5,736,6149,32437,103,0.8414204185161699,0.8589382434247305,0.10689905591866376,0.8772348033373063,0.1905748316934231,0.5513372429141693,0.27288825398094363,0.15935831648784532,0.12276519666269368,0.8406416835121546,0.7899980026968842,0.2454261942074447,0.990585176432538,0.14954368770122528
majority,102,source_heldout,240000,60000,0.606925,0.5,36338,23662,0,0,0.6056333333333334,0.5,0.6056333333333334,1.0,0.754385600697544,0.377192800348772,0.0,1.0,0.0,0.0,0.5,0.6056333333333334,0.39436666666666664,0.39436666666666664
majority,102,target,240000,39425,0.606925,0.5,839,38586,0,0,0.021280913126188968,0.5,0.021280913126188968,1.0,0.04167494536061991,0.020837472680309953,0.0,1.0,0.0,0.0,0.5,0.021280913126188968,0.978719086873811,0.978719086873811
stratified,102,source_heldout,240000,60000,0.606925,0.5,22094,14257,9405,14244,0.5249833333333334,0.5027431953634319,0.607796209182691,0.6080136496229842,0.6079049099588658,0.5027434338215626,0.005486917080359657,0.6025272588961204,0.3919863503770158,0.39747274110387965,0.5027431953634319,0.6069483913721827,0.3956880916775334,0.47501666666666664
stratified,102,target,240000,39425,0.606925,0.5,481,23394,15192,358,0.39753963221306277,0.4835097391230536,0.020146596858638743,0.5733015494636472,0.038925305494861215,0.30008922286712914,-0.009739047757994003,0.6062820712175401,0.4266984505363528,0.39371792878246,0.48350973912305356,0.0206306078524206,0.9780333897321244,0.6024603677869372
logreg,102,source_heldout,240000,60000,0.606925,0.5,28104,8351,15311,8234,0.7235833333333334,0.7102382520941739,0.7709230558222466,0.7734052507017447,0.7721621584493015,0.7104185715457048,0.4208429628506708,0.352928746513397,0.22659474929825527,0.647071253486603,0.8167760153673955,0.8613976543210105,0.7598059133677257,0.15610523594512257
logreg,102,target,240000,39425,0.606925,0.5,582,30242,8344,257,0.22640456563094483,0.45496359477987874,0.018881391123799638,0.6936829558998808,0.03676215140700502,0.1952094394477541,-0.031475352481361296,0.7837557663401233,0.3063170441001192,0.21624423365987663,0.7256912519050214,0.32768231494817013,0.9868206713155305,0.34720131097841633
tree,102,source_heldout,240000,60000,0.606925,0.5,29535,7238,16424,6803,0.7659833333333333,0.7534471056384329,0.8031708046664673,0.81278551378722,0.8079495561543406,0.7542488295604606,0.5085837457413095,0.3058913025103542,0.18721448621278,0.6941086974896459,0.8661376310870543,0.8912451843845414,0.804502390496741,0.13869860423425576
