model,split_seed,domain,tau,tp,fp,fn,tn
majority,101,source_heldout,0.05,36552,23448,0,0
majority,101,source_heldout,0.1,36552,23448,0,0
majority,101,source_heldout,0.15,36552,23448,0,0
majority,101,source_heldout,0.2,36552,23448,0,0
majority,101,source_heldout,0.25,36552,23448,0,0
majority,101,source_heldout,0.3,36552,23448,0,0
majority,101,source_heldout,0.35,36552,23448,0,0
majority,101,source_heldout,0.4,36552,23448,0,0
majority,101,source_heldout,0.45,36552,23448,0,0
majority,101,source_heldout,0.5,36552,23448,0,0
majority,101,source_heldout,0.55,36552,23448,0,0
majority,101,source_heldout,0.6,36552,23448,0,0
majority,101,source_heldout,0.65,36552,23448,0,0
majority,101,source_heldout,0.7,36552,23448,0,0
majority,101,source_heldout,0.75,36552,23448,0,0
majority,101,source_heldout,0.8,36552,23448,0,0
majority,101,source_heldout,0.85,36552,23448,0,0
majority,101,source_heldout,0.9,36552,23448,0,0
majority,101,source_heldout,0.95,36552,23448,0,0
majority,101,source_heldout,0.975,36552,23448,0,0
majority,101,source_heldout,0.99,36552,23448,0,0
majority,101,source_heldout,0.995,36552,23448,0,0
majority,101,source_heldout,0.999,36552,23448,0,0
majority,101,target,0.05,839,38586,0,0
majority,101,target,0.1,839,38586,0,0
majority,101,target,0.15,839,38586,0,0
majority,101,target,0.2,839,38586,0,0
majority,101,target,0.25,839,38586,0,0
majority,101,target,0.3,839,38586,0,0
majority,101,target,0.35,839,38586,0,0
majority,101,target,0.4,839,38586,0,0
majority,101,target,0.45,839,38586,0,0
majority,101,target,0.5,839,38586,0,0
majority,101,target,0.55,839,38586,0,0
majority,101,target,0.6,839,38586,0,0
majority,101,target,0.65,839,38586,0,0
majority,101,target,0.7,839,38586,0,0
majority,101,target,0.75,839,38586,0,0
majority,101,target,0.8,839,38586,0,0
majority,101,target,0.85,839,38586,0,0
majority,101,target,0.9,839,38586,0,0
majority,101,target,0.95,839,38586,0,0
majority,101,target,0.975,839,38586,0,0
majority,101,target,0.99,839,38586,0,0
majority,101,target,0.995,839,38586,0,0
majority,101,target,0.999,839,38586,0,0
stratified,101,source_heldout,0.05,22206,14146,14346,9302
stratified,101,source_heldout,0.1,22206,14146,14346,9302
stratified,101,source_heldout,0.15,22206,14146,14346,9302
stratified,101,source_heldout,0.2,22206,14146,14346,9302
stratified,101,source_heldout,0.25,22206,14146,14346,9302
stratified,101,source_heldout,0.3,22206,14146,14346,9302
stratified,101,source_heldout,0.35,22206,14146,14346,9302
stratified,101,source_heldout,0.4,22206,14146,14346,9302
stratified,101,source_heldout,0.45,22206,14146,14346,9302
stratified,101,source_heldout,0.5,22206,14146,14346,9302
stratified,101,source_heldout,0.55,22206,14146,14346,9302
stratified,101,source_heldout,0.6,22206,14146,14346,9302
stratified,101,source_heldout,0.65,22206,14146,14346,9302
stratified,101,source_heldout,0.7,22206,14146,14346,9302
stratified,101,source_heldout,0.75,22206,14146,14346,9302
stratified,101,source_heldout,0.8,22206,14146,14346,9302
stratified,101,source_heldout,0.85,22206,14146,14346,9302
stratified,101,source_heldout,0.9,22206,14146,14346,9302
stratified,101,source_heldout,0.95,22206,14146,14346,9302
stratified,101,source_heldout,0.975,22206,14146,14346,9302
stratified,101,source_heldout,0.99,22206,14146,14346,9302
stratified,101,source_heldout,0.995,22206,14146,14346,9302
stratified,101,source_heldout,0.999,22206,14146,14346,9302
stratified,101,target,0.05,481,23395,358,15191
stratified,101,target,0.1,481,23395,358,15191
stratified,101,target,0.15,481,23395,358,15191
stratified,101,target,0.2,481,23395,358,15191
stratified,101,target,0.25,481,23395,358,15191
stratified,101,target,0.3,481,23395,358,15191
stratified,101,target,0.35,481,23395,358,15191
stratified,101,target,0.4,481,23395,358,15191
stratified,101,target,0.45,481,23395,358,15191
stratified,101,target,0.5,481,23395,358,15191
stratified,101,target,0.55,481,23395,358,15191
stratified,101,target,0.6,481,23395,358,15191
stratified,101,target,0.65,481,23395,358,15191
stratified,101,target,0.7,481,23395,358,15191
stratified,101,target,0.75,481,23395,358,15191
stratified,101,target,0.8,481,23395,358,15191
stratified,101,target,0.85,481,23395,358,15191
stratified,101,target,0.9,481,23395,358,15191
stratified,101,target,0.95,481,23395,358,15191
stratified,101,target,0.975,481,23395,358,15191
stratified,101,target,0.99,481,23395,358,15191
stratified,101,target,0.995,481,23395,358,15191
stratified,101,target,0.999,481,23395,358,15191
logreg,101,source_heldout,0.05,36538,14810,14,8638
logreg,101,source_heldout,0.1,36535,14545,17,8903
logreg,101,source_heldout,0.15,36528,14505,24,8943
logreg,101,source_heldout,0.2,36525,14481,27,8967
logreg,101,source_heldout,0.25,36513,14471,39,8977
logreg,101,source_heldout,0.3,36499,14463,53,8985
logreg,101,source_heldout,0.35,36485,14434,67,9014
logreg,101,source_heldout,0.4,35400,14385,1152,9063
logreg,101,source_heldout,0.45,34239,14375,2313,9073
logreg,101,source_heldout,0.5,28113,8364,8439,15084
logreg,101,source_heldout,0.55,16231,742,20321,22706
logreg,101,source_heldout,0.6,15966,484,20586,22964
logreg,101,source_heldout,0.65,15936,475,20616,22973
logreg,101,source_heldout,0.7,15890,468,20662,22980
logreg,101,source_heldout,0.75,15807,468,20745,22980
logreg,101,source_heldout,0.8,14648,270,21904,23178
logreg,101,source_heldout,0.85,11406,149,25146,23299
logreg,101,source_heldout,0.9,10479,119,26073,23329
logreg,101,source_heldout,0.95,10063,102,26489,23346
logreg,101,source_heldout,0.975,8441,91,28111,23357
logreg,101,source_heldout,0.99,7309,74,29243,23374
logreg,101,source_heldout,0.995,4467,57,32085,23391
