model,split_seed,domain,group,tau,tp,fp,fn,tn
majority,101,target,003a-pfcp.csv,0.05,103,14141,0,0
majority,101,target,003a-pfcp.csv,0.1,103,14141,0,0
majority,101,target,003a-pfcp.csv,0.15,103,14141,0,0
majority,101,target,003a-pfcp.csv,0.2,103,14141,0,0
majority,101,target,003a-pfcp.csv,0.25,103,14141,0,0
majority,101,target,003a-pfcp.csv,0.3,103,14141,0,0
majority,101,target,003a-pfcp.csv,0.35,103,14141,0,0
majority,101,target,003a-pfcp.csv,0.4,103,14141,0,0
majority,101,target,003a-pfcp.csv,0.45,103,14141,0,0
majority,101,target,003a-pfcp.csv,0.5,103,14141,0,0
majority,101,target,003a-pfcp.csv,0.55,103,14141,0,0
majority,101,target,003a-pfcp.csv,0.6,103,14141,0,0
majority,101,target,003a-pfcp.csv,0.65,103,14141,0,0
majority,101,target,003a-pfcp.csv,0.7,103,14141,0,0
majority,101,target,003a-pfcp.csv,0.75,103,14141,0,0
majority,101,target,003a-pfcp.csv,0.8,103,14141,0,0
majority,101,target,003a-pfcp.csv,0.85,103,14141,0,0
majority,101,target,003a-pfcp.csv,0.9,103,14141,0,0
majority,101,target,003a-pfcp.csv,0.95,103,14141,0,0
majority,101,target,003a-pfcp.csv,0.975,103,14141,0,0
majority,101,target,003a-pfcp.csv,0.99,103,14141,0,0
majority,101,target,003a-pfcp.csv,0.995,103,14141,0,0
majority,101,target,003a-pfcp.csv,0.999,103,14141,0,0
majority,101,target,004-syn-flood.csv,0.05,580,16081,0,0
majority,101,target,004-syn-flood.csv,0.1,580,16081,0,0
majority,101,target,004-syn-flood.csv,0.15,580,16081,0,0
majority,101,target,004-syn-flood.csv,0.2,580,16081,0,0
majority,101,target,004-syn-flood.csv,0.25,580,16081,0,0
majority,101,target,004-syn-flood.csv,0.3,580,16081,0,0
majority,101,target,004-syn-flood.csv,0.35,580,16081,0,0
majority,101,target,004-syn-flood.csv,0.4,580,16081,0,0
majority,101,target,004-syn-flood.csv,0.45,580,16081,0,0
majority,101,target,004-syn-flood.csv,0.5,580,16081,0,0
majority,101,target,004-syn-flood.csv,0.55,580,16081,0,0
majority,101,target,004-syn-flood.csv,0.6,580,16081,0,0
majority,101,target,004-syn-flood.csv,0.65,580,16081,0,0
majority,101,target,004-syn-flood.csv,0.7,580,16081,0,0
majority,101,target,004-syn-flood.csv,0.75,580,16081,0,0
majority,101,target,004-syn-flood.csv,0.8,580,16081,0,0
majority,101,target,004-syn-flood.csv,0.85,580,16081,0,0
majority,101,target,004-syn-flood.csv,0.9,580,16081,0,0
majority,101,target,004-syn-flood.csv,0.95,580,16081,0,0
majority,101,target,004-syn-flood.csv,0.975,580,16081,0,0
majority,101,target,004-syn-flood.csv,0.99,580,16081,0,0
majority,101,target,004-syn-flood.csv,0.995,580,16081,0,0
majority,101,target,004-syn-flood.csv,0.999,580,16081,0,0
majority,101,target,005-icmp-flood.csv,0.05,156,8364,0,0
majority,101,target,005-icmp-flood.csv,0.1,156,8364,0,0
majority,101,target,005-icmp-flood.csv,0.15,156,8364,0,0
majority,101,target,005-icmp-flood.csv,0.2,156,8364,0,0
majority,101,target,005-icmp-flood.csv,0.25,156,8364,0,0
majority,101,target,005-icmp-flood.csv,0.3,156,8364,0,0
majority,101,target,005-icmp-flood.csv,0.35,156,8364,0,0
majority,101,target,005-icmp-flood.csv,0.4,156,8364,0,0
majority,101,target,005-icmp-flood.csv,0.45,156,8364,0,0
majority,101,target,005-icmp-flood.csv,0.5,156,8364,0,0
majority,101,target,005-icmp-flood.csv,0.55,156,8364,0,0
majority,101,target,005-icmp-flood.csv,0.6,156,8364,0,0
majority,101,target,005-icmp-flood.csv,0.65,156,8364,0,0
majority,101,target,005-icmp-flood.csv,0.7,156,8364,0,0
majority,101,target,005-icmp-flood.csv,0.75,156,8364,0,0
majority,101,target,005-icmp-flood.csv,0.8,156,8364,0,0
majority,101,target,005-icmp-flood.csv,0.85,156,8364,0,0
majority,101,target,005-icmp-flood.csv,0.9,156,8364,0,0
majority,101,target,005-icmp-flood.csv,0.95,156,8364,0,0
majority,101,target,005-icmp-flood.csv,0.975,156,8364,0,0
majority,101,target,005-icmp-flood.csv,0.99,156,8364,0,0
majority,101,target,005-icmp-flood.csv,0.995,156,8364,0,0
majority,101,target,005-icmp-flood.csv,0.999,156,8364,0,0
stratified,101,target,003a-pfcp.csv,0.05,59,8528,44,5613
stratified,101,target,003a-pfcp.csv,0.1,59,8528,44,5613
stratified,101,target,003a-pfcp.csv,0.15,59,8528,44,5613
stratified,101,target,003a-pfcp.csv,0.2,59,8528,44,5613
stratified,101,target,003a-pfcp.csv,0.25,59,8528,44,5613
stratified,101,target,003a-pfcp.csv,0.3,59,8528,44,5613
stratified,101,target,003a-pfcp.csv,0.35,59,8528,44,5613
stratified,101,target,003a-pfcp.csv,0.4,59,8528,44,5613
stratified,101,target,003a-pfcp.csv,0.45,59,8528,44,5613
stratified,101,target,003a-pfcp.csv,0.5,59,8528,44,5613
stratified,101,target,003a-pfcp.csv,0.55,59,8528,44,5613
stratified,101,target,003a-pfcp.csv,0.6,59,8528,44,5613
stratified,101,target,003a-pfcp.csv,0.65,59,8528,44,5613
stratified,101,target,003a-pfcp.csv,0.7,59,8528,44,5613
stratified,101,target,003a-pfcp.csv,0.75,59,8528,44,5613
stratified,101,target,003a-pfcp.csv,0.8,59,8528,44,5613
stratified,101,target,003a-pfcp.csv,0.85,59,8528,44,5613
stratified,101,target,003a-pfcp.csv,0.9,59,8528,44,5613
stratified,101,target,003a-pfcp.csv,0.95,59,8528,44,5613
stratified,101,target,003a-pfcp.csv,0.975,59,8528,44,5613
stratified,101,target,003a-pfcp.csv,0.99,59,8528,44,5613
stratified,101,target,003a-pfcp.csv,0.995,59,8528,44,5613
stratified,101,target,003a-pfcp.csv,0.999,59,8528,44,5613
stratified,101,target,004-syn-flood.csv,0.05,338,9771,242,6310
stratified,101,target,004-syn-flood.csv,0.1,338,9771,242,6310
stratified,101,target,004-syn-flood.csv,0.15,338,9771,242,6310
stratified,101,target,004-syn-flood.csv,0.2,338,9771,242,6310
stratified,101,target,004-syn-flood.csv,0.25,338,9771,242,6310
stratified,101,target,004-syn-flood.csv,0.3,338,9771,242,6310
stratified,101,target,004-syn-flood.csv,0.35,338,9771,242,6310
stratified,101,target,004-syn-flood.csv,0.4,338,9771,242,6310
stratified,101,target,004-syn-flood.csv,0.45,338,9771,242,6310
stratified,101,target,004-syn-flood.csv,0.5,338,9771,242,6310
stratified,101,target,004-syn-flood.csv,0.55,338,9771,242,6310
stratified,101,target,004-syn-flood.csv,0.6,338,9771,242,6310
stratified,101,target,004-syn-flood.csv,0.65,338,9771,242,6310
stratified,101,target,004-syn-flood.csv,0.7,338,9771,242,6310
stratified,101,target,004-syn-flood.csv,0.75,338,9771,242,6310
stratified,101,target,004-syn-flood.csv,0.8,338,9771,242,6310
stratified,101,target,004-syn-flood.csv,0.85,338,9771,242,6310
stratified,101,target,004-syn-flood.csv,0.9,338,9771,242,6310
stratified,101,target,004-syn-flood.csv,0.95,338,9771,242,6310
stratified,101,target,004-syn-flood.csv,0.975,338,9771,242,6310
stratified,101,target,004-syn-flood.csv,0.99,338,9771,242,6310
stratified,101,target,004-syn-flood.csv,0.995,338,9771,242,6310
stratified,101,target,004-syn-flood.csv,0.999,338,9771,242,6310
stratified,101,target,005-icmp-flood.csv,0.05,84,5096,72,3268
stratified,101,target,005-icmp-flood.csv,0.1,84,5096,72,3268
stratified,101,target,005-icmp-flood.csv,0.15,84,5096,72,3268
stratified,101,target,005-icmp-flood.csv,0.2,84,5096,72,3268
stratified,101,target,005-icmp-flood.csv,0.25,84,5096,72,3268
stratified,101,target,005-icmp-flood.csv,0.3,84,5096,72,3268
stratified,101,target,005-icmp-flood.csv,0.35,84,5096,72,3268
stratified,101,target,005-icmp-flood.csv,0.4,84,5096,72,3268
stratified,101,target,005-icmp-flood.csv,0.45,84,5096,72,3268
