feature_set,protocol,model,ba,auc,fpr,recall,n
native,leave_one_file,hgb,0.4996539557143804,0.6627160417633075,0.0006920885712390861,0.0,3
native,leave_one_file,logreg,0.6594009545588652,0.8088885469654444,0.014531424215602955,0.3333333333333333,3
native,leave_one_file,majority,0.5,0.5,0.0,0.0,3
native,leave_one_file,mlp,0.4987739412908642,0.809409106727105,0.002452117418271649,0.0,3
native,leave_one_file,rf,0.5,0.6049060351455569,0.0,0.0,3
native,leave_one_file,stratified,0.5037946392091812,0.5037946392091812,0.018338316658881047,0.025927595077243553,3
native,leave_one_file,tree,0.4934576352092559,0.4934576352092559,0.013084729581488189,0.0,3
native,leave_one_file,xgboost,0.666268133269568,0.9201080915525198,0.0007970667941973537,0.3333333333333333,3
native,random,hgb,0.9972648665547768,0.9987054154188743,0.0007083621285418107,0.9952380952380953,5
native,random,logreg,0.9957974078827568,0.9972478979497812,0.0020559778852798894,0.9936507936507937,5
native,random,majority,0.5,0.5,0.0,0.0,5
native,random,mlp,0.9967730169699763,0.99676694940819,0.0008984105044920525,0.9944444444444445,5
native,random,rf,0.9977048847643181,0.9988537450225425,0.0006219765031098825,0.996031746031746,5
native,random,stratified,0.49969367382981755,0.49969367382981755,0.018866620594333104,0.01825396825396825,5
native,random,tree,0.9913297627274822,0.9913231809655445,0.0006738078783690394,0.9833333333333334,5
native,random,xgboost,0.9976876076392317,0.9993502909687256,0.0006565307532826537,0.996031746031746,5
shared18,leave_one_file,hgb,0.8262987941834283,0.8239902149190833,0.014069078299810023,0.6666666666666666,3
shared18,leave_one_file,logreg,0.664956923449261,0.3737587451185375,0.0034194864348113807,0.3333333333333333,3
shared18,leave_one_file,majority,0.5,0.5,0.0,0.0,3
shared18,leave_one_file,mlp,0.6660481381751892,0.5181988701056138,0.001237056982954924,0.3333333333333333,3
shared18,leave_one_file,rf,0.6597317608660362,0.8205074050169445,0.013869811601260685,0.3333333333333333,3
shared18,leave_one_file,stratified,0.5037946392091812,0.5037946392091812,0.018338316658881047,0.025927595077243553,3
shared18,leave_one_file,tree,0.8262589408437183,0.8262589408437183,0.014148784979229757,0.6666666666666666,3
shared18,leave_one_file,xgboost,0.6596719808564715,0.6690924441578522,0.013989371620390288,0.3333333333333333,3
shared18,random,hgb,0.9901375039764811,0.9947785374228015,0.015756738078783687,0.996031746031746,5
shared18,random,logreg,0.9867873871502069,0.9891319341604413,0.020076019350380097,0.9936507936507937,5
shared18,random,majority,0.5,0.5,0.0,0.0,5
shared18,random,mlp,0.9892747446824849,0.9919436148682003,0.015894955079474776,0.9944444444444445,5
shared18,random,rf,0.9901547811015675,0.9949792126018802,0.01572218382861092,0.996031746031746,5
shared18,random,stratified,0.49969367382981755,0.49969367382981755,0.018866620594333104,0.01825396825396825,5
shared18,random,tree,0.9897234014545694,0.9928303016092409,0.01579129232895646,0.9952380952380953,5
shared18,random,xgboost,0.9897147628920262,0.9951745058193746,0.015808569454042846,0.9952380952380953,5
