layer,model,stage,p99,p99_hi,min_budget_ms_upper_ci
platform,FLOOR,no_op,0.0271049999999992,0.034,1
radio,-,window_aggregation,1.1777959999999845,1.2505,2
radio,tree,sk_dataframe,4.522904,4.6223,5
radio,tree,sk_array,0.9748219999999965,1.0319,2
radio,tree,onnx,0.39630099999999985,0.4517,1
radio,tree,e2e_aggregate_plus_onnx,1.6803039999999994,1.7525,2
radio,tree,e2e_aggregate_plus_sk_array,1.6976829999999867,1.7885,2
radio,logreg,sk_dataframe,6.044204999999984,6.3645,10
radio,logreg,sk_array,0.4932059999999991,0.509,1
radio,logreg,onnx,0.0464,0.0487,1
radio,logreg,e2e_aggregate_plus_onnx,1.4481089999999985,1.485,2
radio,logreg,e2e_aggregate_plus_sk_array,1.8746149999999977,1.9639,2
radio,xgboost,sk_array_all_threads,1.401044,3.2771,5
radio,xgboost,sk_dataframe,3.755028999999995,3.9635,5
radio,xgboost,sk_array,0.3677069999999989,0.3783,1
radio,xgboost,onnx,0.02550099999999984,0.0268,1
radio,xgboost,e2e_aggregate_plus_onnx,0.10960299999999952,0.1177,1
radio,xgboost,e2e_aggregate_plus_sk_array,0.4462029999999995,0.4577,1
radio,mlp,sk_dataframe,0.7201039999999993,0.7328,1
radio,mlp,sk_array,0.17760099999999984,0.1847,1
radio,mlp,onnx,0.0319,0.0332,1
radio,mlp,e2e_aggregate_plus_onnx,0.20860099999999984,0.219,1
radio,mlp,e2e_aggregate_plus_sk_array,0.39120699999999886,0.4043,1
radio,hgb,sk_dataframe,26.80128899999995,27.3065,50
radio,hgb,sk_array,1.5726049999999991,1.6127,2
radio,hgb,onnx,0.0362,0.0366,1
radio,hgb,e2e_aggregate_plus_onnx,0.15570599999999904,0.169,1
radio,hgb,e2e_aggregate_plus_sk_array,1.5663019999999996,1.5853,2
radio,rf,sk_array_all_threads,57.392722,65.4636,100
radio,rf,sk_dataframe,163.70885099999992,167.4617,200
radio,rf,sk_array,35.403207999999985,37.104,50
radio,rf,onnx,0.03370099999999984,0.0341,1
radio,rf,e2e_aggregate_plus_onnx,0.09980099999999983,0.1084,1
radio,rf,e2e_aggregate_plus_sk_array,58.228762999999894,60.3841,100
