layer,model,stage,n,mean,max,note,p50,p50_lo,p50_hi,p95,p95_lo,p95_hi,p99,p99_lo,p99_hi,p99_9,p99_9_lo,p99_9_hi
platform,FLOOR,no_op,20000,0.006986745000000001,2.0938,,0.0059,0.0059,0.0059,0.0076,0.0075,0.0076,0.0271049999999992,0.0241,0.034,0.3193736000002827,0.2187,0.5507
radio,-,window_aggregation,20000,0.28008126,9.5471,16 records x 16 KPM features -> 32,0.2337,0.2332,0.2343,0.6028049999999999,0.5833,0.6248,1.1777959999999845,1.124,1.2505,2.949907500000029,2.3931,4.1263
radio,tree,sk_dataframe,20000,1.7112658499999998,14.9483,"EXP-005 path, 1 thread",1.50385,1.4964,1.5109,3.02501,2.9657,3.083,4.522904,4.4012,4.6223,8.784218800000072,7.5951,9.5048
radio,tree,sk_array,20000,0.21095841499999995,6.6689,1 thread,0.1631,0.1625,0.1638,0.4836249999999996,0.4702,0.4972,0.9748219999999965,0.916,1.0319,2.1852287000001103,1.9142,2.6132
radio,tree,onnx,20000,0.06612954500000001,16.4185,"agreement 1.0000, max|diff| 6.0e-09",0.0496,0.0495,0.0497,0.1116,0.1073,0.1165,0.39630099999999985,0.3592,0.4517,2.0955105000000405,1.7521,2.5185
radio,tree,e2e_aggregate_plus_onnx,20000,0.434451135,12.9861,,0.3478,0.3466,0.3489,0.9432,0.927,0.9714,1.6803039999999994,1.603,1.7525,3.507422400000086,3.2165,5.0708
radio,tree,e2e_aggregate_plus_sk_array,20000,0.58134434,11.1727,,0.5028,0.5006,0.505,1.096305,1.0733,1.115,1.6976829999999867,1.6257,1.7885,3.076800700000003,2.7547,3.6454
radio,logreg,sk_dataframe,20000,2.056726925,29.7669,"EXP-005 path, 1 thread",1.94645,1.9342,1.9572,3.8918349999999995,3.8223,3.9593,6.044204999999984,5.7157,6.3645,10.563438100000146,9.982,12.4302
radio,logreg,sk_array,20000,0.14773296,9.4737,1 thread,0.1171,0.1169,0.1172,0.32590499999999994,0.3199,0.332,0.4932059999999991,0.4821,0.509,0.8176030000000115,0.7365,0.8716
radio,logreg,onnx,20000,0.012273820000000001,0.2173,"agreement 1.0000, max|diff| 3.0e-07",0.0104,0.0104,0.0104,0.0252,0.0243,0.0285,0.0464,0.0443,0.0487,0.09130170000000654,0.0871,0.107
radio,logreg,e2e_aggregate_plus_onnx,20000,0.33671488,7.1312,,0.321,0.3201,0.322,0.8312249999999997,0.8144,0.8559,1.4481089999999985,1.3893,1.485,2.9942170000000656,2.662,3.4447
radio,logreg,e2e_aggregate_plus_sk_array,20000,0.35889875000000004,15.0974,,0.1866,0.1862,0.187,1.1622199999999996,1.1324,1.1912,1.8746149999999977,1.8297,1.9639,3.4440403000001547,3.0486,4.1409
radio,xgboost,sk_array_all_threads,2000,0.43238780000000004,29.5202,"n_jobs=-1, as in EXP-005; fewer calls",0.29425,0.2892,0.2998,1.02071,0.9912,1.0458,1.401044,1.165,3.2771,13.458244400002393,7.1639,29.5202
radio,xgboost,sk_dataframe,20000,0.8507407699999999,12.1703,"EXP-005 path, 1 thread",0.7483,0.7478,0.7489,1.0092499999999993,0.9889,1.0306,3.755028999999995,3.6172,3.9635,6.310760400000232,5.8264,7.1449
radio,xgboost,sk_array,20000,0.18214681500000002,10.3122,1 thread,0.1688,0.1686,0.1692,0.2626049999999999,0.2602,0.2652,0.3677069999999989,0.3597,0.3783,0.572908600000033,0.5248,0.6646
radio,xgboost,onnx,20000,0.0125707,0.2801,"agreement 1.0000, max|diff| 8.2e-08",0.0117,0.0117,0.0117,0.0171,0.0167,0.0175,0.02550099999999984,0.0249,0.0268,0.07480050000000192,0.0688,0.0965
radio,xgboost,e2e_aggregate_plus_onnx,20000,0.06159165499999999,0.3659,,0.0588,0.0588,0.0588,0.0717,0.0713,0.0722,0.10960299999999952,0.1046,0.1177,0.2612028000000107,0.2359,0.2989
radio,xgboost,e2e_aggregate_plus_sk_array,20000,0.282474645,3.0236,,0.2732,0.2729,0.2735,0.3554,0.3502,0.3596,0.4462029999999995,0.4342,0.4577,0.640300800000003,0.5861,0.7284
radio,mlp,sk_dataframe,20000,0.45665518499999996,5.1787,"EXP-005 path, 1 thread",0.4422,0.4418,0.4424,0.5415049999999999,0.5342,0.5474,0.7201039999999993,0.7029,0.7328,1.0735001000000002,1.0243,1.1405
radio,mlp,sk_array,20000,0.11945254,0.628,1 thread,0.1163,0.1163,0.1164,0.1291,0.1287,0.1295,0.17760099999999984,0.1707,0.1847,0.3653009000000035,0.3456,0.4134
