model,period_ms,term,n,mean,max,p50,p50_lo,p50_hi,p95,p95_lo,p95_hi,p99,p99_lo,p99_hi,p99_9,p99_9_lo,p99_9_hi
hgb,10,t_ind,5001,1.6842271545690861,10.558,1.661,1.634,1.684,2.755,2.737,2.793,3.035,3.003,3.101,3.3850000000000615,3.277,10.558
hgb,10,t_q,5001,0.0732745100979804,0.417327,0.068144,0.067044,0.0693,0.141602,0.139135,0.14605,0.197422,0.191065,0.202868,0.27481000000000444,0.2483,0.417327
hgb,10,t_feat,5001,0.0012382519496100782,0.052847,0.001192,0.001172,0.001213,0.001905,0.001879,0.001931,0.002207,0.002162,0.002288,0.008342000000000255,0.006745,0.052847
hgb,10,t_inf,5001,0.09470780743851229,0.490023,0.092791,0.091381,0.094188,0.159404,0.157015,0.161692,0.213238,0.202762,0.230971,0.3012940000000017,0.295534,0.490023
hgb,10,t_act,5001,0.7992428584283143,8.548412,0.798641,0.787331,0.808123,1.277785,1.265273,1.301216,1.501366,1.458715,1.559428,1.938620000000035,1.802189,8.548412
hgb,10,t_feat_all,5001,0.006762872825434914,0.145776,0.006715,0.006622,0.0068,0.010898,0.010773,0.011044,0.013788,0.012752,0.015229,0.056486000000000425,0.035104,0.145776
hgb,10,t_inf_all,5001,0.29075032133573286,0.911338,0.280846,0.27671,0.285097,0.523516,0.513147,0.539884,0.667661,0.655937,0.687043,0.7895450000000104,0.77617,0.911338
hgb,10,e2e_one,5001,2.6526905824835034,11.115114000000002,2.655401,2.617408,2.6977029999999997,4.155263000000001,4.1234839999999995,4.192928,4.593782,4.557349,4.662867,5.19920300000041,5.056849,11.115114000000002
hgb,10,e2e_all,5001,2.854257717256549,11.183763,2.8594139999999997,2.811945,2.8984689999999995,4.516411,4.484788,4.560817,4.94789,4.92487,5.008001999999999,5.709800000000224,5.364860999999999,11.183763
logreg,1,t_ind,20016,0.51292965627498,2.747,0.512,0.511,0.514,0.651,0.648,0.655,0.8388499999999985,0.81,0.864,1.327,1.201,1.431
logreg,1,t_q,20016,0.019271712230215825,1.702074,0.014872,0.014837,0.014903,0.03282,0.032315,0.033477,0.06933004999999984,0.065923,0.074043,0.20808005000000226,0.186022,0.281361
logreg,1,t_feat,20016,0.0004848874900079936,0.035865,0.000451,0.000449,0.000453,0.000633,0.000628,0.000639,0.000915,0.000878,0.000951,0.0042158800000001205,0.00223,0.007107
logreg,1,t_inf,20016,0.014706310201838527,0.104507,0.0136295,0.013602,0.013656,0.01991675,0.019634,0.020205,0.03802199999999992,0.036443,0.039709,0.06411695500000035,0.060052,0.072072
logreg,1,t_act,20016,0.22227449040767386,2.030867,0.203095,0.202333,0.203924,0.3371545,0.330296,0.343975,0.5309954499999999,0.516165,0.545259,0.8414818100000037,0.781475,0.913227
logreg,1,t_feat_all,20016,0.0026537074840127894,0.049806,0.002572,0.002562,0.002581,0.00366325,0.003635,0.003702,0.00581,0.005479,0.00612,0.03149049000000025,0.029071,0.038811
logreg,1,t_inf_all,20016,0.029136633193445245,0.225742,0.0277595,0.027687,0.027822,0.042065000000000005,0.041115,0.042729,0.06796504999999989,0.066024,0.06978,0.11368439500000017,0.102529,0.123932
logreg,1,e2e_one,20016,0.7696670566047161,3.743622,0.7563255,0.7546519999999999,0.757897,0.9824269999999999,0.9734659999999999,0.99716,1.3835229499999997,1.350596,1.4307349999999999,2.032910965000004,1.9165520000000003,2.4270050000000003
logreg,1,e2e_all,20016,0.7862661995903277,3.7636309999999997,0.7729570000000001,0.771383,0.7748,1.00349125,0.9951860000000001,1.017791,1.419473299999999,1.3832360000000001,1.4601920000000002,2.0609295400000036,1.9512590000000003,2.45846
logreg,10,t_ind,5000,1.6860962,3.714,1.685,1.659,1.711,2.768,2.746,2.797,3.02601,3.0,3.06,3.2940240000000047,3.207,3.714
logreg,10,t_q,5000,0.070704135,0.641195,0.06722349999999999,0.066393,0.068254,0.1349327,0.130115,0.138122,0.21112546000000004,0.198485,0.228793,0.3288693710000009,0.294877,0.641195
logreg,10,t_feat,5000,0.0014606582,0.088314,0.001416,0.001397,0.001434,0.002223,0.002203,0.002252,0.0025500600000000016,0.002504,0.00264,0.00838059500000012,0.006456,0.088314
logreg,10,t_inf,5000,0.06469353759999999,0.471604,0.062728,0.061797,0.063422,0.10488455000000001,0.102617,0.107218,0.19428477000000022,0.184101,0.206015,0.2672191690000004,0.2423,0.471604
logreg,10,t_act,5000,0.7753628872,2.191353,0.802959,0.792341,0.814099,1.1979971500000002,1.184525,1.211324,1.3951588000000008,1.353648,1.43943,1.675224400000004,1.616515,2.191353
logreg,10,t_feat_all,5000,0.008272110599999999,0.180685,0.008065,0.007934,0.008186,0.013426400000000005,0.013215,0.013658,0.017347170000000006,0.016229,0.019106,0.13421427700000005,0.095466,0.180685
logreg,10,t_inf_all,5000,0.11400109259999999,0.541679,0.111439,0.10996,0.113048,0.19889990000000007,0.193031,0.207303,0.2826884800000001,0.278159,0.296005,0.3389807370000022,0.327025,0.541679
logreg,10,e2e_one,5000,2.598317418,6.200282999999999,2.64912,2.612326,2.687424,4.055896799999999,4.025402,4.085224999999999,4.361508550000002,4.303775,4.467706,4.777541830000004,4.698473999999999,6.200282999999999
logreg,10,e2e_all,5000,2.6544364254,6.270638999999999,2.7099425000000004,2.665851,2.748486,4.1412549,4.113042,4.171163,4.44620931,4.385821,4.5508310000000005,4.858808052,4.811394,6.270638999999999
mlp,10,t_ind,5002,1.6196325469812076,8.216,1.613,1.588,1.643,2.7479,2.716,2.792,3.0189199999999983,2.964,3.053,3.4598110000001334,3.212,8.216
mlp,10,t_q,5002,0.06741042962814875,0.390667,0.065416,0.064431,0.066369,0.12582369999999998,0.122465,0.129442,0.19000615999999998,0.17742,0.204979,0.2652409020000015,0.25137,0.390667
mlp,10,t_feat,5002,0.0012014706117552977,0.044184,0.001185,0.001168,0.0012,0.001871,0.001851,0.001893,0.002164949999999999,0.002112,0.002243,0.006409591000000289,0.005468,0.044184
mlp,10,t_inf,5002,0.10125526469412235,0.518133,0.1015765,0.099922,0.103219,0.16620949999999998,0.163923,0.168957,0.20308225999999988,0.19672,0.211249,0.3204266900000052,0.241292,0.518133
mlp,10,t_act,5002,0.7486695601759296,2.235214,0.75308,0.742875,0.764836,1.2165858999999999,1.200822,1.229709,1.4223010299999994,1.392941,1.458445,1.74180001800001,1.631472,2.235214
mlp,10,t_feat_all,5002,0.007205260495801679,0.158664,0.007071,0.006957,0.007196,0.011641899999999998,0.011497,0.011831,0.014070619999999992,0.013413,0.015729,0.09414351200000952,0.049347,0.158664
mlp,10,t_inf_all,5002,0.21472907357057178,1.08355,0.225626,0.222589,0.229237,0.33883304999999997,0.335579,0.343886,0.39596115,0.38788,0.428393,0.5362280690000029,0.520034,1.08355
mlp,10,e2e_one,5002,2.5381692720911637,8.994598,2.54401,2.506338,2.583728,4.1280803,4.097144999999999,4.155189,4.42638734,4.394372,4.491256,4.836767465000005,4.693047999999999,8.994598
mlp,10,e2e_all,5002,2.6576468708516594,9.054099,2.669605,2.630928,2.7107129999999997,4.31553155,4.2891330000000005,4.348751,4.63197203,4.597224000000001,4.702578,5.027457447000016,4.901089,9.054099
rf,1,t_ind,20016,0.531943445243805,3.736,0.528,0.526,0.529,0.682,0.678,0.688,0.978699999999997,0.935,1.036,1.5534900000000198,1.433,1.707
rf,1,t_q,20016,0.022333280525579535,2.545537,0.0160535,0.01598,0.016133,0.0324235,0.032003,0.032727,0.06884594999999967,0.063149,0.080807,0.8933578550000114,0.640116,1.124414
rf,1,t_feat,20016,0.0004660958733013589,0.019321,0.000444,0.00044,0.000448,0.000617,0.000613,0.000622,0.0009037999999999884,0.000835,0.000978,0.0016891300000000339,0.001468,0.001968
rf,1,t_inf,20016,0.025617974120703435,0.633582,0.025035,0.024978,0.025094,0.03343525,0.033171,0.033736,0.050335299999999736,0.048266,0.053488,0.08783624500000019,0.085782,0.105222
rf,1,t_act,20016,0.23343012664868104,1.523239,0.2147405,0.213934,0.215668,0.36885075,0.361781,0.377037,0.5958795499999998,0.575693,0.621669,0.9407367050000052,0.895928,1.014509
rf,1,t_feat_all,20016,0.002552217026378897,0.049679,0.0025865000000000003,0.002578,0.002595,0.003281,0.003256,0.0033,0.004528399999999994,0.004249,0.004826,0.010710845000000043,0.009728,0.012193
rf,1,t_inf_all,20016,0.08962390842326139,0.713492,0.090669,0.090079,0.091186,0.13068975,0.130017,0.131321,0.1566115499999999,0.152889,0.161493,0.3096710800000029,0.2889,0.342893
rf,1,e2e_one,20016,0.8137909224120704,4.661096000000001,0.7863720000000001,0.78444,0.78809,1.0934,1.081077,1.106846,1.5940355499999992,1.530551,1.6648550000000002,2.8550387050000166,2.717201,3.3569709999999997
rf,1,e2e_all,20016,0.8798829778677059,4.771261,0.8554220000000001,0.853371,0.857404,1.17626,1.162589,1.191508,1.690857999999996,1.6315490000000001,1.757061,3.0657105300000493,2.873816,3.5482129999999996
rf,10,t_ind,5001,1.8084253149370129,3.477,1.864,1.839,1.897,2.794,2.764,2.828,3.021,2.995,3.083,3.3080000000000327,3.176,3.477
rf,10,t_q,5001,0.07478006298740252,0.449034,0.071477,0.070377,0.072541,0.130663,0.127644,0.134592,0.203174,0.189374,0.223302,0.2936030000000187,0.28451,0.449034
rf,10,t_feat,5001,0.001351611277744451,0.071808,0.001361,0.001345,0.001377,0.001936,0.001911,0.001961,0.002203,0.002147,0.002311,0.017234000000007122,0.006706,0.071808
rf,10,t_inf,5001,0.11336484243151371,0.377603,0.115033,0.11355,0.116396,0.187524,0.185418,0.190518,0.228924,0.222176,0.238143,0.2829190000000232,0.263762,0.377603
rf,10,t_act,5001,0.8373888554289142,1.905905,0.868296,0.857988,0.87648,1.2685,1.252921,1.283142,1.453544,1.430349,1.484331,1.6597140000000303,1.62406,1.905905
rf,10,t_feat_all,5001,0.007632251749650071,0.135599,0.007465,0.00735,0.007581,0.011478,0.011342,0.011659,0.014643,0.013569,0.016799,0.0669150000000046,0.056687,0.135599
rf,10,t_inf_all,5001,0.32579560847830435,1.009626,0.318563,0.313811,0.323239,0.561952,0.555307,0.572606,0.71113,0.685818,0.731686,0.8700550000000098,0.81898,1.009626
rf,10,e2e_one,5001,2.8353106870625875,5.426606,2.967602,2.929698,2.9988850000000005,4.172775,4.152602999999999,4.20946,4.487482,4.439679,4.538473,4.870281000000105,4.845028,5.426606
rf,10,e2e_all,5001,3.0540220935812834,5.594493,3.1819459999999995,3.1415040000000003,3.2146180000000006,4.5363039999999994,4.5095849999999995,4.567249,4.880637,4.823394,4.948783,5.419726000000019,5.211283,5.594493
tree,10,t_ind,5000,1.5981565999999998,3.616,1.563,1.531,1.585,2.7490500000000004,2.717,2.785,3.0480500000000013,3.013,3.08,3.3270030000000004,3.218,3.616
tree,10,t_q,5000,0.06930155019999999,0.357895,0.065023,0.063718,0.06618,0.13845865000000002,0.13399,0.143341,0.21109256000000007,0.200522,0.227097,0.3138891270000002,0.292345,0.357895
